experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_classification,llama3.2,classification,0,getting_spare_card,card_arrival,False,4482.476000000001,2026-01-18T14:06:16.764683
llama3.2_local_baseline_classification,llama3.2,classification,1,order_physical_card,card_arrival,False,3978.948,2026-01-18T14:06:20.743653
llama3.2_local_baseline_classification,llama3.2,classification,2,getting_spare_card,card_arrival,False,4069.1300000000006,2026-01-18T14:06:24.812805
llama3.2_local_baseline_classification,llama3.2,classification,3,card_arrival,card_arrival,True,3733.497,2026-01-18T14:06:28.546319
llama3.2_local_baseline_classification,llama3.2,classification,4,getting_spare_card,card_arrival,False,3833.757,2026-01-18T14:06:32.380086
llama3.2_local_baseline_classification,llama3.2,classification,5,order_physical_card,card_arrival,False,3942.748,2026-01-18T14:06:36.322851
llama3.2_local_baseline_classification,llama3.2,classification,6,order_physical_card,card_arrival,False,3738.7709999999997,2026-01-18T14:06:40.061656
llama3.2_local_baseline_classification,llama3.2,classification,7,transfer_not_received_by_recipient,card_arrival,False,4187.259,2026-01-18T14:06:44.248965
llama3.2_local_baseline_classification,llama3.2,classification,8,card_payment_not_recognised,card_arrival,False,1270.153,2026-01-18T14:06:45.519152
llama3.2_local_baseline_classification,llama3.2,classification,9,transfer_timing,card_arrival,False,3095.372,2026-01-18T14:06:48.614542
llama3.2_local_baseline_classification,llama3.2,classification,10,get_card_status,card_arrival,False,3913.6549999999997,2026-01-18T14:06:52.528233
llama3.2_local_baseline_classification,llama3.2,classification,11,card_arrival,card_arrival,True,3750.4610000000002,2026-01-18T14:06:56.278741
llama3.2_local_baseline_classification,llama3.2,classification,12,lost_or_stolen_card,card_arrival,False,4305.156,2026-01-18T14:07:00.583904
llama3.2_local_baseline_classification,llama3.2,classification,13,order_physical_card,card_arrival,False,3745.5750000000003,2026-01-18T14:07:04.329492
llama3.2_local_baseline_classification,llama3.2,classification,14,declined_transfer,card_arrival,False,1266.538,2026-01-18T14:07:05.596041
llama3.2_local_baseline_classification,llama3.2,classification,15,order_physical_card,card_arrival,False,3285.765,2026-01-18T14:07:08.881824
llama3.2_local_baseline_classification,llama3.2,classification,16,transfer_timing,card_arrival,False,3712.129,2026-01-18T14:07:12.593963
llama3.2_local_baseline_classification,llama3.2,classification,17,getting_spare_card,card_arrival,False,3987.935,2026-01-18T14:07:16.581918
llama3.2_local_baseline_classification,llama3.2,classification,18,order_physical_card,card_arrival,False,3796.069,2026-01-18T14:07:20.378039
llama3.2_local_baseline_classification,llama3.2,classification,19,lost_or_stolen_card,card_arrival,False,1793.1109999999999,2026-01-18T14:07:22.171161
llama3.2_local_baseline_classification,llama3.2,classification,20,getting_spare_card,card_arrival,False,3242.73,2026-01-18T14:07:25.413904
llama3.2_local_baseline_classification,llama3.2,classification,21,getting_spare_card,card_arrival,False,3964.9429999999998,2026-01-18T14:07:29.378863
llama3.2_local_baseline_classification,llama3.2,classification,22,card_arrival,card_arrival,True,3761.849,2026-01-18T14:07:33.140719
llama3.2_local_baseline_classification,llama3.2,classification,23,getting_spare_card,card_arrival,False,4299.26,2026-01-18T14:07:37.439999
llama3.2_local_baseline_classification,llama3.2,classification,24,getting_spare_card,card_arrival,False,3959.326,2026-01-18T14:07:41.399355
llama3.2_local_baseline_classification,llama3.2,classification,25,card_arrival,card_arrival,True,3701.7329999999997,2026-01-18T14:07:45.101097
llama3.2_local_baseline_classification,llama3.2,classification,26,card_arrival,card_arrival,True,4011.622,2026-01-18T14:07:49.112767
llama3.2_local_baseline_classification,llama3.2,classification,27,card_arrival,card_arrival,True,3879.537,2026-01-18T14:07:52.992404
llama3.2_local_baseline_classification,llama3.2,classification,28,order_physical_card,card_arrival,False,3985.203,2026-01-18T14:07:56.977614
llama3.2_local_baseline_classification,llama3.2,classification,29,get_physical_card,card_arrival,False,3948.378,2026-01-18T14:08:00.926007
llama3.2_local_baseline_classification,llama3.2,classification,30,getting_spare_card,card_arrival,False,3905.334,2026-01-18T14:08:04.831358
llama3.2_local_baseline_classification,llama3.2,classification,31,getting_spare_card,card_arrival,False,4066.653,2026-01-18T14:08:08.898025
llama3.2_local_baseline_classification,llama3.2,classification,32,card_arrival,card_arrival,True,3765.29,2026-01-18T14:08:12.663324
llama3.2_local_baseline_classification,llama3.2,classification,33,getting_spare_card,card_arrival,False,4023.015,2026-01-18T14:08:16.686353
llama3.2_local_baseline_classification,llama3.2,classification,34,card_arrival,card_arrival,True,3992.732,2026-01-18T14:08:20.679108
