experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-4o-mini_baseline_qa,gpt-4o-mini,qa,0,"Yes, they were both American.",yes,False,3.92,179,71,6.945e-05,2026-01-19T15:21:06.610225
gpt-4o-mini_baseline_qa,gpt-4o-mini,qa,1,Janet Gaynor held a position on the California Arts Council.,Chief of Protocol,False,2.091,188,88,8.099999999999999e-05,2026-01-19T15:21:06.612329
gpt-4o-mini_baseline_qa,gpt-4o-mini,qa,2,The Illuminae Files,Animorphs,False,1.015,197,105,9.255e-05,2026-01-19T15:21:06.613353
gpt-4o-mini_baseline_qa,gpt-4o-mini,qa,3,"No, they are not located in the same neighborhood.",no,False,0.945,183,75,7.245e-05,2026-01-19T15:21:06.614306
gpt-4o-mini_baseline_qa,gpt-4o-mini,qa,4,New York City,"Greenwich Village, New York City",False,0.92,186,73,7.17e-05,2026-01-19T15:21:06.615235
gpt-4o-mini_baseline_qa,gpt-4o-mini,qa,5,JYP Entertainment,YG Entertainment,False,0.969,187,65,6.704999999999999e-05,2026-01-19T15:21:06.616212
gpt-4o-mini_baseline_qa,gpt-4o-mini,qa,6,Aladin,Eenasul Fateh,False,0.906,186,71,7.049999999999999e-05,2026-01-19T15:21:06.617125
gpt-4o-mini_baseline_qa,gpt-4o-mini,qa,7,"3,500","3,677 seated",False,0.912,186,92,8.31e-05,2026-01-19T15:21:06.618052
gpt-4o-mini_baseline_qa,gpt-4o-mini,qa,8,Terry Richardson is older.,Terry Richardson,False,1.075,177,74,7.094999999999999e-05,2026-01-19T15:21:06.619136
gpt-4o-mini_baseline_qa,gpt-4o-mini,qa,9,"Yes, both Local H and For Against are from the United States.",yes,False,0.794,179,92,8.205e-05,2026-01-19T15:21:06.619939
gpt-4o-mini_baseline_qa,gpt-4o-mini,qa,10,"Rock Chalk, Jayhawk",Kansas Song,False,0.754,198,80,7.769999999999999e-05,2026-01-19T15:21:06.620699
gpt-4o-mini_baseline_qa,gpt-4o-mini,qa,11,Don Jakoby,David Weissman,False,0.832,190,72,7.170000000000001e-05,2026-01-19T15:21:06.621540
gpt-4o-mini_baseline_qa,gpt-4o-mini,qa,12,1991,1999,False,0.927,191,92,8.385e-05,2026-01-19T15:21:06.622475
gpt-4o-mini_baseline_qa,gpt-4o-mini,qa,13,"Yes, both Random House Tower and 888 7th Avenue are used for real estate.",no,False,1.12,184,139,0.0001109999999999,2026-01-19T15:21:06.623603
