experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
mistral_local_baseline_qa,mistral,qa,0,"No, Scott Derrickson and Ed Wood were not of the same nationality at birth. However, they are both Americans.",yes,False,6450.78,2026-01-18T14:56:40.550103
mistral_local_baseline_qa,mistral,qa,1,"Without knowing the actress's name, I cannot provide an accurate answer.",Chief of Protocol,False,4563.358,2026-01-18T14:56:45.113482
mistral_local_baseline_qa,mistral,qa,2,"The science fantasy young adult series you are referring to is ""Exile's Valor"" by Cinda Williams Chima.",Animorphs,False,5386.293000000001,2026-01-18T14:56:50.499795
mistral_local_baseline_qa,mistral,qa,3,"No, the Laleli Mosque and Esma Sultan Mansion are not located in the same neighborhood.",no,False,4189.78,2026-01-18T14:56:54.689609
mistral_local_baseline_qa,mistral,qa,4,"Anne Rapp, the director of ""Big Stone Gap,"" is based in New York City.","Greenwich Village, New York City",False,3990.633,2026-01-18T14:56:58.680264
mistral_local_baseline_qa,mistral,qa,5,BTS was formed by Big Hit Entertainment.,YG Entertainment,False,3350.488,2026-01-18T14:57:02.030798
mistral_local_baseline_qa,mistral,qa,6,Alain Bertaud (known as Aladin) is a well-known urban planner and consultant who has helped numerous organizations enhance their performance and urban planning strategies.,Eenasul Fateh,False,4691.639999999999,2026-01-18T14:57:06.722490
mistral_local_baseline_qa,mistral,qa,7,"The Androscoggin Bank Colisee can seat approximately 6,500 people for ice hockey games.","3,677 seated",False,4709.325,2026-01-18T14:57:11.431875
mistral_local_baseline_qa,mistral,qa,8,Terry Richardson is older than Annie Morton.,Terry Richardson,False,3009.468,2026-01-18T14:57:14.441384
mistral_local_baseline_qa,mistral,qa,9,"No, Local H and For Against are not both from the same location within the United States.",yes,False,3922.7569999999996,2026-01-18T14:57:18.364158
mistral_local_baseline_qa,mistral,qa,10,"The name of the fight song of the University of Kansas is ""Crimson and Blue.""",Kansas Song,False,4360.881,2026-01-18T14:57:22.725063
mistral_local_baseline_qa,mistral,qa,11,Ivan Reitman,David Weissman,False,4490.031,2026-01-18T14:57:27.215124
mistral_local_baseline_qa,mistral,qa,12,1993,1999,False,3560.683,2026-01-18T14:57:30.775915
mistral_local_baseline_qa,mistral,qa,13,"Yes, both Random House Tower and 888 7th Avenue are used for real estate, with the former primarily serving as office space for the publishing company Random House, and the latter being a mixed-use building that includes office spaces and retail areas.",no,False,7485.973000000001,2026-01-18T14:57:38.261965
mistral_local_baseline_qa,mistral,qa,14,Sir Alex Ferguson managed Manchester United from 1986 to 2002 (before David Beckham joined in 2003).,from 1986 to 2013,False,6479.254,2026-01-18T14:57:44.741260
mistral_local_baseline_qa,mistral,qa,15,"I'm sorry, but I cannot provide an accurate answer without knowing the specific country where Brown State Fishing Lake is located.","9,984",False,5783.834,2026-01-18T14:57:50.525121
mistral_local_baseline_qa,mistral,qa,16,The America East Conference (before its name change in 1997),the North Atlantic Conference,False,4101.689,2026-01-18T14:57:54.626852
mistral_local_baseline_qa,mistral,qa,17,"Yes, both Giuseppe Verdi and Ambroise Thomas are Opera Composers.",yes,False,5119.415,2026-01-18T14:57:59.746286
mistral_local_baseline_qa,mistral,qa,18,1969-1974,1969 until 1974,False,3450.116,2026-01-18T14:58:03.196450
