experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
phi4_local_baseline_extraction,phi4,extraction,0,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""China""],
  ""MISC"": []
}","{""PER"": [""CHINA""], ""ORG"": [], ""LOC"": [""JAPAN""], ""MISC"": []}",False,10036.838,2026-02-06T20:03:06.435229
phi4_local_baseline_extraction,phi4,extraction,1,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""AL-AIN"", ""United Arab Emirates""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""AL-AIN"", ""United Arab Emirates""], ""MISC"": []}",True,13132.402,2026-02-06T20:03:19.567662
phi4_local_baseline_extraction,phi4,extraction,2,"{
  ""PER"": [],
  ""ORG"": [""Asian Cup""],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": [""Group C championship match""]
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": [""Asian Cup""]}",True,15713.143,2026-02-06T20:03:35.280849
phi4_local_baseline_extraction,phi4,extraction,3,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbekistan""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""China"", ""Uzbekistan""], ""MISC"": []}",True,10193.294,2026-02-06T20:03:45.474192
phi4_local_baseline_extraction,phi4,extraction,4,"{
  ""PER"": [""Igor Shkvyrin""],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbekistan""],
  ""MISC"": []
}","{""PER"": [""Igor Shkvyrin""], ""ORG"": [], ""LOC"": [""China""], ""MISC"": [""Uzbek"", ""Chinese""]}",True,16491.681,2026-02-06T20:04:01.965926
phi4_local_baseline_extraction,phi4,extraction,5,"{
  ""PER"": [""Oleg Shatskiku""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""Oleg Shatskiku""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,8446.518,2026-02-06T20:04:10.412492
phi4_local_baseline_extraction,phi4,extraction,6,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""former Soviet republic""],
  ""MISC"": [""Asian Cup finals tie""]
}","{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""Soviet"", ""Asian Cup""]}",False,12269.619999999999,2026-02-06T20:04:22.682190
phi4_local_baseline_extraction,phi4,extraction,7,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Uzbekistan""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Uzbekistan""], ""MISC"": [""Asian Games""]}",True,13760.758,2026-02-06T20:04:36.443021
phi4_local_baseline_extraction,phi4,extraction,8,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": []}",True,16132.81,2026-02-06T20:04:52.575875
phi4_local_baseline_extraction,phi4,extraction,9,"{
  ""PER"": [""Takuya Takagi"", ""Hiroshige Yanagimoto"", ""Salem Bitar""],
  ""ORG"": [],
  ""LOC"": [""Syrian goal""],
  ""MISC"": []
}","{""PER"": [""Takuya Takagi"", ""Hiroshige Yanagimoto"", ""Salem Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": [""Syrian""]}",True,20182.863,2026-02-06T20:05:12.758784
