experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-4o-mini_baseline_synthesis,gpt-4o-mini,synthesis,0,"Ex-offenders in Wales face significant challenges in securing accommodation after release, with calls for increased investment in housing to prevent homelessness and reduce incarceration costs.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",0.39583333333333326,3761.076,879,125,0.00020685,2026-01-18T13:40:53.424055
gpt-4o-mini_baseline_synthesis,gpt-4o-mini,synthesis,1,"Police recovered firearms, ammunition, and cash during a search in the Waterfront Park and Colonsay View areas, resulting in the arrest of a 26-year-old man who appeared in court.","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",0.45323741007194246,2818.859,231,108,9.944999999999999e-05,2026-01-18T13:40:56.242955
gpt-4o-mini_baseline_synthesis,gpt-4o-mini,synthesis,2,"Four individuals in Chicago have been charged with hate crimes and aggravated kidnapping after allegedly assaulting a young man with disabilities, forcing him to drink toilet water and making derogatory remarks during the attack.","Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",0.4190981432360743,4123.606,500,123,0.00014879999999999998,2026-01-18T13:41:00.366587
gpt-4o-mini_baseline_synthesis,gpt-4o-mini,synthesis,3,"A former Arsenal goalkeeper, who served as West Brom's youth academy director and director of football, played a crucial role in the club's promotions to the Premier League in 2006 and 2012.","West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",0.39189189189189194,3496.449,243,97,9.465e-05,2026-01-18T13:41:03.863205
gpt-4o-mini_baseline_synthesis,gpt-4o-mini,synthesis,4,"A modified fasting-mimicking diet has shown promise in reversing diabetes symptoms by regenerating insulin-producing cells in mice, potentially leading to new treatments for the disease.","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",0.4305555555555555,4492.9490000000005,929,137,0.00022155,2026-01-18T13:41:08.356209
gpt-4o-mini_baseline_synthesis,gpt-4o-mini,synthesis,5,"The proposed merger between eyewear giants Essilor and Luxottica raises concerns about reduced competition and consumer choice in the industry, despite claims of potential benefits from the companies involved.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",0.4250681198910082,3453.3900000000003,1441,120,0.00028815,2026-01-18T13:41:11.809630
gpt-4o-mini_baseline_synthesis,gpt-4o-mini,synthesis,6,"Wendy Houvenaghel accuses British Cycling of ageism and sexism, criticizing its win-at-all-costs culture and calling for reforms to improve athlete welfare following a leaked report on the organization's failures.","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",0.3719512195121952,3000.5660000000003,1317,140,0.00028155,2026-01-18T13:41:14.810226
gpt-4o-mini_baseline_synthesis,gpt-4o-mini,synthesis,7,"Kareem Badr and his friends transformed a failing comedy club in Austin into a thriving business, reflecting the growing popularity of comedy in the U.S. and the industry's resilience in providing entertainment during tough times.",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,0.41379310344827586,3553.625,1476,138,0.0003042,2026-01-18T13:41:18.363907
gpt-4o-mini_baseline_synthesis,gpt-4o-mini,synthesis,8,"BT's shares rose 3% after Ofcom decided against breaking up the company, citing practical challenges related to its pension scheme and potential governance conflicts with Openreach.","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",0.40659340659340654,4120.3099999999995,675,140,0.00018525,2026-01-18T13:41:22.484259
gpt-4o-mini_baseline_synthesis,gpt-4o-mini,synthesis,9,"Brendan Rodgers looks forward to the Old Firm derby, focusing on team preparation and mentality to achieve success in the League Cup semi-final against Rangers.",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,0.5333333333333333,3024.512,653,84,0.00014835,2026-01-18T13:41:25.508809
