experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
phi4_local_baseline_agentic,phi4,agentic,0,No,No,True,87.32900000000001,2026-02-06T19:04:50.728601
phi4_local_baseline_agentic,phi4,agentic,1,No,No,True,1.339,2026-02-06T19:04:50.729962
phi4_local_baseline_agentic,phi4,agentic,2,No,No,True,1.2149999999999999,2026-02-06T19:04:50.731191
phi4_local_baseline_agentic,phi4,agentic,3,No,No,True,1.148,2026-02-06T19:04:50.732353
phi4_local_baseline_agentic,phi4,agentic,4,No,No,True,1.0,2026-02-06T19:04:50.733365
phi4_local_baseline_agentic,phi4,agentic,5,No,Yes,False,35157.057,2026-02-06T19:05:25.890442
phi4_local_baseline_agentic,phi4,agentic,6,No,Yes,False,22430.399999999998,2026-02-06T19:05:48.320899
phi4_local_baseline_agentic,phi4,agentic,7,No,No,True,20681.147,2026-02-06T19:06:09.002122
phi4_local_baseline_agentic,phi4,agentic,8,Yes,No,False,43042.008,2026-02-06T19:06:52.044180
phi4_local_baseline_agentic,phi4,agentic,9,Yes,Yes,True,18838.743000000002,2026-02-06T19:07:10.882962
phi4_local_baseline_agentic,phi4,agentic,10,No,Yes,False,11883.271,2026-02-06T19:07:22.766291
phi4_local_baseline_agentic,phi4,agentic,11,No,No,True,11476.169,2026-02-06T19:07:34.242510
phi4_local_baseline_agentic,phi4,agentic,12,No,No,True,18427.987,2026-02-06T19:07:52.670550
phi4_local_baseline_agentic,phi4,agentic,13,No,Yes,False,26682.577999999998,2026-02-06T19:08:19.353185
phi4_local_baseline_agentic,phi4,agentic,14,Yes,No,False,16378.068,2026-02-06T19:08:35.731305
phi4_local_baseline_agentic,phi4,agentic,15,No,No,True,22247.167999999998,2026-02-06T19:08:57.978514
phi4_local_baseline_agentic,phi4,agentic,16,Yes,Yes,True,17342.126,2026-02-06T19:09:15.320688
phi4_local_baseline_agentic,phi4,agentic,17,No,Yes,False,24210.170000000002,2026-02-06T19:09:39.530911
phi4_local_baseline_agentic,phi4,agentic,18,No,No,True,11180.323,2026-02-06T19:09:50.711277
phi4_local_baseline_agentic,phi4,agentic,19,It depends on which Donatello is being referred to. For the Renaissance artist: No. For the Teenage Mutant Ninja Turtle character: Yes.,No,False,18426.238,2026-02-06T19:10:09.137563
phi4_local_baseline_agentic,phi4,agentic,20,Yes,No,False,14490.16,2026-02-06T19:10:23.627784
phi4_local_baseline_agentic,phi4,agentic,21,No,No,True,14968.247,2026-02-06T19:10:38.596077
phi4_local_baseline_agentic,phi4,agentic,22,No,Yes,False,22632.29,2026-02-06T19:11:01.228406
phi4_local_baseline_agentic,phi4,agentic,23,Yes,Yes,True,15698.048,2026-02-06T19:11:16.926513
phi4_local_baseline_agentic,phi4,agentic,24,Yes,Yes,True,14419.155,2026-02-06T19:11:31.345712
phi4_local_baseline_agentic,phi4,agentic,25,Yes,Yes,True,18442.071,2026-02-06T19:11:49.787820
phi4_local_baseline_agentic,phi4,agentic,26,No,No,True,15254.489,2026-02-06T19:12:05.042350
phi4_local_baseline_agentic,phi4,agentic,27,No,No,True,15805.883,2026-02-06T19:12:20.848273
phi4_local_baseline_agentic,phi4,agentic,28,No,Yes,False,19108.522,2026-02-06T19:12:39.956832
phi4_local_baseline_agentic,phi4,agentic,29,Yes,Yes,True,21209.81,2026-02-06T19:13:01.166684
phi4_local_baseline_agentic,phi4,agentic,30,Yes,Yes,True,34775.068,2026-02-06T19:13:35.941794
phi4_local_baseline_agentic,phi4,agentic,31,It depends on the specific dimensions of both the vehicle and the barn.,Yes,False,23134.329999999998,2026-02-06T19:13:59.076205
phi4_local_baseline_agentic,phi4,agentic,32,No,No,True,15258.036,2026-02-06T19:14:14.334288
phi4_local_baseline_agentic,phi4,agentic,33,No,Yes,False,22970.848,2026-02-06T19:14:37.305175
phi4_local_baseline_agentic,phi4,agentic,34,No,No,True,12469.962000000001,2026-02-06T19:14:49.775180
phi4_local_baseline_agentic,phi4,agentic,35,No,Yes,False,18945.857,2026-02-06T19:15:08.721088
phi4_local_baseline_agentic,phi4,agentic,36,No,No,True,11177.411,2026-02-06T19:15:19.898549
phi4_local_baseline_agentic,phi4,agentic,37,No,Yes,False,10859.225999999999,2026-02-06T19:15:30.757830
phi4_local_baseline_agentic,phi4,agentic,38,Yes,Yes,True,16322.506000000001,2026-02-06T19:15:47.080374
phi4_local_baseline_agentic,phi4,agentic,39,Yes,Yes,True,23633.135,2026-02-06T19:16:10.713662
phi4_local_baseline_agentic,phi4,agentic,40,No,No,True,22487.088,2026-02-06T19:16:33.200885
phi4_local_baseline_agentic,phi4,agentic,41,Yes,Yes,True,21121.951,2026-02-06T19:16:54.322911
phi4_local_baseline_agentic,phi4,agentic,42,No,Yes,False,17209.230000000003,2026-02-06T19:17:11.532224
phi4_local_baseline_agentic,phi4,agentic,43,No,Yes,False,22205.778,2026-02-06T19:17:33.738122
phi4_local_baseline_agentic,phi4,agentic,44,No,No,True,13398.588,2026-02-06T19:17:47.136784
phi4_local_baseline_agentic,phi4,agentic,45,No,No,True,12694.487000000001,2026-02-06T19:17:59.831343
phi4_local_baseline_agentic,phi4,agentic,46,No,No,True,10546.627,2026-02-06T19:18:10.378025
phi4_local_baseline_agentic,phi4,agentic,47,No,No,True,14756.449999999999,2026-02-06T19:18:25.134517
phi4_local_baseline_agentic,phi4,agentic,48,Yes,Yes,True,17320.476,2026-02-06T19:18:42.455083
phi4_local_baseline_agentic,phi4,agentic,49,No,No,True,28828.696,2026-02-06T19:19:11.283823
