experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,0,None,No,False,40219.700000000004,2026-02-08T17:41:32.359916
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,1,Yes,Yes,True,12715.774,2026-02-08T17:41:45.075698
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,2,Yes,Yes,True,19185.91,2026-02-08T17:42:04.261625
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,3,Yes,Yes,True,20361.423,2026-02-08T17:42:24.623080
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,4,Yes,Yes,True,15855.365000000002,2026-02-08T17:42:40.478470
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,5,No,No,True,8078.450999999999,2026-02-08T17:42:48.556949
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,6,Yes,Yes,True,16649.487,2026-02-08T17:43:05.206468
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,7,Yes,Yes,True,8645.771,2026-02-08T17:43:13.852263
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,8,No,Yes,False,11012.265,2026-02-08T17:43:24.864544
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,9,Yes,Yes,True,8761.916,2026-02-08T17:43:33.626477
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,10,Yes,Yes,True,25435.25,2026-02-08T17:43:59.061759
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,11,No,No,True,11590.597000000002,2026-02-08T17:44:10.652391
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,12,Yes,Yes,True,8483.141,2026-02-08T17:44:19.135572
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,13,No,Yes,False,14605.235,2026-02-08T17:44:33.740849
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,14,Yes,Yes,True,8728.281,2026-02-08T17:44:42.469155
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,15,Yes,Yes,True,12424.634,2026-02-08T17:44:54.893814
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,16,No,Yes,False,12530.03,2026-02-08T17:45:07.423872
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,17,Yes,Yes,True,9158.505,2026-02-08T17:45:16.582413
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,18,No,Yes,False,12326.082,2026-02-08T17:45:28.908512
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,19,Yes,Yes,True,11375.833999999999,2026-02-08T17:45:40.284364
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,20,No,No,True,14048.117,2026-02-08T17:45:54.332503
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,21,Yes,Yes,True,12812.208999999999,2026-02-08T17:46:07.144731
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,22,No,Yes,False,11122.298999999999,2026-02-08T17:46:18.267045
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,23,Yes,Yes,True,12461.047,2026-02-08T17:46:30.728113
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,24,No,Yes,False,16667.121000000003,2026-02-08T17:46:47.395261
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,25,Yes,Yes,True,11225.962000000001,2026-02-08T17:46:58.621256
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,26,No,Yes,False,12578.438,2026-02-08T17:47:11.199730
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,27,No,No,True,11505.307999999999,2026-02-08T17:47:22.705056
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,28,Yes,Yes,True,9865.244,2026-02-08T17:47:32.570317
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,29,Yes,Yes,True,10954.076000000001,2026-02-08T17:47:43.524416
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,30,Yes,Yes,True,7495.636,2026-02-08T17:47:51.020096
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,31,Yes,Yes,True,10978.371,2026-02-08T17:48:01.998498
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,32,No,No,True,17866.392,2026-02-08T17:48:19.864909
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,33,Yes,Yes,True,16870.605,2026-02-08T17:48:36.735547
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,34,Yes,Yes,True,15580.707,2026-02-08T17:48:52.316277
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,35,Yes,Yes,True,11483.238,2026-02-08T17:49:03.799540
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,36,No,No,True,16807.965,2026-02-08T17:49:20.607535
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,37,Yes,Yes,True,12413.286,2026-02-08T17:49:33.020860
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,38,No,No,True,16310.894,2026-02-08T17:49:49.331772
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,39,No,No,True,18991.593,2026-02-08T17:50:08.323384
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,40,Yes,Yes,True,8530.101,2026-02-08T17:50:16.853739
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,41,No,No,True,10640.258,2026-02-08T17:50:27.494048
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,42,Yes,Yes,True,13610.5,2026-02-08T17:50:41.104586
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,43,No,No,True,19547.781,2026-02-08T17:51:00.652389
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,44,No,Yes,False,23277.344,2026-02-08T17:51:23.929784
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,45,Yes,Yes,True,8286.55,2026-02-08T17:51:32.216368
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,46,Yes,Yes,True,10617.69,2026-02-08T17:51:42.834078
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,47,Yes,Yes,True,9091.438999999998,2026-02-08T17:51:51.925545
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,48,Yes,Yes,True,8505.155999999999,2026-02-08T17:52:00.430737
deepseek-r1:7b_local_baseline_analysis,deepseek-r1:7b,analysis,49,Yes,Yes,True,11896.896,2026-02-08T17:52:12.327683
