experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
mistral_local_baseline_analysis,mistral,analysis,0,No,No,True,7360.115000000001,2026-01-18T14:33:51.096811
mistral_local_baseline_analysis,mistral,analysis,1,No,Yes,False,4841.585,2026-01-18T14:33:55.938443
mistral_local_baseline_analysis,mistral,analysis,2,Yes,Yes,True,4022.069,2026-01-18T14:33:59.960536
mistral_local_baseline_analysis,mistral,analysis,3,Yes,Yes,True,3441.177,2026-01-18T14:34:03.401850
mistral_local_baseline_analysis,mistral,analysis,4,Yes,Yes,True,5009.138,2026-01-18T14:34:08.411377
mistral_local_baseline_analysis,mistral,analysis,5,No,No,True,3414.4,2026-01-18T14:34:11.825813
mistral_local_baseline_analysis,mistral,analysis,6,No,Yes,False,3664.514,2026-01-18T14:34:15.490338
mistral_local_baseline_analysis,mistral,analysis,7,Yes,Yes,True,3090.284,2026-01-18T14:34:18.580642
mistral_local_baseline_analysis,mistral,analysis,8,No,Yes,False,2805.5690000000004,2026-01-18T14:34:21.386224
mistral_local_baseline_analysis,mistral,analysis,9,Yes,Yes,True,2745.5820000000003,2026-01-18T14:34:24.131812
mistral_local_baseline_analysis,mistral,analysis,10,Yes,Yes,True,3442.078,2026-01-18T14:34:27.573904
mistral_local_baseline_analysis,mistral,analysis,11,No,No,True,3529.942,2026-01-18T14:34:31.103862
mistral_local_baseline_analysis,mistral,analysis,12,No,Yes,False,3436.572,2026-01-18T14:34:34.540447
mistral_local_baseline_analysis,mistral,analysis,13,No,Yes,False,6622.2919999999995,2026-01-18T14:34:41.162758
mistral_local_baseline_analysis,mistral,analysis,14,Yes,Yes,True,3449.8289999999997,2026-01-18T14:34:44.612623
mistral_local_baseline_analysis,mistral,analysis,15,No,Yes,False,4566.8009999999995,2026-01-18T14:34:49.179440
mistral_local_baseline_analysis,mistral,analysis,16,No,Yes,False,4835.5470000000005,2026-01-18T14:34:54.015001
mistral_local_baseline_analysis,mistral,analysis,17,Yes,Yes,True,2637.8379999999997,2026-01-18T14:34:56.652865
mistral_local_baseline_analysis,mistral,analysis,18,No,Yes,False,5291.734,2026-01-18T14:35:01.944620
mistral_local_baseline_analysis,mistral,analysis,19,Yes,Yes,True,3192.9159999999997,2026-01-18T14:35:05.137588
mistral_local_baseline_analysis,mistral,analysis,20,No,No,True,3620.436,2026-01-18T14:35:08.758084
mistral_local_baseline_analysis,mistral,analysis,21,No,Yes,False,4485.33,2026-01-18T14:35:13.243459
mistral_local_baseline_analysis,mistral,analysis,22,No,Yes,False,4259.994,2026-01-18T14:35:17.503476
mistral_local_baseline_analysis,mistral,analysis,23,Yes,Yes,True,4666.848,2026-01-18T14:35:22.170366
mistral_local_baseline_analysis,mistral,analysis,24,No,Yes,False,3976.128,2026-01-18T14:35:26.146527
mistral_local_baseline_analysis,mistral,analysis,25,Yes,Yes,True,3073.016,2026-01-18T14:35:29.219552
mistral_local_baseline_analysis,mistral,analysis,26,Yes,Yes,True,3278.0040000000004,2026-01-18T14:35:32.497566
mistral_local_baseline_analysis,mistral,analysis,27,No,No,True,4028.0209999999997,2026-01-18T14:35:36.525630
mistral_local_baseline_analysis,mistral,analysis,28,Yes,Yes,True,3082.926,2026-01-18T14:35:39.608645
mistral_local_baseline_analysis,mistral,analysis,29,Yes,Yes,True,4249.081999999999,2026-01-18T14:35:43.857745
mistral_local_baseline_analysis,mistral,analysis,30,Yes,Yes,True,3319.831,2026-01-18T14:35:47.177609
mistral_local_baseline_analysis,mistral,analysis,31,Yes,Yes,True,3481.331,2026-01-18T14:35:50.658965
mistral_local_baseline_analysis,mistral,analysis,32,No,No,True,3700.61,2026-01-18T14:35:54.359612
mistral_local_baseline_analysis,mistral,analysis,33,Yes,Yes,True,3467.504,2026-01-18T14:35:57.827131
mistral_local_baseline_analysis,mistral,analysis,34,Yes,Yes,True,3137.498,2026-01-18T14:36:00.964653
mistral_local_baseline_analysis,mistral,analysis,35,Yes,Yes,True,4423.151,2026-01-18T14:36:05.387864
mistral_local_baseline_analysis,mistral,analysis,36,No,No,True,4557.705999999999,2026-01-18T14:36:09.945669
mistral_local_baseline_analysis,mistral,analysis,37,Yes,Yes,True,4877.885,2026-01-18T14:36:14.823586
mistral_local_baseline_analysis,mistral,analysis,38,No,No,True,6547.541,2026-01-18T14:36:21.371182
mistral_local_baseline_analysis,mistral,analysis,39,No,No,True,3434.788,2026-01-18T14:36:24.806104
mistral_local_baseline_analysis,mistral,analysis,40,Yes,Yes,True,3721.117,2026-01-18T14:36:28.527239
mistral_local_baseline_analysis,mistral,analysis,41,No,No,True,3569.427,2026-01-18T14:36:32.096678
mistral_local_baseline_analysis,mistral,analysis,42,Yes,Yes,True,5044.334,2026-01-18T14:36:37.141039
mistral_local_baseline_analysis,mistral,analysis,43,No,No,True,2826.101,2026-01-18T14:36:39.967181
mistral_local_baseline_analysis,mistral,analysis,44,Yes,Yes,True,3114.7619999999997,2026-01-18T14:36:43.081955
mistral_local_baseline_analysis,mistral,analysis,45,Yes,Yes,True,3047.841,2026-01-18T14:36:46.129809
mistral_local_baseline_analysis,mistral,analysis,46,Yes,Yes,True,3921.524,2026-01-18T14:36:50.051362
mistral_local_baseline_analysis,mistral,analysis,47,No,Yes,False,4118.436,2026-01-18T14:36:54.169835
mistral_local_baseline_analysis,mistral,analysis,48,Yes,Yes,True,3429.599,2026-01-18T14:36:57.599448
mistral_local_baseline_analysis,mistral,analysis,49,Yes,Yes,True,3393.7430000000004,2026-01-18T14:37:00.993212
