experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2_baseline_agentic,gpt-5.2,agentic,0,No,No,True,1694.11,189,98,0.00483,2026-01-18T13:43:30.817769
gpt-5.2_baseline_agentic,gpt-5.2,agentic,1,No,No,True,1828.828,187,89,0.00454,2026-01-18T13:43:32.646636
gpt-5.2_baseline_agentic,gpt-5.2,agentic,2,No,No,True,1302.659,190,76,0.00418,2026-01-18T13:43:33.949321
gpt-5.2_baseline_agentic,gpt-5.2,agentic,3,Yes,No,False,2084.5829999999996,188,83,0.00437,2026-01-18T13:43:36.033934
gpt-5.2_baseline_agentic,gpt-5.2,agentic,4,No,No,True,2071.851,187,131,0.0058,2026-01-18T13:43:38.105817
gpt-5.2_baseline_agentic,gpt-5.2,agentic,5,Yes,Yes,True,4466.506,193,117,0.00544,2026-01-18T13:43:42.572374
gpt-5.2_baseline_agentic,gpt-5.2,agentic,6,Yes,Yes,True,3747.952,186,122,0.00552,2026-01-18T13:43:46.320354
gpt-5.2_baseline_agentic,gpt-5.2,agentic,7,No,No,True,1980.021,186,100,0.00486,2026-01-18T13:43:48.300405
gpt-5.2_baseline_agentic,gpt-5.2,agentic,8,No,No,True,5534.246,194,244,0.00926,2026-01-18T13:43:53.834676
gpt-5.2_baseline_agentic,gpt-5.2,agentic,9,Yes,Yes,True,2761.723,185,120,0.00545,2026-01-18T13:43:56.596449
gpt-5.2_baseline_agentic,gpt-5.2,agentic,10,No,Yes,False,2047.694,185,109,0.00512,2026-01-18T13:43:58.644167
gpt-5.2_baseline_agentic,gpt-5.2,agentic,11,No,No,True,2046.117,192,85,0.00447,2026-01-18T13:44:00.690312
gpt-5.2_baseline_agentic,gpt-5.2,agentic,12,No,No,True,1638.651,187,80,0.00427,2026-01-18T13:44:02.328984
gpt-5.2_baseline_agentic,gpt-5.2,agentic,13,No,Yes,False,4922.959,190,236,0.00898,2026-01-18T13:44:07.251969
gpt-5.2_baseline_agentic,gpt-5.2,agentic,14,Yes,No,False,3332.148,193,186,0.00751,2026-01-18T13:44:10.584206
gpt-5.2_baseline_agentic,gpt-5.2,agentic,15,No,No,True,2191.409,186,103,0.0049499999999999,2026-01-18T13:44:12.775633
gpt-5.2_baseline_agentic,gpt-5.2,agentic,16,Yes,Yes,True,2148.994,190,108,0.00514,2026-01-18T13:44:14.924658
gpt-5.2_baseline_agentic,gpt-5.2,agentic,17,Yes,Yes,True,1538.5169999999998,188,79,0.0042499999999999,2026-01-18T13:44:16.463194
gpt-5.2_baseline_agentic,gpt-5.2,agentic,18,No,No,True,1332.521,186,77,0.00417,2026-01-18T13:44:17.795745
gpt-5.2_baseline_agentic,gpt-5.2,agentic,19,No,No,True,1225.837,184,74,0.0040599999999999,2026-01-18T13:44:19.021614
gpt-5.2_baseline_agentic,gpt-5.2,agentic,20,No,No,True,1986.75,191,121,0.00554,2026-01-18T13:44:21.008396
gpt-5.2_baseline_agentic,gpt-5.2,agentic,21,No,No,True,3649.206,190,152,0.00646,2026-01-18T13:44:24.657630
gpt-5.2_baseline_agentic,gpt-5.2,agentic,22,Yes,Yes,True,4095.74,188,148,0.0063199999999999,2026-01-18T13:44:28.753432
gpt-5.2_baseline_agentic,gpt-5.2,agentic,23,No,Yes,False,1427.097,183,60,0.00363,2026-01-18T13:44:30.180553
gpt-5.2_baseline_agentic,gpt-5.2,agentic,24,Yes,Yes,True,3203.85,192,155,0.0065699999999999,2026-01-18T13:44:33.384418
gpt-5.2_baseline_agentic,gpt-5.2,agentic,25,Yes,Yes,True,1099.157,185,56,0.00353,2026-01-18T13:44:34.483607
gpt-5.2_baseline_agentic,gpt-5.2,agentic,26,No,No,True,2680.7509999999997,187,112,0.00523,2026-01-18T13:44:37.164393
gpt-5.2_baseline_agentic,gpt-5.2,agentic,27,No,No,True,2742.8379999999997,186,97,0.00477,2026-01-18T13:44:39.907502
gpt-5.2_baseline_agentic,gpt-5.2,agentic,28,No,Yes,False,2358.748,185,112,0.00521,2026-01-18T13:44:42.266268
gpt-5.2_baseline_agentic,gpt-5.2,agentic,29,Yes,Yes,True,4097.52,191,144,0.00623,2026-01-18T13:44:46.363815
gpt-5.2_baseline_agentic,gpt-5.2,agentic,30,Yes,Yes,True,4227.384,190,148,0.00634,2026-01-18T13:44:50.591246
gpt-5.2_baseline_agentic,gpt-5.2,agentic,31,Yes,Yes,True,2529.719,186,107,0.00507,2026-01-18T13:44:53.120993
gpt-5.2_baseline_agentic,gpt-5.2,agentic,32,No,No,True,2354.7470000000003,195,117,0.00546,2026-01-18T13:44:55.475793
gpt-5.2_baseline_agentic,gpt-5.2,agentic,33,Yes,Yes,True,2494.595,189,125,0.00564,2026-01-18T13:44:57.970411
gpt-5.2_baseline_agentic,gpt-5.2,agentic,34,No,No,True,2013.632,191,85,0.00446,2026-01-18T13:44:59.984076
gpt-5.2_baseline_agentic,gpt-5.2,agentic,35,No,Yes,False,1872.694,185,105,0.005,2026-01-18T13:45:01.856804
gpt-5.2_baseline_agentic,gpt-5.2,agentic,36,No,No,True,2132.9500000000003,189,117,0.0054,2026-01-18T13:45:03.989776
gpt-5.2_baseline_agentic,gpt-5.2,agentic,37,Yes,Yes,True,1544.6409999999998,186,74,0.0040799999999999,2026-01-18T13:45:05.534435
gpt-5.2_baseline_agentic,gpt-5.2,agentic,38,Yes,Yes,True,1922.119,188,100,0.00488,2026-01-18T13:45:07.456598
gpt-5.2_baseline_agentic,gpt-5.2,agentic,39,Yes,Yes,True,2149.158,191,90,0.00461,2026-01-18T13:45:09.605783
gpt-5.2_baseline_agentic,gpt-5.2,agentic,40,No,No,True,2358.622,184,137,0.00595,2026-01-18T13:45:11.964432
gpt-5.2_baseline_agentic,gpt-5.2,agentic,41,Yes,Yes,True,2762.746,186,119,0.00543,2026-01-18T13:45:14.727229
gpt-5.2_baseline_agentic,gpt-5.2,agentic,42,Yes,Yes,True,3793.244,192,170,0.00702,2026-01-18T13:45:18.520505
gpt-5.2_baseline_agentic,gpt-5.2,agentic,43,Yes,Yes,True,2276.193,189,101,0.00492,2026-01-18T13:45:20.796753
gpt-5.2_baseline_agentic,gpt-5.2,agentic,44,No,No,True,2200.414,183,84,0.00435,2026-01-18T13:45:22.997198
gpt-5.2_baseline_agentic,gpt-5.2,agentic,45,No,No,True,3258.887,185,127,0.00566,2026-01-18T13:45:26.256111
gpt-5.2_baseline_agentic,gpt-5.2,agentic,46,No,No,True,2089.3920000000003,188,80,0.00428,2026-01-18T13:45:28.345527
gpt-5.2_baseline_agentic,gpt-5.2,agentic,47,No,No,True,1331.877,185,59,0.00362,2026-01-18T13:45:29.677428
gpt-5.2_baseline_agentic,gpt-5.2,agentic,48,Yes,Yes,True,3687.196,192,163,0.00681,2026-01-18T13:45:33.364655
gpt-5.2_baseline_agentic,gpt-5.2,agentic,49,No,No,True,2358.137,188,107,0.00509,2026-01-18T13:45:35.722821
