experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
mistral_local_baseline_synthesis,mistral,synthesis,0,"The document summarizes that there is a chronic need for accommodation for ex-offenders in Wales, with many struggling to find suitable housing upon their release from prison. The investment in housing is suggested as a cheaper alternative to jailing homeless repeat offenders.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",0.4086021505376344,9850.673999999999,2026-01-18T15:01:12.524886
mistral_local_baseline_synthesis,mistral,synthesis,1,Police recovered weapons and made an arrest during a search operation in two city areas.,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",0.39572192513368987,4192.719999999999,2026-01-18T15:01:16.717900
mistral_local_baseline_synthesis,mistral,synthesis,2,"Four individuals are charged with hate crimes for physically abusing an 18-year-old victim with disabilities, including forcing him to drink toilet water and making derogatory statements against certain groups.","Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",0.4078212290502793,7572.166,2026-01-18T15:01:24.290100
mistral_local_baseline_synthesis,mistral,synthesis,3,Former Arsenal goalkeeper secured two promotions for West Brom to the Premier League.,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",0.38743455497382195,3708.6299999999997,2026-01-18T15:01:27.998785
mistral_local_baseline_synthesis,mistral,synthesis,4,The study finds that a specific diet can reverse diabetes symptoms in mice by regenerating beta cells in the pancreas.,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",0.4545454545454545,8768.998,2026-01-18T15:01:36.767801
mistral_local_baseline_synthesis,mistral,synthesis,5,"If approved, the merger of Essilor and Luxottica could result in a reduction of competition and potential price increases for eyewear consumers.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",0.4039735099337748,10448.53,2026-01-18T15:01:47.216368
mistral_local_baseline_synthesis,mistral,synthesis,6,"Former Olympic cyclist Wendy Houvenaghel accuses British Cycling of ageism and disregard for athlete welfare, joining other high-profile cyclists in criticizing the World Class program.","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",0.38666666666666666,13239.742,2026-01-18T15:02:00.456279
mistral_local_baseline_synthesis,mistral,synthesis,7,"Kareem Badr and his partners turned a sinking comedy club into a thriving business, employing around 25 part-time and contract workers.",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,0.4609929078014184,11212.742,2026-01-18T15:02:11.669076
mistral_local_baseline_synthesis,mistral,synthesis,8,"Ofcom decides against breaking up BT due to practical obstacles, particularly the complexities of BT's giant pension scheme.","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",0.4234527687296417,7484.657999999999,2026-01-18T15:02:19.153780
mistral_local_baseline_synthesis,mistral,synthesis,9,"Liverpool manager Brendan Rodgers is preparing for the Scottish Cup semi-final against Rangers at Hampden Park, aiming to build on their previous victory in the Old Firm derby.",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,0.4936708860759494,8141.895999999999,2026-01-18T15:02:27.295716
