experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,0,Ex-offenders in Wales face chronic housing shortages despite cheaper housing options compared to incarceration; systemic barriers and insufficient support services hinder their recovery.,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",0.43416370106761565,19725.89,2026-02-08T17:52:35.732815
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,1,"Officers in Waterfront Park and Colonsay View recovered three firearms, ammunition, and a large sum of money; a 26-year-old was arrested and appeared at court on Thursday.","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",0.48148148148148145,14461.021999999999,2026-02-08T17:52:50.193866
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,2,Four teenagers charged with hate crimes and aggravated kidnapping for a 18-year-old victim with schizophrenia and ADHD who was beaten and forced to drink toilet water and kiss the floor in a Chicago court.,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",0.40793201133144474,10388.748,2026-02-08T17:53:00.582658
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,3,"The former Arsenal goalkeeper spent four years with the Royals before becoming director of football in 2003, playing a key role in West Brom's promotion to the Premier League in 2006 and 2012.","West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",0.4093959731543624,14113.091,2026-02-08T17:53:14.695772
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,4,A fasting-mimicking diet reverses diabetes symptoms in mice by regenerating beta cells that control blood sugar levels.,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",0.4343891402714932,15694.241,2026-02-08T17:53:30.390043
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,5,"The merger of Essilor and Luxottica risks increasing market control, reducing competition, and possibly lowering product quality, with opticians warning of potential negative effects on the industry.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",0.41456582633053224,19392.571,2026-02-08T17:53:49.782651
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,6,Houvenaghel criticized British Cycling for ageism and lack of athlete welfare amid a report detailing its doping failures and cultural shortcomings.,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",0.39543726235741444,15550.46,2026-02-08T17:54:05.333133
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,7,"Kareem Badr turned The Hideout into a thriving comedy club, capitalizing on the rise of stand-up comedy and national trends while managing financial aspects like alcohol sales and high-earning performers.",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,0.45014245014245013,21966.697,2026-02-08T17:54:27.299865
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,8,"BT avoided breakup as pension scheme issues delayed the process, with Ofcom noting practical obstacles including a £10bn deficit and government guarantees, while BT plans to restructure could face political challenges.","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",0.4039900249376559,13153.752,2026-02-08T17:54:40.453645
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,9,"Rodgers' maiden visit to Celtic Park saw his team secure a 5-1 victory, with the manager emphasizing the importance of neutral ground and aiming for a third semi-final success.",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,0.4556962025316455,10756.5,2026-02-08T17:54:51.210169
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,10,"Queen's University faces a £8m funding cut impacting student places and staff jobs, with plans to reduce 1,010 undergrad slots while striving to maintain academic quality without public support.",Queen's University Belfast is cutting 236 jobs and 290 student places due to a funding reduction.,0.4673539518900344,24620.524,2026-02-08T17:55:15.830722
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,11,"The East Sussex NHS Trust mistakenly attached incorrect information leaflets to appointment letters for some patients, leading them to believe they might have cancer, due to an administrative error by an external printing company.",Hospital bosses in Sussex have apologised after about 850 patients were sent leaflets in error suggesting they might have cancer.,0.4345403899721448,14846.161,2026-02-08T17:55:30.676923
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,12,"Labour rejects division over Brexit, promising not to ""frustrate Brexit"" despite opposition, while seeking amendments for a meaningful vote and protecting EU nationals' statuses, with potential consequences for frontbenchers if another whip is imposed.",The shadow foreign secretary has suggested Labour will continue to support legislation paving the way for Brexit as it passes through Parliament.,0.39294710327455923,19031.787,2026-02-08T17:55:49.708744
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,13,"The National League sold an Irish midfielder to the Cherries for £175,000 in 2012 with a 15% sell-on clause, despite the club's financial struggles forcing it to cut back on activities after losing a wealthy owner.",Torquay United boss Kevin Nicholson says none of the money from Eunan O'Kane's move to Leeds from Bournemouth will go to the playing squad.,0.37393767705382436,11756.023000000001,2026-02-08T17:56:01.464796
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,14,"Iwan Wyn Lewis, sectioned for alleged assault on his mother, was found in the Menai Strait with a doctor noting possible distress from a police visit during an inquest.",North Wales Police has been criticised at an inquest for sending an officer to speak to a hospital patient with paranoid schizophrenia.,0.4224422442244224,14967.449999999999,2026-02-08T17:56:16.432263
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,15,Taylor-Fletcher joins the Foxes after scoring three goals for Blackpool last season but only plays twice this term due to a new one-year contract.,Leicester City striker Gary Taylor-Fletcher has joined Sheffield Wednesday on an initial month-long loan.,0.4143426294820717,15194.163,2026-02-08T17:56:31.626447
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,16,US scientists are worried that the Trump administration might restrict access to climate research data due to its inconsistent statements on global warming and other scientific issues.,"Limiting access to federal research would do an ""enormous disservice"" to the US and the world according to former Nasa chief scientist.",0.45768025078369906,23417.165,2026-02-08T17:56:55.043634
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,17,"Bradbury, a key drummer from The Specials who passed away in 2023 due to cancer after battling the illness for nearly two years, was remembered for his significant contribution to the band's music and his enduring legacy in ska and reggae.","John ""Brad"" Bradbury, drummer with The Specials, has died at the age of 62.",0.3439490445859873,13149.072,2026-02-08T17:57:08.192729
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,18,"The 2023 PGA Tour event at Torrey Pines featured Woods' challenging recovery from a back injury as top players like Day and Johnson missed the cut, while Rose led with a solid round.","Tiger Woods missed the cut at the Farmers Insurance Open, as England's Justin Rose maintained a one-shot lead.",0.40410958904109595,11214.193,2026-02-08T17:57:19.406951
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,19,"Cole, a former Manchester United, Newcastle, and Blackburn forward recovering from kidney failure, will return to his role as an ambassador despite health obstacles and expresses optimism about playing again if conditions improve or future matches are scheduled.","Former England striker Andy Cole says he faces a ""long road ahead"" as he recovers from his recent kidney transplant.",0.37037037037037035,39847.949,2026-02-08T17:57:59.254933
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,20,"The ban on YouTube in Pakistan was removed following Google's launch of a local version, while YouTube denied allegations of content filtering and activists called for more transparency in the agreement terms.","Pakistan has unblocked the video sharing site, YouTube, more than three years after it was banned for posting a video deemed insulting to Islam.",0.45325779036827196,12168.31,2026-02-08T17:58:11.423296
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,21,Benjamin Open's serious neck injury may end his rugby career as he faces an uncertain future with only eight weeks remaining in the season.,"Leicester Tigers winger Miles Benjamin is likely to be out for the rest of the season because of a knee injury, reports BBC Radio Leicester.",0.41577060931899645,12635.268,2026-02-08T17:58:24.058589
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,22,"Doull Emly, along with Sir Bradley Wiggins, Steven Burke, and Ed Clancy, helped Great Britain win team pursuit gold with a new world record time.",Owain Doull has won Wales' first gold of the 2016 Olympics as  he helped the Great Britain men's team pursuit defend their cycling title in Rio.,0.5190311418685121,14912.091999999999,2026-02-08T17:58:38.970702
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,23,"The death toll has risen as floods in India have affected multiple states, displacing millions and prompting Prime Minister Narendra Modi to visit one of them for a permanent solution.","Floods in the western Indian state of Gujarat have killed 218 people, government officials have confirmed.",0.38620689655172413,12500.021,2026-02-08T17:58:51.470741
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,24,"Bridget and Jonathan Reid, snowsports enthusiasts from Moy, married at Nevis Range using their wedding attire before skiing down a run.",All images copyrighted.,0.20253164556962028,38151.88,2026-02-08T17:59:29.622645
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,25,"The Hong Kong SFC fined RBS a modest amount for inadequate controls in emerging markets trades following Shirlina Tsang's conviction, though the bank credited its swift response to authorities with reducing penalties compared to previous fines.","Royal Bank of Scotland (RBS) has been fined HK$6m (£460,000) by Hong Kong regulators after it failed to detect a series of unauthorised transactions by one of its traders.",0.42891566265060244,11185.548,2026-02-08T17:59:40.808211
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,26,"The document profiles award-winning actors discussing their experiences, quotes about acting, and a humorous take on Donald Trump by Mel Brooks.","The Bafta awards had laughter, passion and plenty of politics.",0.37864077669902907,12255.324999999999,2026-02-08T17:59:53.063558
deepseek-r1:7b_local_baseline_synthesis,deepseek-r1:7b,synthesis,27,"Andy Murray's 2017 saw mixed performance, health challenges, and declining Grand Slam standing as he risks being overtaken by Nadal or Djokovic in the rankings.","Of his last 30 matches in 2016, Andy Murray won 28 and lost just two.",0.3231441048034934,20331.127,2026-02-08T18:00:13.394715
