experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-4o_baseline_math,gpt-4o,math,0,18,18,True,3.973,239,106,0.0016575000000000001,2026-01-19T15:20:53.095096
gpt-4o_baseline_math,gpt-4o,math,1,3,3,True,0.9810000000000001,202,109,0.001595,2026-01-19T15:20:53.096089
gpt-4o_baseline_math,gpt-4o,math,2,"$195,000",70000,False,2.321,225,217,0.0027325,2026-01-19T15:20:53.098419
gpt-4o_baseline_math,gpt-4o,math,3,540,540,True,1.071,210,114,0.001665,2026-01-19T15:20:53.099498
gpt-4o_baseline_math,gpt-4o,math,4,20,20,True,1.113,283,158,0.0022874999999999996,2026-01-19T15:20:53.100619
gpt-4o_baseline_math,gpt-4o,math,5,64,64,True,1.193,228,302,0.0035900000000000003,2026-01-19T15:20:53.101821
gpt-4o_baseline_math,gpt-4o,math,6,260,260,True,0.9909999999999999,217,202,0.0025625,2026-01-19T15:20:53.102819
gpt-4o_baseline_math,gpt-4o,math,7,160 minutes,160,False,1.1869999999999998,242,231,0.002915,2026-01-19T15:20:53.104020
gpt-4o_baseline_math,gpt-4o,math,8,45 miles,45,False,1.22,277,296,0.0036525,2026-01-19T15:20:53.105267
gpt-4o_baseline_math,gpt-4o,math,9,$460,460,False,1.106,233,208,0.0026625,2026-01-19T15:20:53.106382
gpt-4o_baseline_math,gpt-4o,math,10,366,366,True,0.834,234,168,0.0022649999999999997,2026-01-19T15:20:53.107223
gpt-4o_baseline_math,gpt-4o,math,11,$694,694,False,0.8019999999999999,235,250,0.0030875,2026-01-19T15:20:53.108032
gpt-4o_baseline_math,gpt-4o,math,12,12,13,False,1.036,241,357,0.0041725,2026-01-19T15:20:53.109074
gpt-4o_baseline_math,gpt-4o,math,13,18,18,True,1.091,234,424,0.004824999999999999,2026-01-19T15:20:53.110173
gpt-4o_baseline_math,gpt-4o,math,14,60%,60,False,0.7649999999999999,225,208,0.0026425,2026-01-19T15:20:53.110944
gpt-4o_baseline_math,gpt-4o,math,15,$125,125,False,0.7739999999999999,266,300,0.003665,2026-01-19T15:20:53.111724
gpt-4o_baseline_math,gpt-4o,math,16,230 miles,230,False,0.8140000000000001,225,142,0.0019825,2026-01-19T15:20:53.112545
gpt-4o_baseline_math,gpt-4o,math,17,"$57,500",57500,False,0.9430000000000001,228,205,0.00262,2026-01-19T15:20:53.113495
gpt-4o_baseline_math,gpt-4o,math,18,7,7,True,0.8260000000000001,203,134,0.0018475000000000002,2026-01-19T15:20:53.114327
gpt-4o_baseline_math,gpt-4o,math,19,6,6,True,0.799,240,192,0.00252,2026-01-19T15:20:53.115133
gpt-4o_baseline_math,gpt-4o,math,20,15,15,True,1.142,236,322,0.00381,2026-01-19T15:20:53.116281
gpt-4o_baseline_math,gpt-4o,math,21,14,14,True,0.554,220,149,0.00204,2026-01-19T15:20:53.116843
gpt-4o_baseline_math,gpt-4o,math,22,7,7,True,1.1139999999999999,230,268,0.003255,2026-01-19T15:20:53.117965
gpt-4o_baseline_math,gpt-4o,math,23,8,8,True,0.8,212,119,0.0017200000000000002,2026-01-19T15:20:53.118771
gpt-4o_baseline_math,gpt-4o,math,24,26.00,26,True,0.8989999999999999,211,164,0.0021675,2026-01-19T15:20:53.119676
gpt-4o_baseline_math,gpt-4o,math,25,2,2,True,0.7789999999999999,239,241,0.0030074999999999998,2026-01-19T15:20:53.120462
gpt-4o_baseline_math,gpt-4o,math,26,$243,243,False,0.92,240,229,0.00289,2026-01-19T15:20:53.121389
gpt-4o_baseline_math,gpt-4o,math,27,$16.00,16,False,0.9779999999999999,229,150,0.0020724999999999997,2026-01-19T15:20:53.122375
gpt-4o_baseline_math,gpt-4o,math,28,25,25,True,1.013,223,139,0.0019475,2026-01-19T15:20:53.123395
gpt-4o_baseline_math,gpt-4o,math,29,104,104,True,0.983,243,196,0.0025675,2026-01-19T15:20:53.124387
gpt-4o_baseline_math,gpt-4o,math,30,109,109,True,0.962,211,215,0.0026775,2026-01-19T15:20:53.125357
gpt-4o_baseline_math,gpt-4o,math,31,80,80,True,0.9420000000000001,236,162,0.00221,2026-01-19T15:20:53.126307
gpt-4o_baseline_math,gpt-4o,math,32,35,35,True,0.775,216,111,0.00165,2026-01-19T15:20:53.127088
gpt-4o_baseline_math,gpt-4o,math,33,70,70,True,0.964,204,241,0.00292,2026-01-19T15:20:53.128058
gpt-4o_baseline_math,gpt-4o,math,34,23,23,True,0.897,216,122,0.0017599999999999998,2026-01-19T15:20:53.128961
gpt-4o_baseline_math,gpt-4o,math,35,9,9,True,0.767,224,139,0.00195,2026-01-19T15:20:53.129734
