experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
gpt-4o_local_baseline_math,gpt-4o,math,0,18,18,True,4.531999999999999,2026-01-23T14:41:26.016742
gpt-4o_local_baseline_math,gpt-4o,math,1,3,3,True,2.326,2026-01-23T14:41:26.019075
gpt-4o_local_baseline_math,gpt-4o,math,2,"$70,000",70000,False,1.629,2026-01-23T14:41:26.020709
gpt-4o_local_baseline_math,gpt-4o,math,3,540,540,True,1.46,2026-01-23T14:41:26.022174
gpt-4o_local_baseline_math,gpt-4o,math,4,20,20,True,1.204,2026-01-23T14:41:26.023383
gpt-4o_local_baseline_math,gpt-4o,math,5,64,64,True,2705.975,2026-01-23T14:41:28.729363
gpt-4o_local_baseline_math,gpt-4o,math,6,260,260,True,1907.474,2026-01-23T14:41:30.636857
gpt-4o_local_baseline_math,gpt-4o,math,7,160,160,True,4057.0519999999997,2026-01-23T14:41:34.693955
gpt-4o_local_baseline_math,gpt-4o,math,8,45,45,True,5252.487999999999,2026-01-23T14:41:39.946461
gpt-4o_local_baseline_math,gpt-4o,math,9,460,460,True,3274.289,2026-01-23T14:41:43.220762
gpt-4o_local_baseline_math,gpt-4o,math,10,366,366,True,2770.9640000000004,2026-01-23T14:41:45.991746
gpt-4o_local_baseline_math,gpt-4o,math,11,694,694,True,2168.0769999999998,2026-01-23T14:41:48.159855
gpt-4o_local_baseline_math,gpt-4o,math,12,12,13,False,3155.112,2026-01-23T14:41:51.314984
gpt-4o_local_baseline_math,gpt-4o,math,13,18,18,True,6519.88,2026-01-23T14:41:57.834882
gpt-4o_local_baseline_math,gpt-4o,math,14,60,60,True,3399.389,2026-01-23T14:42:01.234292
gpt-4o_local_baseline_math,gpt-4o,math,15,125,125,True,2674.449,2026-01-23T14:42:03.908760
gpt-4o_local_baseline_math,gpt-4o,math,16,230,230,True,1890.9830000000002,2026-01-23T14:42:05.799765
gpt-4o_local_baseline_math,gpt-4o,math,17,"57,500",57500,True,1899.9470000000001,2026-01-23T14:42:07.699728
gpt-4o_local_baseline_math,gpt-4o,math,18,7,7,True,2453.741,2026-01-23T14:42:10.153493
gpt-4o_local_baseline_math,gpt-4o,math,19,6,6,True,2893.6389999999997,2026-01-23T14:42:13.047151
gpt-4o_local_baseline_math,gpt-4o,math,20,15,15,True,6629.97,2026-01-23T14:42:19.677143
