experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,0,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""India"", ""Adyar""],
  ""MISC"": [""1884""]
}","{""PER"": [], ""ORG"": [], ""LOC"": [""India"", ""Adyar""], ""MISC"": []}",True,4.670999999999999,211,42,5.685e-05,2026-01-19T15:20:47.862304
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,1,"{
  ""PER"": [""Kanye West"", ""Jamie Foxx""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Gold Digger"", ""2005""]
}","{""PER"": [""Kanye West"", ""Jamie Foxx""], ""ORG"": [""Gold Digger""], ""LOC"": [], ""MISC"": []}",True,1.739,205,50,6.075e-05,2026-01-19T15:20:47.864068
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,2,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Mycalesis perseus lalassis"", ""Hewitson"", ""1864""]
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Mycalesis perseus lalassis""], ""MISC"": []}",False,1.5399999999999998,206,52,6.209999999999999e-05,2026-01-19T15:20:47.865617
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,3,"{
  ""PER"": [""Jonny Lee Miller""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Eli Stone""]
}","{""PER"": [""Jonny Lee Miller""], ""ORG"": [""Eli Stone""], ""LOC"": [], ""MISC"": []}",True,1.589,195,42,5.4449999999999995e-05,2026-01-19T15:20:47.867215
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,4,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""United States""],
  ""MISC"": [""bar""]
}","{""PER"": [], ""ORG"": [""Admission to the bar in the United States""], ""LOC"": [], ""MISC"": []}",False,0.993,196,38,5.2199999999999995e-05,2026-01-19T15:20:47.868219
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,5,"{
  ""PER"": [""Willy Unger""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""Willy Unger""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,1.15,195,38,5.2050000000000005e-05,2026-01-19T15:20:47.869377
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,6,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Palermo""],
  ""MISC"": [""Palermo Cathedral""]
}","{""PER"": [], ""ORG"": [""Palermo Cathedral""], ""LOC"": [], ""MISC"": []}",False,0.9600000000000001,203,40,5.4449999999999995e-05,2026-01-19T15:20:47.870347
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,7,"{
  ""PER"": [],
  ""ORG"": [""The O.C.""],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""List of The O.C. characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,1.212,195,38,5.2050000000000005e-05,2026-01-19T15:20:47.871580
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,8,"{
  ""PER"": [],
  ""ORG"": [""Cardiff Royal Infirmary""],
  ""LOC"": [""Roath"", ""Cardiff""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Cardiff Royal Infirmary""], ""LOC"": [""Roath , Cardiff""], ""MISC"": []}",False,0.916,199,47,5.805e-05,2026-01-19T15:20:47.872504
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,9,"{
  ""PER"": [""Roger Houdet""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""9 June 1958"", ""27 May 1959""]
}","{""PER"": [""Roger Houdet""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,0.6449999999999999,204,50,6.0599999999999996e-05,2026-01-19T15:20:47.873157
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,10,"{
  ""PER"": [],
  ""ORG"": [""Oz""],
  ""LOC"": [],
  ""MISC"": [""TV series"", ""characters""]
}","{""PER"": [""List of Oz ( TV series ) characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,1.348,196,41,5.4e-05,2026-01-19T15:20:47.874512
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,11,"{
  ""PER"": [""Jack"", ""Diane"", ""John Mellencamp""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Top 11""]
}","{""PER"": [""John Mellencamp""], ""ORG"": [""Jack and Diane""], ""LOC"": [], ""MISC"": []}",False,0.897,206,49,6.0299999999999995e-05,2026-01-19T15:20:47.875417
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,12,"{""PER"": [], ""ORG"": [], ""LOC"": [""Antarctic"", ""sub-Antarctic""], ""MISC"": []}","{""PER"": [], ""ORG"": [""List of Antarctic and sub-Antarctic islands""], ""LOC"": [], ""MISC"": []}",False,0.95,198,39,5.3099999999999996e-05,2026-01-19T15:20:47.876374
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,13,"{
  ""PER"": [],
  ""ORG"": [""1st Foreign Legion Cavalry Regiment""],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""1st Foreign Legion Cavalry Regiment""], ""LOC"": [], ""MISC"": []}",True,0.7290000000000001,195,41,5.3849999999999994e-05,2026-01-19T15:20:47.877109
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,14,"{
  ""PER"": [""John Reid""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""27 July 1998"", ""17 May 1999""]
}","{""PER"": [""John Reid""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,0.9269999999999999,205,49,6.014999999999999e-05,2026-01-19T15:20:47.878041
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,15,"{
  ""PER"": [""Manuel Ibáñez""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Flaco""]
}","{""PER"": [""Manuel `` Flaco '' Ib\u00e1\u00f1ez""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,0.909,197,42,5.4749999999999996e-05,2026-01-19T15:20:47.878955
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,16,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Moments and Mine"", ""7"", ""single"", ""1981""]
}","{""PER"": [], ""ORG"": [""Moments and Mine""], ""LOC"": [], ""MISC"": []}",False,0.742,201,48,5.8949999999999996e-05,2026-01-19T15:20:47.879702
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,17,"{""PER"": [], ""ORG"": [""Akritas Chlorakas""], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [""Akritas Chlorakas""], ""LOC"": [], ""MISC"": []}",True,0.735,199,34,5.025e-05,2026-01-19T15:20:47.880443
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,18,"{
  ""PER"": [],
  ""ORG"": [""Farmers ' Almanac""],
  ""LOC"": [],
  ""MISC"": [""1818–present""]
}","{""PER"": [], ""ORG"": [""Farmers ' Almanac""], ""LOC"": [], ""MISC"": []}",True,0.713,200,44,5.64e-05,2026-01-19T15:20:47.881162
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,19,"{
  ""PER"": [],
  ""ORG"": [""Kuomintang""],
  ""LOC"": [""Tianjin""],
  ""MISC"": [""1931""]
}","{""PER"": [], ""ORG"": [""Kuomintang""], ""LOC"": [""Tianjin""], ""MISC"": []}",True,0.754,209,44,5.775e-05,2026-01-19T15:20:47.881922
gpt-4o-mini_baseline_extraction,gpt-4o-mini,extraction,20,"{""PER"": [], ""ORG"": [], ""LOC"": [""Peru""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Peru""], ""MISC"": []}",True,0.781,193,31,4.7550000000000004e-05,2026-01-19T15:20:47.882709
