experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2_baseline_classification,gpt-5.2,classification,0,lost_or_stolen_card,card_arrival,False,1647.3990000000001,1313,56,0.01481,2026-02-07T12:26:48.101980
gpt-5.2_baseline_classification,gpt-5.2,classification,1,card_arrival,card_arrival,True,1167.5120000000002,1322,49,0.014690000000000002,2026-02-07T12:26:49.269520
gpt-5.2_baseline_classification,gpt-5.2,classification,2,card_arrival,card_arrival,True,1385.461,1319,45,0.01454,2026-02-07T12:26:50.655006
gpt-5.2_baseline_classification,gpt-5.2,classification,3,card_delivery_estimate,card_arrival,False,1329.8190000000002,1318,46,0.014559999999999998,2026-02-07T12:26:51.984848
gpt-5.2_baseline_classification,gpt-5.2,classification,4,card_arrival,card_arrival,True,1498.5420000000001,1313,48,0.01457,2026-02-07T12:26:53.483414
gpt-5.2_baseline_classification,gpt-5.2,classification,5,card_delivery_estimate,card_arrival,False,2248.37,1313,53,0.014719999999999999,2026-02-07T12:26:55.731809
gpt-5.2_baseline_classification,gpt-5.2,classification,6,card_delivery_estimate,card_arrival,False,1686.363,1323,50,0.014729999999999998,2026-02-07T12:26:57.418199
gpt-5.2_baseline_classification,gpt-5.2,classification,7,card_arrival,card_arrival,True,1425.771,1313,47,0.014539999999999999,2026-02-07T12:26:58.844008
gpt-5.2_baseline_classification,gpt-5.2,classification,8,card_arrival,card_arrival,True,1419.6709999999998,1312,49,0.014589999999999999,2026-02-07T12:27:00.263707
gpt-5.2_baseline_classification,gpt-5.2,classification,9,card_delivery_estimate,card_arrival,False,1575.557,1321,54,0.01483,2026-02-07T12:27:01.839291
gpt-5.2_baseline_classification,gpt-5.2,classification,10,card_delivery_estimate,card_arrival,False,1407.508,1313,47,0.014539999999999999,2026-02-07T12:27:03.246822
gpt-5.2_baseline_classification,gpt-5.2,classification,11,card_delivery_estimate,card_arrival,False,1812.7830000000001,1314,51,0.01467,2026-02-07T12:27:05.059628
