experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
phi4_local_baseline_synthesis,phi4,synthesis,0,"Ex-offenders face significant challenges in finding suitable accommodation after release, leading to prolonged periods of homelessness and higher costs associated with repeat offenses, despite efforts by charities and government initiatives.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",0.37499999999999994,87.40199999999999,2026-02-06T20:40:22.828160
phi4_local_baseline_synthesis,phi4,synthesis,1,"Police recovered three firearms, ammunition, and a large sum of money during raids in Edinburgh, leading to the arrest and charging of a 26-year-old man.","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",0.47619047619047616,3.35,2026-02-06T20:40:22.831528
phi4_local_baseline_synthesis,phi4,synthesis,2,"Four individuals have been charged with hate crimes and other offenses after allegedly kidnapping and assaulting an 18-year-old white male in Chicago, with actions captured on a widely viewed Facebook Live video.","Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",0.4666666666666667,5.437,2026-02-06T20:40:22.836974
phi4_local_baseline_synthesis,phi4,synthesis,3,"A former Arsenal goalkeeper who played for West Bromwich Albion has been instrumental in their promotion to the Premier League twice, as youth academy director since 2000 and director of football since 2003.","West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",0.37699680511182104,4.347,2026-02-06T20:40:22.841330
phi4_local_baseline_synthesis,phi4,synthesis,4,"A modified fasting-mimicking diet has been shown to reverse symptoms of diabetes in animal experiments by regenerating insulin-producing beta cells in the pancreas, offering a potentially new treatment for both type 1 and type 2 diabetes.","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",0.38823529411764707,4.715,2026-02-06T20:40:22.846060
phi4_local_baseline_synthesis,phi4,synthesis,5,"The proposed merger between Essilor and Luxottica could create a dominant force in the eyewear industry, raising concerns about reduced competition, consumer choice, and potential quality decline. While both companies argue for benefits like synergies and innovation, experts worry about smaller competitors being squeezed out and less diversity in high-end glasses offerings.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",0.37453183520599254,50824.358,2026-02-06T20:41:13.670455
phi4_local_baseline_synthesis,phi4,synthesis,6,"Wendy Houvenaghel accuses British Cycling of ageism and neglecting athlete welfare, aligning with other high-profile cyclists' criticisms. A leaked report supports her claims, prompting British Cycling to acknowledge past failings and implement a 39-point action plan. The upcoming government review aims to reform how athletes are treated by governing bodies.","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",0.3368421052631579,49443.183,2026-02-06T20:42:03.113710
phi4_local_baseline_synthesis,phi4,synthesis,7,"The US comedy club industry has seen growth despite economic challenges, driven by local talent and digital media's influence. Kareem Badr successfully revitalized a struggling Austin comedy club using his problem-solving skills from computer science. The industry benefits from alcohol sales and tiered ticket pricing for different acts. Stand-up comedy remains resilient as people seek laughter, especially during difficult times.",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,0.34887737478411057,52871.278,2026-02-06T20:42:55.985059
phi4_local_baseline_synthesis,phi4,synthesis,8,"Ofcom decided against breaking up BT due to practical obstacles, including complications with land deals and a significant pension scheme deficit related to Openreach, opting instead for enforced separation through new governance structures.","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",0.4386792452830188,45037.465,2026-02-06T20:43:41.022587
phi4_local_baseline_synthesis,phi4,synthesis,9,"Brendan Rodgers expresses optimism ahead of an Old Firm derby, emphasizing preparation and performance while acknowledging past challenges for Celtic at Hampden Park.",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,0.4444444444444444,15545.769,2026-02-06T20:43:56.568421
phi4_local_baseline_synthesis,phi4,synthesis,10,"Queen's University Belfast plans to cut undergraduate places by 1,010 over three years due to an £8m funding reduction from the Department of Employment and Learning, potentially impacting staff jobs and department viability.",Queen's University Belfast is cutting 236 jobs and 290 student places due to a funding reduction.,0.4534161490683229,23504.396,2026-02-06T20:44:20.072878
phi4_local_baseline_synthesis,phi4,synthesis,11,"East Sussex NHS Trust apologizes for mistakenly sending out incorrect patient information leaflets due to an administrative error by an external printing company, causing unnecessary anxiety among recipients.",Hospital bosses in Sussex have apologised after about 850 patients were sent leaflets in error suggesting they might have cancer.,0.4629080118694362,12482.849999999999,2026-02-06T20:44:32.555793
phi4_local_baseline_synthesis,phi4,synthesis,12,"Labour faces internal divisions over Brexit legislation, with potential resignations looming for MPs who defy party lines, despite efforts to amend the bill for a ""meaningful vote"" on the final deal.",The shadow foreign secretary has suggested Labour will continue to support legislation paving the way for Brexit as it passes through Parliament.,0.40697674418604657,22039.577999999998,2026-02-06T20:44:54.595419
phi4_local_baseline_synthesis,phi4,synthesis,13,"Plymouth Argyle will use any money from O'Kane's transfer to support the club, not benefiting former manager Paul Mariner due to financial struggles.",Torquay United boss Kevin Nicholson says none of the money from Eunan O'Kane's move to Leeds from Bournemouth will go to the playing squad.,0.4305555555555556,14891.775000000001,2026-02-06T20:45:09.487241
phi4_local_baseline_synthesis,phi4,synthesis,14,"Iwan Wyn Lewis, who was receiving treatment in a mental health unit after being sectioned, died by drowning in the Menai Strait following a police visit that may have contributed to his distress.",North Wales Police has been criticised at an inquest for sending an officer to speak to a hospital patient with paranoid schizophrenia.,0.4424242424242424,14916.469,2026-02-06T20:45:24.403772
phi4_local_baseline_synthesis,phi4,synthesis,15,Former Blackpool forward Taylor-Fletcher has joined Sheffield United and featured only twice for Leicester City this season after signing a new one-year deal with them in the summer.,Leicester City striker Gary Taylor-Fletcher has joined Sheffield Wednesday on an initial month-long loan.,0.4947735191637631,14105.135,2026-02-06T20:45:38.508971
phi4_local_baseline_synthesis,phi4,synthesis,16,"US scientists fear that the Trump administration may restrict access to climate data, prompting them to safeguard information by copying it onto external servers. Concerns arise from political rhetoric against mainstream climate science and past experiences under similar administrations. Scientists emphasize the importance of maintaining open access to taxpayer-funded data for research and policy-making, while some in the field see this as an opportunity to challenge prevailing scientific models.","Limiting access to federal research would do an ""enormous disservice"" to the US and the world according to former Nasa chief scientist.",0.32075471698113206,51449.14,2026-02-06T20:46:29.958174
phi4_local_baseline_synthesis,phi4,synthesis,17,"Bradley ""Brad"" Bradbury, the influential drummer of The Specials known for pioneering the Two Tone sound, has passed away at 62, leaving a significant legacy in music.","John ""Brad"" Bradbury, drummer with The Specials, has died at the age of 62.",0.48760330578512395,43798.003000000004,2026-02-06T20:47:13.756253
phi4_local_baseline_synthesis,phi4,synthesis,18,"Tiger Woods missed the cut by four shots after a level-par round of 72 at Torrey Pines, while overnight leader Rose leads with eight under par in the PGA Tour event.","Tiger Woods missed the cut at the Farmers Insurance Open, as England's Justin Rose maintained a one-shot lead.",0.5236363636363636,16423.420000000002,2026-02-06T20:47:30.179719
phi4_local_baseline_synthesis,phi4,synthesis,19,"Cole, recovering from kidney failure, is cautiously optimistic about his health while also commenting on the gap between English and top European football clubs.","Former England striker Andy Cole says he faces a ""long road ahead"" as he recovers from his recent kidney transplant.",0.4043321299638989,15485.001,2026-02-06T20:47:45.664776
