experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,0,"Ex-offenders struggle to find stable accommodation post-release, with some living on the streets for up to a year, and investment in housing is proposed as a more cost-effective solution than repeated imprisonment.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",0.37540453074433655,7078.255999999999,2026-02-06T21:36:05.653542
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,1,Police seized weapons and money from searches in Edinburgh and charged a 26-year-old man.,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",0.4042553191489362,3198.419,2026-02-06T21:36:08.851982
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,2,"Four individuals have been charged with hate crimes and other offenses for allegedly kidnapping, beating, and humiliating an 18-year-old white victim with disabilities in Chicago.","Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",0.39755351681957185,4691.277,2026-02-06T21:36:13.543281
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,3,A former Arsenal goalkeeper turned manager played crucial roles in promoting Reading FC to the Premier League twice.,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",0.41441441441441446,2823.315,2026-02-06T21:36:16.366617
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,4,"A modified fasting-mimicking diet regenerated beta cells in mice, potentially reversing symptoms of both type 1 and type 2 diabetes.","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",0.4188034188034188,6237.932,2026-02-06T21:36:22.604594
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,5,"A proposed merger between Essilor and Luxottica, leading manufacturers of lenses and frames, faces scrutiny over its potential to reduce competition and limit consumer choice in the eyewear industry.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",0.453781512605042,8866.826,2026-02-06T21:36:31.471444
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,6,"Olympic cyclist Wendy Houvenaghel accuses British Cycling of ageism and poor athlete welfare, joining a growing list of high-profile cyclists who have criticized the organization's World Class programme.","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",0.38364779874213845,8777.352,2026-02-06T21:36:40.248831
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,7,"Kareem Badr's comedy club, The Hideout, in Austin, Texas, has thrived despite initial struggles, reflecting the broader growth of comedy clubs in the US as people seek entertainment and emotional outlets.",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,0.45014245014245013,9806.784,2026-02-06T21:36:50.055664
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,8,"BT narrowly escaped breakup after Ofcom cited practical issues such as the company's massive pension scheme, but faces potential conflicts with new regulations aimed at improving broadband services.","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",0.4514435695538058,5286.086,2026-02-06T21:36:55.341771
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,9,Rodgers prepares his team for the challenging Old Firm derby by focusing on maintaining their high performance level to overcome Celtic at Hampden Park.,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,0.4109589041095891,4951.811000000001,2026-02-06T21:37:00.293602
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,10,"Queen's University Belfast plans to reduce undergraduate places by 1,010 over three years due to an £8m funding cut from the Department of Employment and Learning.",Queen's University Belfast is cutting 236 jobs and 290 student places due to a funding reduction.,0.5384615384615384,5372.615,2026-02-06T21:37:05.666237
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,11,"East Sussex NHS Trust mistakenly sent out wrong patient information leaflets with appointment letters due to an external printing company's coding error, causing temporary anxiety for affected patients.",Hospital bosses in Sussex have apologised after about 850 patients were sent leaflets in error suggesting they might have cancer.,0.45317220543806647,4448.49,2026-02-06T21:37:10.114746
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,12,"Labour is committed to not ""frustrating Brexit"" despite internal divisions and will try to secure amendments to the Brexit bill while maintaining support for its passage.",The shadow foreign secretary has suggested Labour will continue to support legislation paving the way for Brexit as it passes through Parliament.,0.4190476190476191,5610.400000000001,2026-02-06T21:37:15.725168
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,13,"Exeter City, facing financial difficulties after losing their owner and closing down the academy, are set to receive money from the sale of a midfielder but plan to reinvest it rather than benefit personally.",Torquay United boss Kevin Nicholson says none of the money from Eunan O'Kane's move to Leeds from Bournemouth will go to the playing squad.,0.43804034582132567,4384.898,2026-02-06T21:37:20.110095
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,14,"Iwan Wyn Lewis, a 36-year-old man receiving psychiatric care for assaulting his mother, died in the Menai Strait after a police visit reportedly added to his agitation.",North Wales Police has been criticised at an inquest for sending an officer to speak to a hospital patient with paranoid schizophrenia.,0.44224422442244227,5538.682,2026-02-06T21:37:25.648804
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,15,"Taylor-Fletcher, a 33-year-old forward who recently signed with Sheffield Wednesday, has struggled for playing time at Leicester City despite previous good form.",Leicester City striker Gary Taylor-Fletcher has joined Sheffield Wednesday on an initial month-long loan.,0.45864661654135336,3194.765,2026-02-06T21:37:28.843608
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,16,"Scientists are rushing to copy climate data in anticipation of potential restrictions under the Trump administration, amid concerns that such limitations could harm scientific research and public policy.","Limiting access to federal research would do an ""enormous disservice"" to the US and the world according to former Nasa chief scientist.",0.40236686390532544,8120.022000000001,2026-02-06T21:37:36.963674
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,17,"Bradbury, the legendary drummer of The Specials and The Special AKA, passed away, leaving behind a significant legacy in the ska and reggae music scene.","John ""Brad"" Bradbury, drummer with The Specials, has died at the age of 62.",0.4757709251101321,5764.9,2026-02-06T21:37:42.728595
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,18,"Tiger Woods, returning from 15 months of injury, missed the cut at a PGA Tour event despite improving his play compared to the previous day.","Tiger Woods missed the cut at the Farmers Insurance Open, as England's Justin Rose maintained a one-shot lead.",0.472,4231.57,2026-02-06T21:37:46.960197
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,19,Former footballer Danny Cole shares his journey to recovery after kidney failure and expresses skepticism about English clubs competing at the highest level in Europe.,"Former England striker Andy Cole says he faces a ""long road ahead"" as he recovers from his recent kidney transplant.",0.45936395759717313,4393.693,2026-02-06T21:37:51.353921
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,20,"Pakistan has lifted its four-year YouTube ban following the launch of a local version by Google, amid concerns over content filtering and transparency.","Pakistan has unblocked the video sharing site, YouTube, more than three years after it was banned for posting a video deemed insulting to Islam.",0.48135593220338985,4332.456999999999,2026-02-06T21:37:55.686420
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,21,"Benjamin, 26, faces an eight-to-ten week recovery from his injury but will make a full recovery; meanwhile, Sam Harrison has signed a new contract with the team.","Leicester Tigers winger Miles Benjamin is likely to be out for the rest of the season because of a knee injury, reports BBC Radio Leicester.",0.4119601328903654,4285.983,2026-02-06T21:37:59.972447
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,22,"Owain Doull helped Great Britain win an Olympic team pursuit gold medal in world record time, adding to Wales' recent Olympic successes.",Owain Doull has won Wales' first gold of the 2016 Olympics as  he helped the Great Britain men's team pursuit defend their cycling title in Rio.,0.4857142857142857,5734.66,2026-02-06T21:38:05.707139
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,23,"Floods have affected millions across 20 Indian states, with a rising death toll, as the government announces aid packages and Prime Minister Modi plans a visit to find a permanent solution.","Floods in the western Indian state of Gujarat have killed 218 people, government officials have confirmed.",0.4677966101694915,4008.369,2026-02-06T21:38:09.715544
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,24,"Two snowsports enthusiasts tied the knot in full Highland dress while skiing down Easy Gully at Nevis Range, marking a memorable marriage ceremony amidst ideal winter conditions.",All images copyrighted.,0.1791044776119403,5011.931,2026-02-06T21:38:14.727495
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,25,"Hong Kong regulators fined RBS for serious inadequacies in its controls and procedures after a trader was convicted of fraud, though the penalty was reduced due to the bank's quick response.","Royal Bank of Scotland (RBS) has been fined HK$6m (£460,000) by Hong Kong regulators after it failed to detect a series of unauthorised transactions by one of its traders.",0.4321329639889196,5132.896,2026-02-06T21:38:19.860418
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,26,"Bafta award winners share insights into their roles, reactions to Meryl Streep's Golden Globes speech, and behind-the-scenes details of the ceremony.","The Bafta awards had laughter, passion and plenty of politics.",0.4075829383886256,6948.736,2026-02-06T21:38:26.809175
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,27,"Andy Murray, despite being the world number one, is facing significant challenges including recent losses, injuries, and pressure from other top players as he prepares for Wimbledon.","Of his last 30 matches in 2016, Andy Murray won 28 and lost just two.",0.31075697211155373,6973.06,2026-02-06T21:38:33.782251
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,28,"Mandla Hlatshwayo, a 40-year-old DJ, was shot while confronting robbers in Soweto, South Africa, where the high murder rate continues to be a concern.",South African police say four people have been arrested in connection with the murder of former actor on popular local TV series Generations.,0.41924398625429554,5316.441,2026-02-06T21:38:39.098711
