experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,0,No,No,True,4.829,190,201,0.0001491,2026-01-19T15:20:08.799124
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,1,No,No,True,1.768,188,128,0.0001049999999999,2026-01-19T15:20:08.800906
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,2,No,No,True,1.544,191,93,8.444999999999999e-05,2026-01-19T15:20:08.802459
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,3,No,No,True,1.232,189,117,9.855e-05,2026-01-19T15:20:08.803701
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,4,No,No,True,0.913,188,208,0.000153,2026-01-19T15:20:08.804625
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,5,Yes,Yes,True,0.829,194,150,0.0001191,2026-01-19T15:20:08.805461
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,6,Yes,Yes,True,0.812,187,205,0.0001510499999999,2026-01-19T15:20:08.806280
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,7,No,No,True,0.8360000000000001,187,101,8.864999999999999e-05,2026-01-19T15:20:08.807130
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,8,No,No,True,0.762,195,302,0.00021045,2026-01-19T15:20:08.807899
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,9,Yes,Yes,True,0.8490000000000001,186,137,0.0001100999999999,2026-01-19T15:20:08.808753
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,10,No,Yes,False,0.756,186,197,0.0001460999999999,2026-01-19T15:20:08.809517
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,11,No,No,True,1.067,193,106,9.255e-05,2026-01-19T15:20:08.810590
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,12,No,No,True,0.994,188,116,9.78e-05,2026-01-19T15:20:08.811590
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,13,No,Yes,False,0.725,191,260,0.0001846499999999,2026-01-19T15:20:08.812321
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,14,No,No,True,0.915,194,118,9.99e-05,2026-01-19T15:20:08.813241
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,15,No,No,True,0.873,187,162,0.00012525,2026-01-19T15:20:08.814119
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,16,Yes,Yes,True,0.69,191,167,0.00012885,2026-01-19T15:20:08.814815
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,17,Yes,Yes,True,0.832,189,118,9.915e-05,2026-01-19T15:20:08.815652
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,18,No,No,True,0.794,187,98,8.685e-05,2026-01-19T15:20:08.816452
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,19,No,No,True,0.8260000000000001,185,83,7.754999999999999e-05,2026-01-19T15:20:08.817288
gpt-4o-mini_baseline_agentic,gpt-4o-mini,agentic,20,No,No,True,1.339,192,144,0.0001152,2026-01-19T15:20:08.818634
