experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,0,None,"{""PER"": [""CHINA""], ""ORG"": [], ""LOC"": [""JAPAN""], ""MISC"": []}",False,25375.381999999998,2026-02-08T13:56:12.665879
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,1,"{""PER"": [], ""ORG"": [], ""LOC"": [""AL-AIN"", ""United Arab Emirates""], ""MISC"": [""1996-12-06""]}","{""PER"": [], ""ORG"": [], ""LOC"": [""AL-AIN"", ""United Arab Emirates""], ""MISC"": []}",True,17960.634,2026-02-08T13:56:30.626570
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,2,None,"{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": [""Asian Cup""]}",False,24788.367000000002,2026-02-08T13:56:55.414987
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,3,None,"{""PER"": [], ""ORG"": [], ""LOC"": [""China"", ""Uzbekistan""], ""MISC"": []}",False,24692.193,2026-02-08T13:57:20.107351
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,4,None,"{""PER"": [""Igor Shkvyrin""], ""ORG"": [], ""LOC"": [""China""], ""MISC"": [""Uzbek"", ""Chinese""]}",False,24816.509,2026-02-08T13:57:44.923912
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,5,None,"{""PER"": [""Oleg Shatskiku""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,24830.481,2026-02-08T13:58:09.754446
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,6,None,"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""Soviet"", ""Asian Cup""]}",False,24738.099,2026-02-08T13:58:34.492601
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,7,None,"{""PER"": [], ""ORG"": [], ""LOC"": [""Uzbekistan""], ""MISC"": [""Asian Games""]}",False,24724.734,2026-02-08T13:58:59.217404
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,8,"{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": []}",True,24737.529,2026-02-08T13:59:23.955004
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,9,None,"{""PER"": [""Takuya Takagi"", ""Hiroshige Yanagimoto"", ""Salem Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": [""Syrian""]}",False,24817.459,2026-02-08T13:59:48.772533
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,10,"{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}",True,11710.659,2026-02-08T14:00:00.483252
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,11,None,"{""PER"": [""Hassan Abbas"", ""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,24793.662,2026-02-08T14:00:25.276963
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,12,"{""PER"": [""Nader Jokhadar""], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}","{""PER"": [""Nader Jokhadar""], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}",True,21819.688,2026-02-08T14:00:47.096714
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,13,None,"{""PER"": [], ""ORG"": [], ""LOC"": [""Japan""], ""MISC"": [""Syrian"", ""Syrian""]}",False,24731.560999999998,2026-02-08T14:01:11.828338
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,14,None,"{""PER"": [""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,24745.234,2026-02-08T14:01:36.573628
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,15,None,"{""PER"": [""Shu Kamo""], ""ORG"": [], ""LOC"": [""Japan""], ""MISC"": [""Syrian""]}",False,24707.494,2026-02-08T14:02:01.281183
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,16,None,"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""Syrians""]}",False,24739.824,2026-02-08T14:02:26.021058
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,17,None,"{""PER"": [], ""ORG"": [""FIFA""], ""LOC"": [""Japan""], ""MISC"": [""World Cup""]}",False,24805.247000000003,2026-02-08T14:02:50.826371
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,18,None,"{""PER"": [], ""ORG"": [], ""LOC"": [""UAE"", ""Kuwait"", ""South Korea"", ""Indonesia""], ""MISC"": []}",False,24721.582000000002,2026-02-08T14:03:15.548005
qwen3:4b_local_baseline_extraction,qwen3:4b,extraction,19,None,"{""PER"": [""CUTTITTA""], ""ORG"": [""RUGBY UNION""], ""LOC"": [""ITALY""], ""MISC"": []}",False,24732.822,2026-02-08T14:03:40.280889
