experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
phi4_local_baseline_classification,phi4,classification,0,getting_spare_card,card_arrival,False,7744.008,2026-01-18T15:36:47.383436
phi4_local_baseline_classification,phi4,classification,1,card_delivery_estimate,card_arrival,False,1832.733,2026-01-18T15:36:49.216206
phi4_local_baseline_classification,phi4,classification,2,card_arrival,card_arrival,True,1817.299,2026-01-18T15:36:51.033554
phi4_local_baseline_classification,phi4,classification,3,card_delivery_estimate,card_arrival,False,1894.892,2026-01-18T15:36:52.928507
phi4_local_baseline_classification,phi4,classification,4,card_arrival,card_arrival,True,1795.9989999999998,2026-01-18T15:36:54.724696
phi4_local_baseline_classification,phi4,classification,5,card_delivery_estimate,card_arrival,False,1826.006,2026-01-18T15:36:56.551519
phi4_local_baseline_classification,phi4,classification,6,card_delivery_estimate,card_arrival,False,1811.737,2026-01-18T15:36:58.363300
phi4_local_baseline_classification,phi4,classification,7,card_not_working,card_arrival,False,1839.832,2026-01-18T15:37:00.203183
phi4_local_baseline_classification,phi4,classification,8,card_delivery_estimate,card_arrival,False,1872.976,2026-01-18T15:37:02.076209
phi4_local_baseline_classification,phi4,classification,9,card_delivery_estimate,card_arrival,False,1839.388,2026-01-18T15:37:03.915645
phi4_local_baseline_classification,phi4,classification,10,card_not_working,card_arrival,False,1809.849,2026-01-18T15:37:05.725541
phi4_local_baseline_classification,phi4,classification,11,card_delivery_estimate,card_arrival,False,1804.016,2026-01-18T15:37:07.530146
phi4_local_baseline_classification,phi4,classification,12,card_delivery_estimate,card_arrival,False,1800.742,2026-01-18T15:37:09.330928
phi4_local_baseline_classification,phi4,classification,13,card_delivery_estimate,card_arrival,False,1793.177,2026-01-18T15:37:11.124155
phi4_local_baseline_classification,phi4,classification,14,card_delivery_estimate,card_arrival,False,1818.839,2026-01-18T15:37:12.943035
phi4_local_baseline_classification,phi4,classification,15,card_delivery_estimate,card_arrival,False,1789.6799999999998,2026-01-18T15:37:14.732756
phi4_local_baseline_classification,phi4,classification,16,card_delivery_estimate,card_arrival,False,1792.098,2026-01-18T15:37:16.524902
phi4_local_baseline_classification,phi4,classification,17,card_delivery_estimate,card_arrival,False,1823.217,2026-01-18T15:37:18.348183
phi4_local_baseline_classification,phi4,classification,18,card_delivery_estimate,card_arrival,False,1832.748,2026-01-18T15:37:20.180985
phi4_local_baseline_classification,phi4,classification,19,card_arrival,card_arrival,True,1926.056,2026-01-18T15:37:22.107119
phi4_local_baseline_classification,phi4,classification,20,card_not_working,card_arrival,False,1910.973,2026-01-18T15:37:24.020011
phi4_local_baseline_classification,phi4,classification,21,card_delivery_estimate,card_arrival,False,1791.626,2026-01-18T15:37:25.811689
phi4_local_baseline_classification,phi4,classification,22,card_delivery_estimate,card_arrival,False,1773.407,2026-01-18T15:37:27.585142
phi4_local_baseline_classification,phi4,classification,23,card_delivery_estimate,card_arrival,False,1779.28,2026-01-18T15:37:29.364453
phi4_local_baseline_classification,phi4,classification,24,card_arrival,card_arrival,True,1760.152,2026-01-18T15:37:31.124633
phi4_local_baseline_classification,phi4,classification,25,card_delivery_estimate,card_arrival,False,1832.987,2026-01-18T15:37:32.957659
phi4_local_baseline_classification,phi4,classification,26,card_delivery_estimate,card_arrival,False,1790.772,2026-01-18T15:37:34.748501
phi4_local_baseline_classification,phi4,classification,27,card_delivery_estimate,card_arrival,False,1885.497,2026-01-18T15:37:36.634113
phi4_local_baseline_classification,phi4,classification,28,card_delivery_estimate,card_arrival,False,1956.587,2026-01-18T15:37:38.590776
phi4_local_baseline_classification,phi4,classification,29,card_arrival,card_arrival,True,1789.696,2026-01-18T15:37:40.380522
phi4_local_baseline_classification,phi4,classification,30,card_arrival,card_arrival,True,1821.903,2026-01-18T15:37:42.202518
phi4_local_baseline_classification,phi4,classification,31,card_delivery_estimate,card_arrival,False,1789.997,2026-01-18T15:37:43.992569
phi4_local_baseline_classification,phi4,classification,32,card_delivery_estimate,card_arrival,False,1779.053,2026-01-18T15:37:45.771755
phi4_local_baseline_classification,phi4,classification,33,card_delivery_estimate,card_arrival,False,1783.41,2026-01-18T15:37:47.555214
phi4_local_baseline_classification,phi4,classification,34,card_delivery_estimate,card_arrival,False,1778.334,2026-01-18T15:37:49.333587
phi4_local_baseline_classification,phi4,classification,35,card_delivery_estimate,card_arrival,False,1795.839,2026-01-18T15:37:51.129456
phi4_local_baseline_classification,phi4,classification,36,card_arrival,card_arrival,True,1839.948,2026-01-18T15:37:52.969465
phi4_local_baseline_classification,phi4,classification,37,card_delivery_estimate,card_arrival,False,1776.94,2026-01-18T15:37:54.746444
phi4_local_baseline_classification,phi4,classification,38,card_delivery_estimate,card_arrival,False,1751.6229999999998,2026-01-18T15:37:56.498122
phi4_local_baseline_classification,phi4,classification,39,card_delivery_estimate,card_arrival,False,1792.889,2026-01-18T15:37:58.291179
phi4_local_baseline_classification,phi4,classification,40,card_not_working,card_linking,False,1776.604,2026-01-18T15:38:00.067819
phi4_local_baseline_classification,phi4,classification,41,getting_spare_card,card_linking,False,1849.299,2026-01-18T15:38:01.917149
phi4_local_baseline_classification,phi4,classification,42,card_linking,card_linking,True,1818.948,2026-01-18T15:38:03.736326
phi4_local_baseline_classification,phi4,classification,43,card_linking,card_linking,True,1829.117,2026-01-18T15:38:05.565491
phi4_local_baseline_classification,phi4,classification,44,card_linking,card_linking,True,1833.271,2026-01-18T15:38:07.398837
phi4_local_baseline_classification,phi4,classification,45,card_not_working,card_linking,False,1857.156,2026-01-18T15:38:09.256058
phi4_local_baseline_classification,phi4,classification,46,card_linking,card_linking,True,1806.035,2026-01-18T15:38:11.062132
phi4_local_baseline_classification,phi4,classification,47,card_linking,card_linking,True,1830.055,2026-01-18T15:38:12.892238
phi4_local_baseline_classification,phi4,classification,48,card_arrival,card_linking,False,1861.818,2026-01-18T15:38:14.754109
phi4_local_baseline_classification,phi4,classification,49,card_linking,card_linking,True,1792.632,2026-01-18T15:38:16.546788
