experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_analysis,llama3.2,analysis,0,Yes,No,False,5.211,2026-01-20T22:25:15.708177
llama3.2_local_baseline_analysis,llama3.2,analysis,1,No,Yes,False,3.1580000000000004,2026-01-20T22:25:15.711341
llama3.2_local_baseline_analysis,llama3.2,analysis,2,Yes,Yes,True,4.346,2026-01-20T22:25:15.715695
llama3.2_local_baseline_analysis,llama3.2,analysis,3,Yes,Yes,True,2.5370000000000004,2026-01-20T22:25:15.718238
llama3.2_local_baseline_analysis,llama3.2,analysis,4,Yes,Yes,True,5.537,2026-01-20T22:25:15.723779
llama3.2_local_baseline_analysis,llama3.2,analysis,5,No,No,True,3935.545,2026-01-20T22:25:19.659330
llama3.2_local_baseline_analysis,llama3.2,analysis,6,No,Yes,False,1826.16,2026-01-20T22:25:21.485517
llama3.2_local_baseline_analysis,llama3.2,analysis,7,Yes,Yes,True,1847.645,2026-01-20T22:25:23.333198
llama3.2_local_baseline_analysis,llama3.2,analysis,8,No,Yes,False,945.8050000000001,2026-01-20T22:25:24.279018
llama3.2_local_baseline_analysis,llama3.2,analysis,9,Yes,Yes,True,1122.406,2026-01-20T22:25:25.401438
llama3.2_local_baseline_analysis,llama3.2,analysis,10,Yes,Yes,True,1249.205,2026-01-20T22:25:26.650663
llama3.2_local_baseline_analysis,llama3.2,analysis,11,No,No,True,1147.8509999999999,2026-01-20T22:25:27.798531
llama3.2_local_baseline_analysis,llama3.2,analysis,12,No,Yes,False,1128.2250000000001,2026-01-20T22:25:28.926766
llama3.2_local_baseline_analysis,llama3.2,analysis,13,Yes,Yes,True,1125.393,2026-01-20T22:25:30.052178
llama3.2_local_baseline_analysis,llama3.2,analysis,14,Yes,Yes,True,1207.189,2026-01-20T22:25:31.259382
llama3.2_local_baseline_analysis,llama3.2,analysis,15,No,Yes,False,1064.713,2026-01-20T22:25:32.324107
llama3.2_local_baseline_analysis,llama3.2,analysis,16,No,Yes,False,2539.07,2026-01-20T22:25:34.863186
llama3.2_local_baseline_analysis,llama3.2,analysis,17,Yes,Yes,True,1225.864,2026-01-20T22:25:36.089081
llama3.2_local_baseline_analysis,llama3.2,analysis,18,No,Yes,False,1290.98,2026-01-20T22:25:37.380126
llama3.2_local_baseline_analysis,llama3.2,analysis,19,Yes,Yes,True,1437.526,2026-01-20T22:25:38.817664
llama3.2_local_baseline_analysis,llama3.2,analysis,20,No,No,True,1248.434,2026-01-20T22:25:40.066107
llama3.2_local_baseline_analysis,llama3.2,analysis,21,No,Yes,False,1255.948,2026-01-20T22:25:41.322065
