experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
mistral_local_baseline_extraction,mistral,extraction,0,"{
  ""PER"": [""he""],
  ""ORG"": [],
  ""LOC"": [""India"", ""Adyar""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""India"", ""Adyar""], ""MISC"": []}",True,3766.159,2026-01-18T14:45:39.799937
mistral_local_baseline_extraction,mistral,extraction,1,"{
  ""PER"": [""Kanye West"", ""Jamie Foxx""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Gold Digger"", ""( 2005 )""]
}","{""PER"": [""Kanye West"", ""Jamie Foxx""], ""ORG"": [""Gold Digger""], ""LOC"": [], ""MISC"": []}",True,2953.341,2026-01-18T14:45:42.753617
mistral_local_baseline_extraction,mistral,extraction,2,"{
  ""PER"": [""Mycalesis"", ""Perseus"", ""Hewitson""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Mycalesis perseus lalassis""], ""MISC"": []}",False,2617.1389999999997,2026-01-18T14:45:45.370773
mistral_local_baseline_extraction,mistral,extraction,3,"{
  ""PER"": [""Jonny Lee Miller""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Eli Stone""]
}","{""PER"": [""Jonny Lee Miller""], ""ORG"": [""Eli Stone""], ""LOC"": [], ""MISC"": []}",True,2416.154,2026-01-18T14:45:47.786955
mistral_local_baseline_extraction,mistral,extraction,4,"{
  ""PER"": [],
  ""ORG"": [""United States""],
  ""LOC"": [""United States""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Admission to the bar in the United States""], ""LOC"": [], ""MISC"": []}",False,2652.567,2026-01-18T14:45:50.439560
mistral_local_baseline_extraction,mistral,extraction,5,"{
  ""PER"": [""Willy Unger""],
  ""LOC"": [""11""],
  ""MISC"": []
}","{""PER"": [""Willy Unger""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,2266.1910000000003,2026-01-18T14:45:52.705866
mistral_local_baseline_extraction,mistral,extraction,6,"{
  ""PER"": [],
  ""ORG"": [""Palermo Cathedral""],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Palermo Cathedral""], ""LOC"": [], ""MISC"": []}",True,2240.275,2026-01-18T14:45:54.946175
mistral_local_baseline_extraction,mistral,extraction,7,"{
  ""PER"": [""Seth Cohen"", ""Ryan Atwood"", ""Marissa Cooper"", ""Summer Roberts"", ""Kirsten Cohen"", ""Sandy Cohen"", ""Caleb Nichol"", ""Jimmy Cooper"", ""John Rowland"", ""Teresa Brisco"", ""Luke Ward"", ""Oliver Trask"", ""Kaitlin Cooper"", ""Alex Kelly"", ""Taylor Townsend"", ""Chrissy Ike"", ""Duanne 'Dookie' Gibson"", ""Cindy Sanders"", ""Julie Cooper"", ""Karen McCluskey"", ""Harper Stanhope"", ""Bree Taylor"", ""Oliver Oswald"", ""Marissa Tucker"", ""Sandy's Mother"", ""Sandy's Father"", ""Coach Boland"", ""Coach Harrington"", ""Coach Moseby"", ""Coach Wittenberg"", ""Coach Cal"", ""Coach Fleming"", ""Coach O'Neill"", ""Coach Mitchell"", ""Coach Thompson"", ""Coach Turner"", ""Coach Wilson"", ""Coach Weber"", ""Coach Williams"", ""Coach Young"", ""Coach Zuckerman""],
  ""ORG"": [""The O.C."", ""Newport High School"", ""Harbor High School"", ""University of California, Berkeley"", ""Caltech"", ""Newport Beach Police Department"", ""Newport Harbor Yacht Club"", ""Newport Group"", ""Newport Academy"", ""Newport Hospital"", ""Newport Country Club"", ""The O.C. Weekly"", ""The Newport Gazette"", ""The Orange County Register"", ""The Los Angeles Times"", ""The Daily Pilot"", ""The O.C. Blade"", ""The O.C. Beacon"", ""The O.C. Sentinel"", ""The O.C. Tribune"", ""The O.C. Herald"", ""The O.C. Chronicle"", ""The O.C. Examiner"", ""The O.C. Dispatch"", ""The O.C. Observer"", ""The O.C. Advocate"", ""The O.C. Journal"", ""The O.C. Post"", ""The O.C. Review"", ""The O.C. Times"", ""The O.C. Voice"", ""The O.C. Echo"", ""The O.C. Star"", ""The O.C. Sun"", ""The O.C. News"", ""The O.C. Press"", ""The O.C. Gazette"", ""The O.C. Herald-Tribune"", ""The O.C. Sentinel-Examiner"", ""The O.C. Register-Dispatch"", ""The O.C. Chronicle-Observer"", ""The O.C. Post-Review"", ""The O.C. Times-Journal"", ""The O.C. Voice-Echo"", ""The O.C. Star-Sun"", ""The O.C. News-Press"", ""The O.C. Gazette-Tribune"", ""The O.C. Sentinel-Herald"", ""The O.C. Examiner-Post"", ""The O.C. Chronicle-Times"", ""The O.C. Herald-Review"", ""The O.C. Tribune-Echo"", ""The O.C. Register-Star"", ""The O.C. Gazette-Sun"", ""The O.C. Sentinel-News"", ""The O.C. Examiner-Times"", ""The O.C. Chronicle-Journal"", ""The O.C. Herald-Post"", ""The O.C. Tribune-Echo"", ""The O.C. Register-Review"", ""The O.C. Gazette-Times"", ""The O.C. Sentinel-Star"", ""The O.C. Examiner-News"", ""The O.C. Chronicle-Sun"", ""The O.C. Herald-Echo"", ""The O.C. Tribune-Journal"", ""The O.C. Register-Times"", ""The O.C. Gazette-Post"", ""The O.C. Sentinel-Review"", ""The O.C. Examiner-News"", ""The O.C. Chronicle-Star"", ""The O.C. Herald-Sun"", ""The O.C. Tribune-Echo"", ""The O.C. Register-Times"", ""The O.C. Gazette-Post"", ""The O.C. Sentinel-Review"", ""The O","{""PER"": [""List of The O.C. characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,39161.161,2026-01-18T14:46:34.107359
mistral_local_baseline_extraction,mistral,extraction,8,"{
  ""PER"": [],
  ""ORG"": [""Cardiff Royal Infirmary""],
  ""LOC"": [""Roath"", ""Cardiff""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Cardiff Royal Infirmary""], ""LOC"": [""Roath , Cardiff""], ""MISC"": []}",False,2725.665,2026-01-18T14:46:36.833095
mistral_local_baseline_extraction,mistral,extraction,9,"{
  ""PER"": [""Roger Houdet""],
  ""LOC"": [],
  ""ORG"": [],
  ""MISC"": []
}","{""PER"": [""Roger Houdet""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,2326.593,2026-01-18T14:46:39.159721
mistral_local_baseline_extraction,mistral,extraction,10,"{
  ""PER"": [""Dorothy Gale"", ""Scarecrow"", ""Tin Man"", ""Lion"", ""Glinda the Good Witch"", ""Wicked Witch of the West"", ""Professor Marvel"", ""Cowardly Lion"", ""Toto""] ,
  ""ORG"": [""Oz (TV series)""],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""List of Oz ( TV series ) characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,4529.425,2026-01-18T14:46:43.689163
