experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
phi4_local_baseline_synthesis,phi4,synthesis,0,"The document highlights the severe challenges ex-offenders in Wales face in securing housing upon release, with suggestions for increased investment in affordable housing to prevent homelessness and reduce repeat offenses.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",0.4037854889589905,30192.964,2026-01-18T16:48:34.881350
phi4_local_baseline_synthesis,phi4,synthesis,1,"Police searched properties in Edinburgh's Waterfront Park and Colonsay View areas, recovering firearms, ammunition, and money, leading to the arrest and court appearance of a 26-year-old man.","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",0.4482758620689655,11460.228,2026-01-18T16:48:46.342259
phi4_local_baseline_synthesis,phi4,synthesis,2,"Four individuals in Chicago were charged with hate crimes and aggravated kidnapping after allegedly beating an 18-year-old white man with schizophrenia, forcing him to drink toilet water, and making derogatory statements against whites on Facebook Live.","Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",0.4339152119700748,19759.46,2026-01-18T16:49:06.101771
phi4_local_baseline_synthesis,phi4,synthesis,3,"A former Arsenal goalkeeper played a crucial role at West Bromwich Albion, leading them to promotion to the Premier League twice during his tenure as youth academy director and later as director of football.","West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",0.3833865814696485,12244.512,2026-01-18T16:49:18.346466
phi4_local_baseline_synthesis,phi4,synthesis,4,"A study suggests a fasting-mimicking diet can regenerate insulin-producing beta cells in the pancreas, potentially reversing diabetes symptoms in animal models, with further research needed for human application.","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",0.4267515923566879,21800.368,2026-01-18T16:49:40.146892
phi4_local_baseline_synthesis,phi4,synthesis,5,"The proposed merger between Essilor and Luxottica aims to create a dominant eyewear company but raises concerns about reduced competition, choice, and quality for consumers, despite potential synergies and innovation benefits.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",0.4583333333333332,29757.673,2026-01-18T16:50:09.904786
phi4_local_baseline_synthesis,phi4,synthesis,6,"Wendy Houvenaghel accuses British Cycling of ageism and neglecting athlete welfare, highlighting broader issues within the organization that have led to significant reforms after criticisms from multiple high-profile cyclists.","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",0.3577712609970674,25710.919,2026-01-18T16:50:35.615902
phi4_local_baseline_synthesis,phi4,synthesis,7,"Kareem Badr successfully turned around a struggling comedy club in Austin by leveraging his problem-solving skills from computer science, benefiting from national trends favoring comedy clubs, and capitalizing on digital media to boost popularity.",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,0.4111675126903553,27164.596,2026-01-18T16:51:02.780576
phi4_local_baseline_synthesis,phi4,synthesis,8,"BT avoided a breakup due to practical obstacles related to its pension scheme and land deals, but faces potential future conflicts as Ofcom enforces structural changes to ensure Openreach serves customers effectively.","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",0.425,17074.727,2026-01-18T16:51:19.855828
phi4_local_baseline_synthesis,phi4,synthesis,9,"Brendan Rodgers expresses optimism for an upcoming Old Firm derby, emphasizing performance and preparation while acknowledging past challenges at Hampden, as he aims to lead Celtic to win their first trophy under his management.",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,0.4510869565217391,17523.913,2026-01-18T16:51:37.379986
