experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,0,Yes,No,False,10623.786,2026-02-06T21:01:24.322505
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,1,No,No,True,3382.318,2026-02-06T21:01:27.704848
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,2,No,No,True,2938.4719999999998,2026-02-06T21:01:30.643350
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,3,No,No,True,7691.652,2026-02-06T21:01:38.335029
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,4,No,No,True,5648.941,2026-02-06T21:01:43.983992
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,5,Yes,Yes,True,3878.21,2026-02-06T21:01:47.862229
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,6,No,Yes,False,5774.816000000001,2026-02-06T21:01:53.637095
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,7,No,No,True,3090.598,2026-02-06T21:01:56.727756
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,8,Yes,No,False,13453.493999999999,2026-02-06T21:02:10.181269
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,9,Yes,Yes,True,3867.955,2026-02-06T21:02:14.049241
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,10,Yes,Yes,True,3531.4049999999997,2026-02-06T21:02:17.580670
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,11,No,No,True,5301.449,2026-02-06T21:02:22.882163
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,12,No,No,True,4214.706999999999,2026-02-06T21:02:27.096912
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,13,No,Yes,False,4854.03,2026-02-06T21:02:31.950966
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,14,No,No,True,4839.9400000000005,2026-02-06T21:02:36.790947
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,15,No,No,True,4943.916,2026-02-06T21:02:41.734880
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,16,Yes,Yes,True,4724.544,2026-02-06T21:02:46.459442
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,17,No,Yes,False,3910.59,2026-02-06T21:02:50.370072
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,18,No,No,True,4277.072999999999,2026-02-06T21:02:54.647165
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,19,No,No,True,3152.949,2026-02-06T21:02:57.800142
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,20,No,No,True,4060.119,2026-02-06T21:03:01.860279
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,21,No,No,True,4241.4490000000005,2026-02-06T21:03:06.101749
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,22,Yes,Yes,True,5048.77,2026-02-06T21:03:11.150537
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,23,Yes,Yes,True,4944.723,2026-02-06T21:03:16.095279
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,24,Yes,Yes,True,3985.087,2026-02-06T21:03:20.080407
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,25,Yes,Yes,True,5027.264,2026-02-06T21:03:25.107701
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,26,No,No,True,3508.677,2026-02-06T21:03:28.616410
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,27,No,No,True,3307.264,2026-02-06T21:03:31.923695
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,28,Yes,Yes,True,4052.9710000000005,2026-02-06T21:03:35.976705
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,29,Yes,Yes,True,5936.517,2026-02-06T21:03:41.913243
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,30,Yes,Yes,True,8191.563999999999,2026-02-06T21:03:50.104824
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,31,Yes,Yes,True,5663.674999999999,2026-02-06T21:03:55.768525
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,32,No,No,True,4816.871,2026-02-06T21:04:00.585445
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,33,Yes,Yes,True,5471.578,2026-02-06T21:04:06.057044
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,34,No,No,True,5543.1410000000005,2026-02-06T21:04:11.600216
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,35,No,Yes,False,4647.254,2026-02-06T21:04:16.247485
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,36,No,No,True,4380.522,2026-02-06T21:04:20.628044
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,37,No,Yes,False,4208.103999999999,2026-02-06T21:04:24.836169
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,38,Yes,Yes,True,4235.737999999999,2026-02-06T21:04:29.071937
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,39,Yes,Yes,True,5775.308,2026-02-06T21:04:34.847275
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,40,No,No,True,4719.012000000001,2026-02-06T21:04:39.566312
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,41,Yes,Yes,True,4192.986999999999,2026-02-06T21:04:43.759342
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,42,Yes,Yes,True,8162.7519999999995,2026-02-06T21:04:51.922111
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,43,No,Yes,False,3828.747,2026-02-06T21:04:55.750885
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,44,No,No,True,3565.997,2026-02-06T21:04:59.316903
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,45,No,No,True,3676.726,2026-02-06T21:05:02.993653
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,46,Yes,No,False,4863.119000000001,2026-02-06T21:05:07.856793
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,47,No,No,True,4042.078,2026-02-06T21:05:11.898899
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,48,Yes,Yes,True,4948.131,2026-02-06T21:05:16.847049
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,49,Yes,No,False,3803.4539999999997,2026-02-06T21:05:20.650548
