experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,0,No,No,True,6.359,2026-01-18T17:05:26.227028
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,1,,No,False,9087.067,2026-01-18T17:05:35.314105
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,2,No,No,True,2.455,2026-01-18T17:05:35.316580
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,3,No,No,True,6104.153,2026-01-18T17:05:41.420742
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,4,No,No,True,5910.1990000000005,2026-01-18T17:05:47.330952
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,5,Yes,Yes,True,1.271,2026-01-18T17:05:47.332233
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,6,No,Yes,False,6875.291,2026-01-18T17:05:54.207542
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,7,No,No,True,3699.06,2026-01-18T17:05:57.906630
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,8,No,No,True,13161.044,2026-01-18T17:06:11.067684
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,9,Yes,Yes,True,4532.03,2026-01-18T17:06:15.599740
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,10,Yes,Yes,True,5040.049,2026-01-18T17:06:20.639802
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,11,No,No,True,4998.181,2026-01-18T17:06:25.637993
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,12,No,No,True,4736.655,2026-01-18T17:06:30.374658
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,13,No,Yes,False,12020.044,2026-01-18T17:06:42.394724
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,14,Yes,No,False,11356.236,2026-01-18T17:06:53.750981
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,15,Yes,No,False,5396.696000000001,2026-01-18T17:06:59.147719
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,16,Yes,Yes,True,4746.148,2026-01-18T17:07:03.893889
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,17,Yes,Yes,True,3983.366,2026-01-18T17:07:07.877299
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,18,No,No,True,5671.985000000001,2026-01-18T17:07:13.549299
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,19,,No,False,4020.786,2026-01-18T17:07:17.570119
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,20,No,No,True,5147.902,2026-01-18T17:07:22.718040
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,21,No,No,True,6.846,2026-01-18T17:07:22.724919
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,22,No,Yes,False,4398.063999999999,2026-01-18T17:07:27.122990
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,23,Yes,Yes,True,2.1519999999999997,2026-01-18T17:07:27.125148
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,24,Yes,Yes,True,4013.152,2026-01-18T17:07:31.138305
qwen2.5:7b_local_baseline_agentic,qwen2.5:7b,agentic,25,Yes,Yes,True,4900.272,2026-01-18T17:07:36.038598
