experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,0,None,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",False,27685.096999999998,2026-02-08T14:30:34.095251
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,1,None,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",False,24932.114999999998,2026-02-08T14:30:59.027392
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,2,None,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",False,25769.283000000003,2026-02-08T14:31:24.796716
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,3,None,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",False,24960.549,2026-02-08T14:31:49.757300
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,4,"Animal studies demonstrate that a fasting-mimicking diet can reverse diabetes symptoms by regenerating pancreatic beta cells, offering potential new treatments for both type 1 and type 2 diabetes, though human applications require further research and medical oversight.","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",0.39784946236559143,26375.332,2026-02-08T14:32:16.132676
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,5,None,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",False,29120.836,2026-02-08T14:32:45.253584
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,6,None,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",False,28710.788,2026-02-08T14:33:13.964394
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,7,None,Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,False,29364.68,2026-02-08T14:33:43.329124
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,8,Investors,"The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",0.09375,26326.007,2026-02-08T14:34:09.655192
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,9,None,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,False,26314.828999999998,2026-02-08T14:34:35.970141
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,10,None,Queen's University Belfast is cutting 236 jobs and 290 student places due to a funding reduction.,False,26326.087,2026-02-08T14:35:02.296250
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,11,None,Hospital bosses in Sussex have apologised after about 850 patients were sent leaflets in error suggesting they might have cancer.,False,25518.314,2026-02-08T14:35:27.814587
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,12,"Despite 10 shadow ministers rebelling against party orders to support the Brexit bill, Labour's leadership asserts it will not frustrate Brexit while pushing for amendments to secure a ""meaningful vote"" on EU terms and protections for UK citizens.",The shadow foreign secretary has suggested Labour will continue to support legislation paving the way for Brexit as it passes through Parliament.,0.41836734693877553,23378.028000000002,2026-02-08T14:35:51.192643
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,13,None,Torquay United boss Kevin Nicholson says none of the money from Eunan O'Kane's move to Leeds from Bournemouth will go to the playing squad.,False,25198.599000000002,2026-02-08T14:36:16.391269
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,14,None,North Wales Police has been criticised at an inquest for sending an officer to speak to a hospital patient with paranoid schizophrenia.,False,25739.687,2026-02-08T14:36:42.130988
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,15,None,Leicester City striker Gary Taylor-Fletcher has joined Sheffield Wednesday on an initial month-long loan.,False,25026.316000000003,2026-02-08T14:37:07.157339
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,16,None,"Limiting access to federal research would do an ""enormous disservice"" to the US and the world according to former Nasa chief scientist.",False,30115.742000000002,2026-02-08T14:37:37.273125
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,17,None,"John ""Brad"" Bradbury, drummer with The Specials, has died at the age of 62.",False,28723.202,2026-02-08T14:38:05.996352
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,18,None,"Tiger Woods missed the cut at the Farmers Insurance Open, as England's Justin Rose maintained a one-shot lead.",False,925270.853,2026-02-08T14:53:31.267225
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,19,None,"Former England striker Andy Cole says he faces a ""long road ahead"" as he recovers from his recent kidney transplant.",False,25863.191,2026-02-08T14:53:57.130441
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,20,None,"Pakistan has unblocked the video sharing site, YouTube, more than three years after it was banned for posting a video deemed insulting to Islam.",False,281737.13800000004,2026-02-08T14:58:38.867609
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,21,None,"Leicester Tigers winger Miles Benjamin is likely to be out for the rest of the season because of a knee injury, reports BBC Radio Leicester.",False,25114.735,2026-02-08T14:59:03.982366
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,22,None,Owain Doull has won Wales' first gold of the 2016 Olympics as  he helped the Great Britain men's team pursuit defend their cycling title in Rio.,False,28184.252999999997,2026-02-08T14:59:32.166644
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,23,None,"Floods in the western Indian state of Gujarat have killed 218 people, government officials have confirmed.",False,33547.820999999996,2026-02-08T15:00:05.714495
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,24,None,All images copyrighted.,False,40708.39200000001,2026-02-08T15:00:46.422910
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,25,None,"Royal Bank of Scotland (RBS) has been fined HK$6m (£460,000) by Hong Kong regulators after it failed to detect a series of unauthorised transactions by one of its traders.",False,45912.807,2026-02-08T15:01:32.335751
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,26,None,"The Bafta awards had laughter, passion and plenty of politics.",False,78452.063,2026-02-08T15:02:50.787853
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,27,Andy Murray's 2017,"Of his last 30 matches in 2016, Andy Murray won 28 and lost just two.",0.29885057471264365,95523.781,2026-02-08T15:04:26.311661
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,28,None,South African police say four people have been arrested in connection with the murder of former actor on popular local TV series Generations.,False,70670.735,2026-02-08T15:05:36.982465
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,29,None,"A shot was reportedly fired at a car outside a primary school in Liverpool as parents were taking their children inside, police have said.",False,70817.08899999999,2026-02-08T15:06:47.799588
qwen3:4b_local_baseline_synthesis,qwen3:4b,synthesis,30,None,Jessica Ennis-Hill has fallen from fourth to eighth place after six events at the Hypo-Meeting in Gotzis.,False,79696.937,2026-02-08T15:08:07.497159
