experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2_baseline_extraction,gpt-5.2,extraction,0,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""China""],
  ""MISC"": [""Soccer""]
}","{""PER"": [""CHINA""], ""ORG"": [], ""LOC"": [""JAPAN""], ""MISC"": []}",False,2111.741,233,93,0.0051199999999999996,2026-02-07T12:31:08.833271
gpt-5.2_baseline_extraction,gpt-5.2,extraction,1,"{""PER"":[],""ORG"":[],""LOC"":[""AL-AIN"",""United Arab Emirates""],""MISC"":[]}","{""PER"": [], ""ORG"": [], ""LOC"": [""AL-AIN"", ""United Arab Emirates""], ""MISC"": []}",True,1709.263,227,82,0.00473,2026-02-07T12:31:10.542567
gpt-5.2_baseline_extraction,gpt-5.2,extraction,2,"{""PER"":[],""ORG"":[],""LOC"":[""Japan"",""Syria""],""MISC"":[""Asian Cup"",""Group C"",""Friday""]}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": [""Asian Cup""]}",True,1568.313,240,72,0.00456,2026-02-07T12:31:12.110907
gpt-5.2_baseline_extraction,gpt-5.2,extraction,3,"{""PER"":[],""ORG"":[],""LOC"":[""China"",""Uzbekistan""],""MISC"":[]}","{""PER"": [], ""ORG"": [], ""LOC"": [""China"", ""Uzbekistan""], ""MISC"": []}",True,1840.684,240,74,0.00462,2026-02-07T12:31:13.951622
gpt-5.2_baseline_extraction,gpt-5.2,extraction,4,"{
  ""PER"": [""Igor Shkvyrin""],
  ""ORG"": [],
  ""LOC"": [""China""],
  ""MISC"": [""Uzbek"", ""Chinese""]
}","{""PER"": [""Igor Shkvyrin""], ""ORG"": [], ""LOC"": [""China""], ""MISC"": [""Uzbek"", ""Chinese""]}",True,1683.181,261,90,0.0053100000000000005,2026-02-07T12:31:15.634833
gpt-5.2_baseline_extraction,gpt-5.2,extraction,5,"{""PER"":[""Oleg Shatskiku""],""ORG"":[],""LOC"":[],""MISC"":[]}","{""PER"": [""Oleg Shatskiku""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,1475.685,239,70,0.00449,2026-02-07T12:31:17.110549
gpt-5.2_baseline_extraction,gpt-5.2,extraction,6,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Soviet Union""],
  ""MISC"": [""Asian Cup""]
}","{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""Soviet"", ""Asian Cup""]}",True,1913.7820000000002,229,94,0.00511,2026-02-07T12:31:19.024357
gpt-5.2_baseline_extraction,gpt-5.2,extraction,7,"{""PER"":[],""ORG"":[],""LOC"":[""Uzbekistan""],""MISC"":[""Asian Games""]}","{""PER"": [], ""ORG"": [], ""LOC"": [""Uzbekistan""], ""MISC"": [""Asian Games""]}",True,1651.297,230,73,0.00449,2026-02-07T12:31:20.675708
gpt-5.2_baseline_extraction,gpt-5.2,extraction,8,"{""PER"":[],""ORG"":[],""LOC"":[""Japan"",""Syria""],""MISC"":[]}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": []}",True,1465.5910000000001,240,65,0.00435,2026-02-07T12:31:22.141327
gpt-5.2_baseline_extraction,gpt-5.2,extraction,9,"{""PER"":[""Takuya Takagi"",""Hiroshige Yanagimoto"",""Salem Bitar""],""ORG"":[],""LOC"":[""Syria""],""MISC"":[]}","{""PER"": [""Takuya Takagi"", ""Hiroshige Yanagimoto"", ""Salem Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": [""Syrian""]}",True,1845.217,260,87,0.005209999999999999,2026-02-07T12:31:23.986573
gpt-5.2_baseline_extraction,gpt-5.2,extraction,10,"{""PER"":[],""ORG"":[],""LOC"":[""Syria""],""MISC"":[]}","{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}",True,1661.3439999999998,225,63,0.00414,2026-02-07T12:31:25.647944
gpt-5.2_baseline_extraction,gpt-5.2,extraction,11,"{""PER"":[""Hassan Abbas"",""Bitar""],""ORG"":[],""LOC"":[],""MISC"":[]}","{""PER"": [""Hassan Abbas"", ""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,2209.384,248,92,0.00524,2026-02-07T12:31:27.857354
gpt-5.2_baseline_extraction,gpt-5.2,extraction,12,"{""PER"":[""Nader Jokhadar""],""ORG"":[],""LOC"":[""Syria""],""MISC"":[]}","{""PER"": [""Nader Jokhadar""], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}",True,1676.803,233,74,0.00455,2026-02-07T12:31:29.534187
gpt-5.2_baseline_extraction,gpt-5.2,extraction,13,"{""PER"":[],""ORG"":[],""LOC"":[""Japan"",""Syria""],""MISC"":[]}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan""], ""MISC"": [""Syrian"", ""Syrian""]}",True,2255.019,233,88,0.0049700000000000005,2026-02-07T12:31:31.789227
gpt-5.2_baseline_extraction,gpt-5.2,extraction,14,"{""PER"":[""Bitar""],""ORG"":[],""LOC"":[],""MISC"":[]}","{""PER"": [""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,1542.1119999999999,222,62,0.00408,2026-02-07T12:31:33.331365
gpt-5.2_baseline_extraction,gpt-5.2,extraction,15,"{""PER"":[""Shu Kamo""],""ORG"":[],""LOC"":[""Japan"",""Syria""],""MISC"":[""Syrian""]}","{""PER"": [""Shu Kamo""], ""ORG"": [], ""LOC"": [""Japan""], ""MISC"": [""Syrian""]}",True,1999.828,230,83,0.00479,2026-02-07T12:31:35.331219
gpt-5.2_baseline_extraction,gpt-5.2,extraction,16,"{""PER"":[],""ORG"":[],""LOC"":[],""MISC"":[""Syrians""]}","{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""Syrians""]}",True,2123.013,234,79,0.00471,2026-02-07T12:31:37.454259
gpt-5.2_baseline_extraction,gpt-5.2,extraction,17,"{""PER"":[],""ORG"":[""FIFA""],""LOC"":[""Japan""],""MISC"":[""World Cup"",""2002""]}","{""PER"": [], ""ORG"": [""FIFA""], ""LOC"": [""Japan""], ""MISC"": [""World Cup""]}",True,1834.542,244,92,0.0052,2026-02-07T12:31:39.288825
gpt-5.2_baseline_extraction,gpt-5.2,extraction,18,"{""PER"":[],""ORG"":[],""LOC"":[""UAE"",""Kuwait"",""South Korea"",""Indonesia""],""MISC"":[""Group A""]}","{""PER"": [], ""ORG"": [], ""LOC"": [""UAE"", ""Kuwait"", ""South Korea"", ""Indonesia""], ""MISC"": []}",True,2333.9449999999997,229,83,0.0047799999999999995,2026-02-07T12:31:41.622796
gpt-5.2_baseline_extraction,gpt-5.2,extraction,19,"{""PER"":[""CUTTITTA""],""ORG"":[],""LOC"":[""ITALY""],""MISC"":[]}","{""PER"": [""CUTTITTA""], ""ORG"": [""RUGBY UNION""], ""LOC"": [""ITALY""], ""MISC"": []}",True,1431.151,230,77,0.0046099999999999995,2026-02-07T12:31:43.053994
gpt-5.2_baseline_extraction,gpt-5.2,extraction,20,"{""PER"":[],""ORG"":[],""LOC"":[""Scotland"",""Murrayfield""],""MISC"":[]}","{""PER"": [], ""ORG"": [], ""LOC"": [""Scotland"", ""Murrayfield""], ""MISC"": []}",True,1702.895,242,75,0.00467,2026-02-07T12:31:44.756915
gpt-5.2_baseline_extraction,gpt-5.2,extraction,21,"{""PER"":[""Cuttitta"",""George Coste""],""ORG"":[],""LOC"":[""England"",""Twickenham""],""MISC"":[]}","{""PER"": [""Cuttitta"", ""George Coste""], ""ORG"": [], ""LOC"": [""England"", ""Twickenham""], ""MISC"": []}",True,2339.9990000000003,258,97,0.00549,2026-02-07T12:31:47.096943
gpt-5.2_baseline_extraction,gpt-5.2,extraction,22,"{
  ""PER"": [""Stefano Bordon"", ""Coste"", ""Corrado Covi""],
  ""ORG"": [],
  ""LOC"": [""England""],
  ""MISC"": []
}","{""PER"": [""Stefano Bordon"", ""Coste"", ""Corrado Covi""], ""ORG"": [], ""LOC"": [""England""], ""MISC"": []}",True,2380.302,252,118,0.006059999999999999,2026-02-07T12:31:49.477279
