experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
gpt-4o_local_baseline_extraction,gpt-4o,extraction,0,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""India"", ""Adyar""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""India"", ""Adyar""], ""MISC"": []}",True,4.4879999999999995,2026-01-23T14:03:10.450293
gpt-4o_local_baseline_extraction,gpt-4o,extraction,1,"{
  ""PER"": [""Kanye West"", ""Jamie Foxx""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""Kanye West"", ""Jamie Foxx""], ""ORG"": [""Gold Digger""], ""LOC"": [], ""MISC"": []}",True,1.65,2026-01-23T14:03:10.451952
gpt-4o_local_baseline_extraction,gpt-4o,extraction,2,"{
  ""PER"": [""Hewitson""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Mycalesis perseus lalassis""], ""MISC"": []}",False,0.9810000000000001,2026-01-23T14:03:10.452937
gpt-4o_local_baseline_extraction,gpt-4o,extraction,3,"{""PER"": [""Jonny Lee Miller""], ""ORG"": [], ""LOC"": [], ""MISC"": [""Eli Stone""]}","{""PER"": [""Jonny Lee Miller""], ""ORG"": [""Eli Stone""], ""LOC"": [], ""MISC"": []}",True,1.519,2026-01-23T14:03:10.454461
gpt-4o_local_baseline_extraction,gpt-4o,extraction,4,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""United States""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Admission to the bar in the United States""], ""LOC"": [], ""MISC"": []}",False,1.073,2026-01-23T14:03:10.455543
gpt-4o_local_baseline_extraction,gpt-4o,extraction,5,"{
  ""PER"": [""Willy Unger""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""Willy Unger""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,2499.882,2026-01-23T14:03:12.955431
gpt-4o_local_baseline_extraction,gpt-4o,extraction,6,"{""PER"": [], ""ORG"": [], ""LOC"": [""Palermo Cathedral""], ""MISC"": []}","{""PER"": [], ""ORG"": [""Palermo Cathedral""], ""LOC"": [], ""MISC"": []}",False,1053.66,2026-01-23T14:03:14.009109
gpt-4o_local_baseline_extraction,gpt-4o,extraction,7,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""The O.C.""]
}","{""PER"": [""List of The O.C. characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,2141.6240000000003,2026-01-23T14:03:16.150782
gpt-4o_local_baseline_extraction,gpt-4o,extraction,8,"{
  ""PER"": [],
  ""ORG"": [""Cardiff Royal Infirmary""],
  ""LOC"": [""Roath"", ""Cardiff""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Cardiff Royal Infirmary""], ""LOC"": [""Roath , Cardiff""], ""MISC"": []}",False,3117.166,2026-01-23T14:03:19.267970
gpt-4o_local_baseline_extraction,gpt-4o,extraction,9,"{
  ""PER"": [""Roger Houdet""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""Roger Houdet""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,2029.5709999999997,2026-01-23T14:03:21.297551
gpt-4o_local_baseline_extraction,gpt-4o,extraction,10,"{
    ""PER"": [],
    ""ORG"": [],
    ""LOC"": [],
    ""MISC"": []
}","{""PER"": [""List of Oz ( TV series ) characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,1593.298,2026-01-23T14:03:22.890859
gpt-4o_local_baseline_extraction,gpt-4o,extraction,11,"{
  ""PER"": [""John Mellencamp""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Jack and Diane""]
}","{""PER"": [""John Mellencamp""], ""ORG"": [""Jack and Diane""], ""LOC"": [], ""MISC"": []}",True,2076.19,2026-01-23T14:03:24.967061
gpt-4o_local_baseline_extraction,gpt-4o,extraction,12,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""List of Antarctic and sub-Antarctic islands""], ""LOC"": [], ""MISC"": []}",False,1474.663,2026-01-23T14:03:26.441747
gpt-4o_local_baseline_extraction,gpt-4o,extraction,13,"{""PER"": [], ""ORG"": [""1st Foreign Legion Cavalry Regiment""], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [""1st Foreign Legion Cavalry Regiment""], ""LOC"": [], ""MISC"": []}",True,2308.025,2026-01-23T14:03:28.749791
