experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_extraction,llama3.2,extraction,0,"{""PER"": [], ""ORG"": [], ""LOC"": [""India"", ""Adyar""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""India"", ""Adyar""], ""MISC"": []}",True,3.762,2026-01-21T01:04:07.124754
llama3.2_local_baseline_extraction,llama3.2,extraction,1,"{""PER"": [""Kanye West"", ""Jamie Foxx""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Kanye West"", ""Jamie Foxx""], ""ORG"": [""Gold Digger""], ""LOC"": [], ""MISC"": []}",True,2.766,2026-01-21T01:04:07.127528
llama3.2_local_baseline_extraction,llama3.2,extraction,2,"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""Mycalesis perseus lalassis"", ""Hewitson""]}","{""PER"": [], ""ORG"": [], ""LOC"": [""Mycalesis perseus lalassis""], ""MISC"": []}",False,3.506,2026-01-21T01:04:07.131041
llama3.2_local_baseline_extraction,llama3.2,extraction,3,"{""PER"": [""Jonny Lee Miller""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Jonny Lee Miller""], ""ORG"": [""Eli Stone""], ""LOC"": [], ""MISC"": []}",True,3.191,2026-01-21T01:04:07.134238
llama3.2_local_baseline_extraction,llama3.2,extraction,4,"{""PER"": [], ""ORG"": [], ""LOC"": [""United States""], ""MISC"": []}","{""PER"": [], ""ORG"": [""Admission to the bar in the United States""], ""LOC"": [], ""MISC"": []}",False,5.112,2026-01-21T01:04:07.139355
llama3.2_local_baseline_extraction,llama3.2,extraction,5,"{""PER"": [""Willy Unger""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Willy Unger""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,3131.8959999999997,2026-01-21T01:04:10.271259
llama3.2_local_baseline_extraction,llama3.2,extraction,6,"{""PER"": [], ""ORG"": [""Palermo Cathedral""], ""LOC"": [""Palermo""], ""MISC"": []}","{""PER"": [], ""ORG"": [""Palermo Cathedral""], ""LOC"": [], ""MISC"": []}",True,1415.91,2026-01-21T01:04:11.687191
llama3.2_local_baseline_extraction,llama3.2,extraction,7,"{""PER"": [""The O.C. characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""List of The O.C. characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,1397.161,2026-01-21T01:04:13.084415
llama3.2_local_baseline_extraction,llama3.2,extraction,8,"{""PER"": [], ""ORG"": [""Cardiff Royal Infirmary""], ""LOC"": [""Roath"", ""Cardiff""], ""MISC"": []}","{""PER"": [], ""ORG"": [""Cardiff Royal Infirmary""], ""LOC"": [""Roath , Cardiff""], ""MISC"": []}",False,1599.8429999999998,2026-01-21T01:04:14.684279
llama3.2_local_baseline_extraction,llama3.2,extraction,9,"{""PER"": [""Roger Houdet""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Roger Houdet""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,1370.8990000000001,2026-01-21T01:04:16.055197
llama3.2_local_baseline_extraction,llama3.2,extraction,10,"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""List of Oz (TV series) characters""]}","{""PER"": [""List of Oz ( TV series ) characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,1459.7830000000001,2026-01-21T01:04:17.514992
llama3.2_local_baseline_extraction,llama3.2,extraction,11,"{""PER"": [""John Mellencamp""], ""ORG"": [], ""LOC"": [], ""MISC"": [""Jack and Diane"", ""Top 11""]}","{""PER"": [""John Mellencamp""], ""ORG"": [""Jack and Diane""], ""LOC"": [], ""MISC"": []}",False,1591.154,2026-01-21T01:04:19.106166
llama3.2_local_baseline_extraction,llama3.2,extraction,12,"{""PER"": [], ""ORG"": [], ""LOC"": [""Antarctic"", ""sub-Antarctic islands""], ""MISC"": []}","{""PER"": [], ""ORG"": [""List of Antarctic and sub-Antarctic islands""], ""LOC"": [], ""MISC"": []}",False,1784.425,2026-01-21T01:04:20.890612
llama3.2_local_baseline_extraction,llama3.2,extraction,13,"{""PER"": [], ""ORG"": [""1st Foreign Legion Cavalry Regiment""], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [""1st Foreign Legion Cavalry Regiment""], ""LOC"": [], ""MISC"": []}",True,1460.1,2026-01-21T01:04:22.352509
llama3.2_local_baseline_extraction,llama3.2,extraction,14,"{""PER"": [""John Reid""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""John Reid""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,1322.642,2026-01-21T01:04:23.675167
llama3.2_local_baseline_extraction,llama3.2,extraction,15,"{""PER"": [""Manuel Ibáñez""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Manuel `` Flaco '' Ib\u00e1\u00f1ez""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,1423.383,2026-01-21T01:04:25.098567
llama3.2_local_baseline_extraction,llama3.2,extraction,16,"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""Moments and Mine"", ""7"", ""single"", ""1981""]}","{""PER"": [], ""ORG"": [""Moments and Mine""], ""LOC"": [], ""MISC"": []}",False,1610.695,2026-01-21T01:04:26.709279
llama3.2_local_baseline_extraction,llama3.2,extraction,17,"{""PER"": [""Akritas Chlorakas""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [""Akritas Chlorakas""], ""LOC"": [], ""MISC"": []}",False,1438.596,2026-01-21T01:04:28.147887
llama3.2_local_baseline_extraction,llama3.2,extraction,18,"{""PER"": [], ""ORG"": [""Farmers ' Almanac""], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [""Farmers ' Almanac""], ""LOC"": [], ""MISC"": []}",True,1410.876,2026-01-21T01:04:29.558782
