experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,0,18,18,True,11145.916,2026-02-06T21:21:24.638643
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,1,3,3,True,7031.138,2026-02-06T21:21:31.669809
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,2,195000,70000,False,11374.293,2026-02-06T21:21:43.044145
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,3,180,540,False,6282.327,2026-02-06T21:21:49.326504
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,4,140,20,False,8687.174,2026-02-06T21:21:58.013712
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,5,64,64,True,9166.473,2026-02-06T21:22:07.180222
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,6,260,260,True,10241.286,2026-02-06T21:22:17.421543
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,7,120,160,False,9910.464,2026-02-06T21:22:27.332044
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,8,45,45,True,20391.992,2026-02-06T21:22:47.724055
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,9,$460,460,False,10425.957999999999,2026-02-06T21:22:58.150041
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,10,The total number of downloads is \(60 + 180 + 126 = 366\).,366,False,8763.33,2026-02-06T21:23:06.913400
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,11,"The calculations are as follows:
- Donuts: \(3 \times 68 = 204\) dollars
- Mini cupcakes: \(2 \times 80 = 160\) dollars
- Mini cheesecakes: \(6 \times 55 = 330\) dollars

Adding these amounts together gives the total cost:
\[204 + 160 + 330 = 694\]

Therefore, the total cost is $694.",694,False,11973.149,2026-02-06T21:23:18.886589
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,12,12,13,False,10963.024000000001,2026-02-06T21:23:29.849628
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,13,18,18,True,12666.339,2026-02-06T21:23:42.515994
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,14,60,60,True,12923.238,2026-02-06T21:23:55.439248
