experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,0,Yes,No,False,6428.854,2026-01-18T17:09:59.558540
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,1,Yes,Yes,True,3820.065,2026-01-18T17:10:03.378624
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,2,,Yes,False,3594.469,2026-01-18T17:10:06.973119
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,3,Yes,Yes,True,2777.011,2026-01-18T17:10:09.750157
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,4,Yes,Yes,True,6537.308999999999,2026-01-18T17:10:16.287490
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,5,No,No,True,2866.3120000000004,2026-01-18T17:10:19.153816
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,6,Yes,Yes,True,4828.258,2026-01-18T17:10:23.982111
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,7,,Yes,False,3409.922,2026-01-18T17:10:27.392111
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,8,,Yes,False,2898.197,2026-01-18T17:10:30.290331
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,9,Yes,Yes,True,2603.5020000000004,2026-01-18T17:10:32.893850
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,10,Yes,Yes,True,4812.12,2026-01-18T17:10:37.705998
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,11,No,No,True,2805.6580000000004,2026-01-18T17:10:40.511697
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,12,No,Yes,False,3799.955,2026-01-18T17:10:44.311660
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,13,Yes,Yes,True,4592.259,2026-01-18T17:10:48.903931
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,14,Yes,Yes,True,2919.543,2026-01-18T17:10:51.823492
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,15,Yes,Yes,True,3952.494,2026-01-18T17:10:55.776004
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,16,No,Yes,False,4438.955,2026-01-18T17:11:00.214979
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,17,Yes,Yes,True,2271.754,2026-01-18T17:11:02.486745
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,18,Yes,Yes,True,2816.917,2026-01-18T17:11:05.303673
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,19,Yes,Yes,True,2606.415,2026-01-18T17:11:07.910098
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,20,No,No,True,3836.827,2026-01-18T17:11:11.746938
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,21,No,Yes,False,4098.595,2026-01-18T17:11:15.845551
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,22,No,Yes,False,2908.541,2026-01-18T17:11:18.754119
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,23,Yes,Yes,True,3656.646,2026-01-18T17:11:22.410798
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,24,No,Yes,False,3767.971,2026-01-18T17:11:26.178814
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,25,Yes,Yes,True,3230.3959999999997,2026-01-18T17:11:29.409230
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,26,Yes,Yes,True,3364.133,2026-01-18T17:11:32.773373
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,27,No,No,True,4338.66,2026-01-18T17:11:37.112045
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,28,Yes,Yes,True,2914.8520000000003,2026-01-18T17:11:40.026914
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,29,Yes,Yes,True,3238.12,2026-01-18T17:11:43.265072
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,30,Yes,Yes,True,2513.317,2026-01-18T17:11:45.778395
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,31,Yes,Yes,True,2851.534,2026-01-18T17:11:48.629940
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,32,No,No,True,3349.543,2026-01-18T17:11:51.979503
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,33,Yes,Yes,True,4235.67,2026-01-18T17:11:56.215188
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,34,Yes,Yes,True,3315.2200000000003,2026-01-18T17:11:59.530416
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,35,Yes,Yes,True,3462.236,2026-01-18T17:12:02.992678
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,36,No,No,True,3578.339,2026-01-18T17:12:06.571088
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,37,,Yes,False,4254.8,2026-01-18T17:12:10.825907
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,38,No,No,True,5196.173,2026-01-18T17:12:16.022109
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,39,No,No,True,2539.2960000000003,2026-01-18T17:12:18.561424
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,40,Yes,Yes,True,3083.5530000000003,2026-01-18T17:12:21.645003
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,41,No,No,True,2859.74,2026-01-18T17:12:24.504765
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,42,Yes,Yes,True,3973.33,2026-01-18T17:12:28.478106
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,43,No,No,True,2033.114,2026-01-18T17:12:30.511236
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,44,Yes,Yes,True,3008.133,2026-01-18T17:12:33.519377
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,45,Yes,Yes,True,3225.205,2026-01-18T17:12:36.744589
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,46,Yes,Yes,True,3360.998,2026-01-18T17:12:40.105614
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,47,Yes,Yes,True,3899.623,2026-01-18T17:12:44.005289
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,48,Yes,Yes,True,2882.421,2026-01-18T17:12:46.887723
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,49,No,Yes,False,3332.058,2026-01-18T17:12:50.219805
