experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
gpt-4o_local_baseline_analysis,gpt-4o,analysis,0,No,No,True,4.567,2026-01-23T12:53:14.736263
gpt-4o_local_baseline_analysis,gpt-4o,analysis,1,Yes,Yes,True,2.097,2026-01-23T12:53:14.738369
gpt-4o_local_baseline_analysis,gpt-4o,analysis,2,Yes,Yes,True,1.5150000000000001,2026-01-23T12:53:14.739891
gpt-4o_local_baseline_analysis,gpt-4o,analysis,3,Yes,Yes,True,1.371,2026-01-23T12:53:14.741268
gpt-4o_local_baseline_analysis,gpt-4o,analysis,4,Yes,Yes,True,1.227,2026-01-23T12:53:14.742501
gpt-4o_local_baseline_analysis,gpt-4o,analysis,5,No,No,True,1.045,2026-01-23T12:53:14.743557
gpt-4o_local_baseline_analysis,gpt-4o,analysis,6,No,Yes,False,1.212,2026-01-23T12:53:14.744773
gpt-4o_local_baseline_analysis,gpt-4o,analysis,7,Yes,Yes,True,1.25,2026-01-23T12:53:14.746036
gpt-4o_local_baseline_analysis,gpt-4o,analysis,8,No,Yes,False,0.751,2026-01-23T12:53:14.746792
gpt-4o_local_baseline_analysis,gpt-4o,analysis,9,Yes,Yes,True,1.13,2026-01-23T12:53:14.747926
gpt-4o_local_baseline_analysis,gpt-4o,analysis,10,Yes,Yes,True,1.0330000000000001,2026-01-23T12:53:14.748963
gpt-4o_local_baseline_analysis,gpt-4o,analysis,11,No,No,True,1.111,2026-01-23T12:53:14.750078
gpt-4o_local_baseline_analysis,gpt-4o,analysis,12,No,Yes,False,0.949,2026-01-23T12:53:14.751031
gpt-4o_local_baseline_analysis,gpt-4o,analysis,13,Yes,Yes,True,0.8809999999999999,2026-01-23T12:53:14.751916
gpt-4o_local_baseline_analysis,gpt-4o,analysis,14,Yes,Yes,True,0.9169999999999999,2026-01-23T12:53:14.752837
gpt-4o_local_baseline_analysis,gpt-4o,analysis,15,Yes,Yes,True,0.929,2026-01-23T12:53:14.753770
gpt-4o_local_baseline_analysis,gpt-4o,analysis,16,No,Yes,False,0.8899999999999999,2026-01-23T12:53:14.754664
gpt-4o_local_baseline_analysis,gpt-4o,analysis,17,Yes,Yes,True,1.027,2026-01-23T12:53:14.755695
gpt-4o_local_baseline_analysis,gpt-4o,analysis,18,No,Yes,False,1.039,2026-01-23T12:53:14.756737
gpt-4o_local_baseline_analysis,gpt-4o,analysis,19,Yes,Yes,True,0.903,2026-01-23T12:53:14.757643
gpt-4o_local_baseline_analysis,gpt-4o,analysis,20,No,No,True,0.821,2026-01-23T12:53:14.758467
gpt-4o_local_baseline_analysis,gpt-4o,analysis,21,No,Yes,False,0.871,2026-01-23T12:53:14.759341
gpt-4o_local_baseline_analysis,gpt-4o,analysis,22,No,Yes,False,0.928,2026-01-23T12:53:14.760272
gpt-4o_local_baseline_analysis,gpt-4o,analysis,23,Yes,Yes,True,0.896,2026-01-23T12:53:14.761172
gpt-4o_local_baseline_analysis,gpt-4o,analysis,24,No,Yes,False,0.9940000000000001,2026-01-23T12:53:14.762169
gpt-4o_local_baseline_analysis,gpt-4o,analysis,25,Yes,Yes,True,0.95,2026-01-23T12:53:14.763124
gpt-4o_local_baseline_analysis,gpt-4o,analysis,26,Yes,Yes,True,0.9319999999999999,2026-01-23T12:53:14.764059
gpt-4o_local_baseline_analysis,gpt-4o,analysis,27,No,No,True,1.085,2026-01-23T12:53:14.765148
gpt-4o_local_baseline_analysis,gpt-4o,analysis,28,Yes,Yes,True,0.9610000000000001,2026-01-23T12:53:14.766112
gpt-4o_local_baseline_analysis,gpt-4o,analysis,29,Yes,Yes,True,0.894,2026-01-23T12:53:14.767010
gpt-4o_local_baseline_analysis,gpt-4o,analysis,30,Yes,Yes,True,0.615,2026-01-23T12:53:14.767628
gpt-4o_local_baseline_analysis,gpt-4o,analysis,31,Yes,Yes,True,0.924,2026-01-23T12:53:14.768557
gpt-4o_local_baseline_analysis,gpt-4o,analysis,32,No,No,True,0.889,2026-01-23T12:53:14.769449
gpt-4o_local_baseline_analysis,gpt-4o,analysis,33,No,Yes,False,0.7829999999999999,2026-01-23T12:53:14.770235
gpt-4o_local_baseline_analysis,gpt-4o,analysis,34,Yes,Yes,True,0.875,2026-01-23T12:53:14.771115
gpt-4o_local_baseline_analysis,gpt-4o,analysis,35,Yes,Yes,True,0.885,2026-01-23T12:53:14.772003
gpt-4o_local_baseline_analysis,gpt-4o,analysis,36,No,No,True,0.93,2026-01-23T12:53:14.772936
gpt-4o_local_baseline_analysis,gpt-4o,analysis,37,Yes,Yes,True,0.705,2026-01-23T12:53:14.773644
gpt-4o_local_baseline_analysis,gpt-4o,analysis,38,No,No,True,0.889,2026-01-23T12:53:14.774536
gpt-4o_local_baseline_analysis,gpt-4o,analysis,39,No,No,True,0.856,2026-01-23T12:53:14.775395
gpt-4o_local_baseline_analysis,gpt-4o,analysis,40,Yes,Yes,True,0.883,2026-01-23T12:53:14.776281
gpt-4o_local_baseline_analysis,gpt-4o,analysis,41,No,No,True,0.8720000000000001,2026-01-23T12:53:14.777156
gpt-4o_local_baseline_analysis,gpt-4o,analysis,42,No,Yes,False,0.861,2026-01-23T12:53:14.778020
