experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
mistral_local_baseline_classification,mistral,classification,0,,card_arrival,False,4043.978,2026-01-18T14:37:10.964931
mistral_local_baseline_classification,mistral,classification,1,,card_arrival,False,1095.4140000000002,2026-01-18T14:37:12.060355
mistral_local_baseline_classification,mistral,classification,2,,card_arrival,False,1083.928,2026-01-18T14:37:13.144301
mistral_local_baseline_classification,mistral,classification,3,card_delivery_estimate,card_arrival,False,1170.566,2026-01-18T14:37:14.314881
mistral_local_baseline_classification,mistral,classification,4,card_delivery_estimate,card_arrival,False,1167.133,2026-01-18T14:37:15.482030
mistral_local_baseline_classification,mistral,classification,5,card_delivery_estimate,card_arrival,False,1182.416,2026-01-18T14:37:16.664457
mistral_local_baseline_classification,mistral,classification,6,,card_arrival,False,1050.269,2026-01-18T14:37:17.714741
mistral_local_baseline_classification,mistral,classification,7,card_delivery_estimate,card_arrival,False,1169.168,2026-01-18T14:37:18.883952
mistral_local_baseline_classification,mistral,classification,8,card_delivery_estimate,card_arrival,False,1181.79,2026-01-18T14:37:20.065773
mistral_local_baseline_classification,mistral,classification,9,card_delivery_estimate,card_arrival,False,1187.964,2026-01-18T14:37:21.253766
mistral_local_baseline_classification,mistral,classification,10,card_tracking,card_arrival,False,1051.452,2026-01-18T14:37:22.305228
mistral_local_baseline_classification,mistral,classification,11,card_delivery_estimate,card_arrival,False,1173.765,2026-01-18T14:37:23.479009
mistral_local_baseline_classification,mistral,classification,12,,card_arrival,False,1099.903,2026-01-18T14:37:24.578935
mistral_local_baseline_classification,mistral,classification,13,getting_physical_card,card_arrival,False,1164.809,2026-01-18T14:37:25.743752
mistral_local_baseline_classification,mistral,classification,14,card_delivery_estimate,card_arrival,False,1172.622,2026-01-18T14:37:26.916383
mistral_local_baseline_classification,mistral,classification,15,card_delivery_estimate,card_arrival,False,1172.4889999999998,2026-01-18T14:37:28.088883
mistral_local_baseline_classification,mistral,classification,16,card_delivery_estimate,card_arrival,False,1177.4309999999998,2026-01-18T14:37:29.266326
mistral_local_baseline_classification,mistral,classification,17,card_delivery_estimate,card_arrival,False,1168.591,2026-01-18T14:37:30.434931
mistral_local_baseline_classification,mistral,classification,18,,card_arrival,False,1088.829,2026-01-18T14:37:31.523774
mistral_local_baseline_classification,mistral,classification,19,,card_arrival,False,1089.445,2026-01-18T14:37:32.613226
mistral_local_baseline_classification,mistral,classification,20,card_arrival,card_arrival,True,1086.828,2026-01-18T14:37:33.700065
mistral_local_baseline_classification,mistral,classification,21,order_physical_card,card_arrival,False,1126.911,2026-01-18T14:37:34.826986
mistral_local_baseline_classification,mistral,classification,22,card_delivery_estimate,card_arrival,False,1355.254,2026-01-18T14:37:36.182274
mistral_local_baseline_classification,mistral,classification,23,,card_arrival,False,1172.456,2026-01-18T14:37:37.354765
mistral_local_baseline_classification,mistral,classification,24,card_delivery_estimate,card_arrival,False,1168.405,2026-01-18T14:37:38.523179
mistral_local_baseline_classification,mistral,classification,25,,card_arrival,False,1096.029,2026-01-18T14:37:39.619220
mistral_local_baseline_classification,mistral,classification,26,card_delivery_estimate,card_arrival,False,1174.584,2026-01-18T14:37:40.793817
mistral_local_baseline_classification,mistral,classification,27,card_delivery_estimate,card_arrival,False,1171.869,2026-01-18T14:37:41.965695
mistral_local_baseline_classification,mistral,classification,28,,card_arrival,False,1090.999,2026-01-18T14:37:43.056701
mistral_local_baseline_classification,mistral,classification,29,card_delivery_estimate,card_arrival,False,1165.485,2026-01-18T14:37:44.222202
mistral_local_baseline_classification,mistral,classification,30,card_delivery_estimate,card_arrival,False,1171.107,2026-01-18T14:37:45.393327
