experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,0,Yes,No,False,4.472,477,113,0.00013935,2026-01-19T15:20:17.082913
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,1,Yes,Yes,True,2.0509999999999997,464,50,9.96e-05,2026-01-19T15:20:17.084976
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,2,Yes,Yes,True,1.573,274,71,8.37e-05,2026-01-19T15:20:17.086560
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,3,Yes,Yes,True,1.636,325,45,7.575e-05,2026-01-19T15:20:17.088204
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,4,Yes,Yes,True,1.167,311,93,0.00010245,2026-01-19T15:20:17.089380
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,5,No,No,True,1.059,296,51,7.5e-05,2026-01-19T15:20:17.090449
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,6,Yes,Yes,True,0.962,342,86,0.0001029,2026-01-19T15:20:17.091417
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,7,Yes,Yes,True,0.902,342,55,8.43e-05,2026-01-19T15:20:17.092332
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,8,Yes,Yes,True,1.008,225,90,8.775e-05,2026-01-19T15:20:17.093348
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,9,Yes,Yes,True,1.0399999999999998,317,52,7.874999999999999e-05,2026-01-19T15:20:17.094395
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,10,Yes,Yes,True,0.961,384,81,0.0001062,2026-01-19T15:20:17.095362
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,11,No,No,True,0.764,319,67,8.805e-05,2026-01-19T15:20:17.096133
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,12,No,Yes,False,0.92,323,82,9.765e-05,2026-01-19T15:20:17.097059
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,13,No,Yes,False,0.8220000000000001,330,117,0.0001197,2026-01-19T15:20:17.097886
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,14,Yes,Yes,True,1.011,369,56,8.895e-05,2026-01-19T15:20:17.098904
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,15,Yes,Yes,True,0.882,290,48,7.23e-05,2026-01-19T15:20:17.099791
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,16,Yes,Yes,True,0.871,359,95,0.00011085,2026-01-19T15:20:17.100668
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,17,Yes,Yes,True,0.995,269,50,7.035e-05,2026-01-19T15:20:17.101669
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,18,Yes,Yes,True,1.052,374,47,8.429999999999999e-05,2026-01-19T15:20:17.102729
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,19,Yes,Yes,True,0.882,274,59,7.649999999999999e-05,2026-01-19T15:20:17.103618
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,20,No,No,True,1.122,385,99,0.0001171499999999,2026-01-19T15:20:17.104747
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,21,No,Yes,False,0.808,405,96,0.0001183499999999,2026-01-19T15:20:17.105561
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,22,No,Yes,False,1.032,269,63,7.815e-05,2026-01-19T15:20:17.106599
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,23,Yes,Yes,True,0.865,292,60,7.98e-05,2026-01-19T15:20:17.107469
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,24,No,Yes,False,0.714,364,98,0.0001133999999999,2026-01-19T15:20:17.108188
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,25,Yes,Yes,True,0.869,310,51,7.71e-05,2026-01-19T15:20:17.109062
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,26,Yes,Yes,True,0.71,338,87,0.0001029,2026-01-19T15:20:17.109777
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,27,No,No,True,0.859,424,122,0.0001368,2026-01-19T15:20:17.110641
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,28,Yes,Yes,True,0.94,280,65,8.099999999999999e-05,2026-01-19T15:20:17.111586
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,29,Yes,Yes,True,0.875,329,63,8.714999999999999e-05,2026-01-19T15:20:17.112466
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,30,Yes,Yes,True,1.828,340,52,8.219999999999999e-05,2026-01-19T15:20:17.114301
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,31,Yes,Yes,True,0.705,271,75,8.565e-05,2026-01-19T15:20:17.115011
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,32,No,No,True,0.998,295,93,0.0001000499999999,2026-01-19T15:20:17.116015
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,33,No,Yes,False,0.714,304,83,9.54e-05,2026-01-19T15:20:17.116735
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,34,Yes,Yes,True,0.99,317,47,7.575e-05,2026-01-19T15:20:17.117730
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,35,Yes,Yes,True,1.119,353,66,9.255e-05,2026-01-19T15:20:17.118855
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,36,No,No,True,0.994,326,83,9.87e-05,2026-01-19T15:20:17.119859
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,37,Yes,Yes,True,1.379,375,96,0.00011385,2026-01-19T15:20:17.121246
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,38,No,No,True,1.123,429,101,0.00012495,2026-01-19T15:20:17.122376
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,39,No,No,True,0.805,251,61,7.424999999999999e-05,2026-01-19T15:20:17.123187
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,40,Yes,Yes,True,0.871,469,56,0.00010395,2026-01-19T15:20:17.124064
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,41,No,No,True,0.825,355,64,9.165e-05,2026-01-19T15:20:17.124895
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,42,Yes,Yes,True,1.019,349,75,9.735e-05,2026-01-19T15:20:17.125920
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,43,No,No,True,0.741,255,70,8.025e-05,2026-01-19T15:20:17.126667
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,44,Yes,Yes,True,0.7010000000000001,303,60,8.145e-05,2026-01-19T15:20:17.127374
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,45,Yes,Yes,True,1.009,297,69,8.595e-05,2026-01-19T15:20:17.128388
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,46,Yes,Yes,True,0.7739999999999999,326,43,7.47e-05,2026-01-19T15:20:17.129169
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,47,Yes,Yes,True,0.882,384,66,9.72e-05,2026-01-19T15:20:17.130056
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,48,Yes,Yes,True,0.896,390,49,8.79e-05,2026-01-19T15:20:17.130957
gpt-4o-mini_baseline_analysis,gpt-4o-mini,analysis,49,No,Yes,False,1.257,318,81,9.63e-05,2026-01-19T15:20:17.132220
