experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2_baseline_qa,gpt-5.2,qa,0,Yes—both were American.,yes,False,1150.806,178,51,0.0033099999999999,2026-01-18T13:52:18.496005
gpt-5.2_baseline_qa,gpt-5.2,qa,1,United States Ambassador to Ghana,Chief of Protocol,False,2113.587,187,110,0.00517,2026-01-18T13:52:20.609624
gpt-5.2_baseline_qa,gpt-5.2,qa,2,*Animorphs* (with the companion *Animorphs Chronicles* books),Animorphs,False,2263.1389999999997,196,114,0.00538,2026-01-18T13:52:22.872784
gpt-5.2_baseline_qa,gpt-5.2,qa,3,"No, they are in different neighborhoods (Laleli in Fatih vs. Ortaköy in Beşiktaş).",no,False,1839.256,182,103,0.0049099999999999,2026-01-18T13:52:24.712075
gpt-5.2_baseline_qa,gpt-5.2,qa,4,New York City,"Greenwich Village, New York City",False,1017.538,185,48,0.00329,2026-01-18T13:52:25.729641
gpt-5.2_baseline_qa,gpt-5.2,qa,5,YG Entertainment,YG Entertainment,True,1950.423,186,60,0.00366,2026-01-18T13:52:27.680081
gpt-5.2_baseline_qa,gpt-5.2,qa,6,Aladin Jallad,Eenasul Fateh,False,1845.943,185,85,0.0044,2026-01-18T13:52:29.526059
gpt-5.2_baseline_qa,gpt-5.2,qa,7,"6,677","3,677 seated",False,1528.321,185,59,0.00362,2026-01-18T13:52:31.054442
gpt-5.2_baseline_qa,gpt-5.2,qa,8,Terry Richardson,Terry Richardson,True,1025.279,176,58,0.0034999999999999,2026-01-18T13:52:32.079739
gpt-5.2_baseline_qa,gpt-5.2,qa,9,Yes—both Local H and For Against are from the United States.,yes,False,1526.277,178,68,0.00382,2026-01-18T13:52:33.606039
gpt-5.2_baseline_qa,gpt-5.2,qa,10,I’m a Jayhawk,Kansas Song,False,1444.126,197,64,0.00389,2026-01-18T13:52:35.050183
