experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_agentic,llama3.2,agentic,0,No,No,True,10363.356,2026-01-18T14:00:08.541147
llama3.2_local_baseline_agentic,llama3.2,agentic,1,No,No,True,5260.201,2026-01-18T14:00:13.801369
llama3.2_local_baseline_agentic,llama3.2,agentic,2,No,No,True,4424.232,2026-01-18T14:00:18.225610
llama3.2_local_baseline_agentic,llama3.2,agentic,3,No,No,True,6073.889,2026-01-18T14:00:24.299541
llama3.2_local_baseline_agentic,llama3.2,agentic,4,No,No,True,6735.143,2026-01-18T14:00:31.034746
llama3.2_local_baseline_agentic,llama3.2,agentic,5,No,Yes,False,2382.859,2026-01-18T14:00:33.417617
llama3.2_local_baseline_agentic,llama3.2,agentic,6,No,Yes,False,4411.083,2026-01-18T14:00:37.828719
llama3.2_local_baseline_agentic,llama3.2,agentic,7,No,No,True,4438.924,2026-01-18T14:00:42.267676
llama3.2_local_baseline_agentic,llama3.2,agentic,8,Yes,No,False,7398.009,2026-01-18T14:00:49.665698
llama3.2_local_baseline_agentic,llama3.2,agentic,9,No,Yes,False,5648.351,2026-01-18T14:00:55.314079
llama3.2_local_baseline_agentic,llama3.2,agentic,10,No,Yes,False,3261.71,2026-01-18T14:00:58.575801
llama3.2_local_baseline_agentic,llama3.2,agentic,11,No,No,True,1952.564,2026-01-18T14:01:00.528371
llama3.2_local_baseline_agentic,llama3.2,agentic,12,No,No,True,4858.885,2026-01-18T14:01:05.387280
llama3.2_local_baseline_agentic,llama3.2,agentic,13,Yes,Yes,True,7416.275,2026-01-18T14:01:12.803676
llama3.2_local_baseline_agentic,llama3.2,agentic,14,No,No,True,4048.423,2026-01-18T14:01:16.852123
llama3.2_local_baseline_agentic,llama3.2,agentic,15,No,No,True,5463.973,2026-01-18T14:01:22.316109
llama3.2_local_baseline_agentic,llama3.2,agentic,16,Yes,Yes,True,5457.951999999999,2026-01-18T14:01:27.774081
llama3.2_local_baseline_agentic,llama3.2,agentic,17,No,Yes,False,5126.918,2026-01-18T14:01:32.901013
llama3.2_local_baseline_agentic,llama3.2,agentic,18,No,No,True,2070.836,2026-01-18T14:01:34.971859
llama3.2_local_baseline_agentic,llama3.2,agentic,19,No,No,True,2951.797,2026-01-18T14:01:37.923685
llama3.2_local_baseline_agentic,llama3.2,agentic,20,No,No,True,1660.056,2026-01-18T14:01:39.583811
llama3.2_local_baseline_agentic,llama3.2,agentic,21,No,No,True,7077.046,2026-01-18T14:01:46.660864
llama3.2_local_baseline_agentic,llama3.2,agentic,22,No,Yes,False,4640.328,2026-01-18T14:01:51.301208
llama3.2_local_baseline_agentic,llama3.2,agentic,23,No,Yes,False,2296.833,2026-01-18T14:01:53.598055
llama3.2_local_baseline_agentic,llama3.2,agentic,24,No,Yes,False,4963.231000000001,2026-01-18T14:01:58.561294
llama3.2_local_baseline_agentic,llama3.2,agentic,25,Yes,Yes,True,5249.3369999999995,2026-01-18T14:02:03.810651
llama3.2_local_baseline_agentic,llama3.2,agentic,26,No,No,True,3207.591,2026-01-18T14:02:07.018268
llama3.2_local_baseline_agentic,llama3.2,agentic,27,No,No,True,8362.639,2026-01-18T14:02:15.380919
llama3.2_local_baseline_agentic,llama3.2,agentic,28,No,Yes,False,6975.189,2026-01-18T14:02:22.356140
llama3.2_local_baseline_agentic,llama3.2,agentic,29,Yes,Yes,True,6585.032,2026-01-18T14:02:28.941198
llama3.2_local_baseline_agentic,llama3.2,agentic,30,Yes,Yes,True,7981.781,2026-01-18T14:02:36.922992
llama3.2_local_baseline_agentic,llama3.2,agentic,31,Yes,Yes,True,7056.952,2026-01-18T14:02:43.979970
llama3.2_local_baseline_agentic,llama3.2,agentic,32,No,No,True,7402.805,2026-01-18T14:02:51.382792
llama3.2_local_baseline_agentic,llama3.2,agentic,33,Yes,Yes,True,8277.575,2026-01-18T14:02:59.660409
llama3.2_local_baseline_agentic,llama3.2,agentic,34,No,No,True,4364.303,2026-01-18T14:03:04.024733
llama3.2_local_baseline_agentic,llama3.2,agentic,35,No,Yes,False,2490.955,2026-01-18T14:03:06.515726
llama3.2_local_baseline_agentic,llama3.2,agentic,36,No,No,True,2336.98,2026-01-18T14:03:08.852733
llama3.2_local_baseline_agentic,llama3.2,agentic,37,No,Yes,False,2209.346,2026-01-18T14:03:11.062137
llama3.2_local_baseline_agentic,llama3.2,agentic,38,Yes,Yes,True,4691.96,2026-01-18T14:03:15.754111
llama3.2_local_baseline_agentic,llama3.2,agentic,39,Yes,Yes,True,5027.02,2026-01-18T14:03:20.781143
llama3.2_local_baseline_agentic,llama3.2,agentic,40,No,No,True,6298.274,2026-01-18T14:03:27.079433
llama3.2_local_baseline_agentic,llama3.2,agentic,41,No,Yes,False,4641.402,2026-01-18T14:03:31.720845
llama3.2_local_baseline_agentic,llama3.2,agentic,42,No,Yes,False,6738.344,2026-01-18T14:03:38.459202
llama3.2_local_baseline_agentic,llama3.2,agentic,43,No,Yes,False,4497.0509999999995,2026-01-18T14:03:42.956302
llama3.2_local_baseline_agentic,llama3.2,agentic,44,No,No,True,2614.293,2026-01-18T14:03:45.570613
llama3.2_local_baseline_agentic,llama3.2,agentic,45,No,No,True,3045.422,2026-01-18T14:03:48.616052
llama3.2_local_baseline_agentic,llama3.2,agentic,46,Yes,No,False,4755.77,2026-01-18T14:03:53.371835
llama3.2_local_baseline_agentic,llama3.2,agentic,47,No,No,True,4552.286,2026-01-18T14:03:57.924132
llama3.2_local_baseline_agentic,llama3.2,agentic,48,No,Yes,False,6601.063,2026-01-18T14:04:04.525213
llama3.2_local_baseline_agentic,llama3.2,agentic,49,No,No,True,5382.6900000000005,2026-01-18T14:04:09.907934
