experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,0,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""India"", ""Adyar""],
  ""MISC"": [""1884""]
}","{""PER"": [], ""ORG"": [], ""LOC"": [""India"", ""Adyar""], ""MISC"": []}",True,3608.302,210,179,0.0,2026-01-19T15:28:34.589030
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,1,"{
  ""PER"": [""Kanye West"", ""Jamie Foxx""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Gold Digger"", ""2005""]
}","{""PER"": [""Kanye West"", ""Jamie Foxx""], ""ORG"": [""Gold Digger""], ""LOC"": [], ""MISC"": []}",True,1857.552,204,123,0.0,2026-01-19T15:28:36.446680
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,2,"{
  ""PER"": [""Hewitson""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Mycalesis perseus lalassis""]
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Mycalesis perseus lalassis""], ""MISC"": []}",False,3078.056,205,184,0.0,2026-01-19T15:28:39.524978
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,3,"{""PER"":[""Jonny Lee Miller""],""ORG"":[],""LOC"":[],""MISC"":[""Eli Stone""]}","{""PER"": [""Jonny Lee Miller""], ""ORG"": [""Eli Stone""], ""LOC"": [], ""MISC"": []}",True,2259.173,194,105,0.0,2026-01-19T15:28:41.784704
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,4,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""United States""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Admission to the bar in the United States""], ""LOC"": [], ""MISC"": []}",False,2637.514,195,109,0.0,2026-01-19T15:28:44.422282
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,5,"{""PER"":[""Willy Unger""],""ORG"":[],""LOC"":[],""MISC"":[]}","{""PER"": [""Willy Unger""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,2334.853,194,102,0.0,2026-01-19T15:28:46.757189
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,6,"{""PER"":[],""ORG"":[],""LOC"":[""Palermo Cathedral""],""MISC"":[]}","{""PER"": [], ""ORG"": [""Palermo Cathedral""], ""LOC"": [], ""MISC"": []}",False,2531.175,202,101,0.0,2026-01-19T15:28:49.288548
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,7,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""The O.C.""]
}","{""PER"": [""List of The O.C. characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,3043.589,194,174,0.0,2026-01-19T15:28:52.332930
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,8,"{""PER"":[],""ORG"":[""Cardiff Royal Infirmary""],""LOC"":[""Roath"",""Cardiff""],""MISC"":[]}","{""PER"": [], ""ORG"": [""Cardiff Royal Infirmary""], ""LOC"": [""Roath , Cardiff""], ""MISC"": []}",False,2845.37,198,174,0.0,2026-01-19T15:28:55.178368
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,9,"{
  ""PER"": [""Roger Houdet""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""9 June 1958 – 27 May 1959""]
}","{""PER"": [""Roger Houdet""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,3701.241,203,251,0.0,2026-01-19T15:28:58.879661
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,10,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Oz (TV series)""]
}","{""PER"": [""List of Oz ( TV series ) characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,3571.894,195,176,0.0,2026-01-19T15:29:02.451824
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,11,"{
  ""PER"": [""John Mellencamp""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Jack and Diane""]
}","{""PER"": [""John Mellencamp""], ""ORG"": [""Jack and Diane""], ""LOC"": [], ""MISC"": []}",True,3260.631,205,179,0.0,2026-01-19T15:29:05.712701
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,12,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Antarctic"", ""sub-Antarctic""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""List of Antarctic and sub-Antarctic islands""], ""LOC"": [], ""MISC"": []}",False,1949.097,197,53,0.0,2026-01-19T15:29:07.661885
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,13,"{""PER"":[],""ORG"":[""1st Foreign Legion Cavalry Regiment""],""LOC"":[],""MISC"":[]}","{""PER"": [], ""ORG"": [""1st Foreign Legion Cavalry Regiment""], ""LOC"": [], ""MISC"": []}",True,2387.2810000000004,194,105,0.0,2026-01-19T15:29:10.049306
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,14,"{""PER"":[""John Reid""],""ORG"":[],""LOC"":[],""MISC"":[""27 July 1998"",""17 May 1999""]}","{""PER"": [""John Reid""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,4649.67,204,239,0.0,2026-01-19T15:29:14.699073
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,15,"{""PER"":[""Manuel `` Flaco '' Ibáñez""],""ORG"":[],""LOC"":[],""MISC"":[]}","{""PER"": [""Manuel `` Flaco '' Ib\u00e1\u00f1ez""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,4687.942999999999,196,171,0.0,2026-01-19T15:29:19.387129
gpt-5.2-chat-latest_baseline_extraction,gpt-5.2-chat-latest,extraction,16,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Moments and Mine""]
}","{""PER"": [], ""ORG"": [""Moments and Mine""], ""LOC"": [], ""MISC"": []}",False,3777.051,200,175,0.0,2026-01-19T15:29:23.164302
