experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,0,lost_or_stolen_card,card_arrival,False,2114.191,517,89,0.0,2026-01-19T15:22:21.692163
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,1,card_arrival,card_arrival,True,1797.652,526,87,0.0,2026-01-19T15:22:23.489843
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,2,card_arrival,card_arrival,True,1443.316,523,23,0.0,2026-01-19T15:22:24.933173
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,3,card_delivery_estimate,card_arrival,False,1806.438,522,88,0.0,2026-01-19T15:22:26.739628
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,4,card_arrival,card_arrival,True,1397.146,517,23,0.0,2026-01-19T15:22:28.136790
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,5,card_delivery_estimate,card_arrival,False,1740.228,517,24,0.0,2026-01-19T15:22:29.877030
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,6,card_delivery_estimate,card_arrival,False,2002.5590000000002,527,88,0.0,2026-01-19T15:22:31.879605
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,7,card_arrival,card_arrival,True,1371.751,517,23,0.0,2026-01-19T15:22:33.251399
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,8,card_arrival,card_arrival,True,1708.993,516,87,0.0,2026-01-19T15:22:34.960404
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,9,card_delivery_estimate,card_arrival,False,1430.175,525,24,0.0,2026-01-19T15:22:36.390594
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,10,card_arrival,card_arrival,True,1396.123,517,23,0.0,2026-01-19T15:22:37.786745
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,11,card_delivery_estimate,card_arrival,False,1724.479,518,88,0.0,2026-01-19T15:22:39.511242
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,12,card_arrival,card_arrival,True,1609.6680000000001,527,23,0.0,2026-01-19T15:22:41.120925
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,13,card_arrival,card_arrival,True,1728.845,517,87,0.0,2026-01-19T15:22:42.849780
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,14,card_delivery_estimate,card_arrival,False,2216.509,527,88,0.0,2026-01-19T15:22:45.066302
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,15,card_delivery_estimate,card_arrival,False,1786.143,532,88,0.0,2026-01-19T15:22:46.852462
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,16,card_delivery_estimate,card_arrival,False,1515.698,520,24,0.0,2026-01-19T15:22:48.368170
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,17,card_arrival,card_arrival,True,1965.633,517,23,0.0,2026-01-19T15:22:50.333819
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,18,card_arrival,card_arrival,True,1726.549,523,23,0.0,2026-01-19T15:22:52.060411
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,19,card_arrival,card_arrival,True,1977.696,524,87,0.0,2026-01-19T15:22:54.038167
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,20,card_arrival,card_arrival,True,1807.537,522,87,0.0,2026-01-19T15:22:55.845715
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,21,card_arrival,card_arrival,True,2247.4590000000003,517,23,0.0,2026-01-19T15:22:58.093196
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,22,card_delivery_estimate,card_arrival,False,2088.145,520,88,0.0,2026-01-19T15:23:00.181404
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,23,card_arrival,card_arrival,True,1705.0069999999998,529,87,0.0,2026-01-19T15:23:01.886433
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,24,card_arrival,card_arrival,True,1986.208,521,87,0.0,2026-01-19T15:23:03.872656
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,25,card_delivery_estimate,card_arrival,False,2253.2239999999997,522,88,0.0,2026-01-19T15:23:06.125931
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,26,card_arrival,card_arrival,True,1301.8609999999999,526,23,0.0,2026-01-19T15:23:07.427805
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,27,card_delivery_estimate,card_arrival,False,2369.0280000000002,527,88,0.0,2026-01-19T15:23:09.796879
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,28,card_arrival,card_arrival,True,3046.022,529,151,0.0,2026-01-19T15:23:12.842918
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,29,card_arrival,card_arrival,True,1210.4029999999998,519,23,0.0,2026-01-19T15:23:14.053369
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,30,card_arrival,card_arrival,True,2044.842,516,87,0.0,2026-01-19T15:23:16.098225
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,31,card_arrival,card_arrival,True,1750.941,526,87,0.0,2026-01-19T15:23:17.849178
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,32,card_delivery_estimate,card_arrival,False,1029.558,520,24,0.0,2026-01-19T15:23:18.878754
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,33,card_arrival,card_arrival,True,2157.042,520,87,0.0,2026-01-19T15:23:21.035807
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,34,card_arrival,card_arrival,True,1786.939,523,87,0.0,2026-01-19T15:23:22.822767
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,35,card_arrival,card_arrival,True,1543.689,531,23,0.0,2026-01-19T15:23:24.366474
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,36,card_arrival,card_arrival,True,1679.875,528,87,0.0,2026-01-19T15:23:26.046363
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,37,card_arrival,card_arrival,True,2287.783,516,87,0.0,2026-01-19T15:23:28.334163
gpt-5.2-chat-latest_baseline_classification,gpt-5.2-chat-latest,classification,38,card_arrival,card_arrival,True,2634.594,521,87,0.0,2026-01-19T15:23:30.968768
