experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_analysis,llama3.2,analysis,0,Yes,No,False,3.749,2026-01-18T14:04:15.195132
llama3.2_local_baseline_analysis,llama3.2,analysis,1,No,Yes,False,3383.571,2026-01-18T14:04:18.578712
llama3.2_local_baseline_analysis,llama3.2,analysis,2,Yes,Yes,True,2451.645,2026-01-18T14:04:21.030374
llama3.2_local_baseline_analysis,llama3.2,analysis,3,Yes,Yes,True,1667.958,2026-01-18T14:04:22.698339
llama3.2_local_baseline_analysis,llama3.2,analysis,4,Yes,Yes,True,3336.331,2026-01-18T14:04:26.034679
llama3.2_local_baseline_analysis,llama3.2,analysis,5,No,No,True,1493.709,2026-01-18T14:04:27.528397
llama3.2_local_baseline_analysis,llama3.2,analysis,6,No,Yes,False,1805.9099999999999,2026-01-18T14:04:29.334318
llama3.2_local_baseline_analysis,llama3.2,analysis,7,No,Yes,False,2327.9550000000004,2026-01-18T14:04:31.662294
llama3.2_local_baseline_analysis,llama3.2,analysis,8,No,Yes,False,4324.5380000000005,2026-01-18T14:04:35.986860
llama3.2_local_baseline_analysis,llama3.2,analysis,9,Yes,Yes,True,1919.729,2026-01-18T14:04:37.906671
llama3.2_local_baseline_analysis,llama3.2,analysis,10,Yes,Yes,True,2598.089,2026-01-18T14:04:40.504771
llama3.2_local_baseline_analysis,llama3.2,analysis,11,No,No,True,3061.1009999999997,2026-01-18T14:04:43.565894
llama3.2_local_baseline_analysis,llama3.2,analysis,12,Yes,Yes,True,2518.795,2026-01-18T14:04:46.084707
llama3.2_local_baseline_analysis,llama3.2,analysis,13,Yes,Yes,True,2704.729,2026-01-18T14:04:48.789459
llama3.2_local_baseline_analysis,llama3.2,analysis,14,Yes,Yes,True,1838.071,2026-01-18T14:04:50.627542
llama3.2_local_baseline_analysis,llama3.2,analysis,15,No,Yes,False,2034.9170000000001,2026-01-18T14:04:52.662499
llama3.2_local_baseline_analysis,llama3.2,analysis,16,No,Yes,False,2537.019,2026-01-18T14:04:55.199529
llama3.2_local_baseline_analysis,llama3.2,analysis,17,Yes,Yes,True,1515.687,2026-01-18T14:04:56.715235
llama3.2_local_baseline_analysis,llama3.2,analysis,18,No,Yes,False,2366.446,2026-01-18T14:04:59.081702
llama3.2_local_baseline_analysis,llama3.2,analysis,19,Yes,Yes,True,1506.17,2026-01-18T14:05:00.587883
llama3.2_local_baseline_analysis,llama3.2,analysis,20,No,No,True,3531.254,2026-01-18T14:05:04.119241
llama3.2_local_baseline_analysis,llama3.2,analysis,21,Yes,Yes,True,1894.8400000000001,2026-01-18T14:05:06.014161
llama3.2_local_baseline_analysis,llama3.2,analysis,22,No,Yes,False,1871.938,2026-01-18T14:05:07.886122
llama3.2_local_baseline_analysis,llama3.2,analysis,23,Yes,Yes,True,2504.6560000000004,2026-01-18T14:05:10.390794
llama3.2_local_baseline_analysis,llama3.2,analysis,24,No,Yes,False,1874.0030000000002,2026-01-18T14:05:12.264805
llama3.2_local_baseline_analysis,llama3.2,analysis,25,Yes,Yes,True,1854.509,2026-01-18T14:05:14.119333
llama3.2_local_baseline_analysis,llama3.2,analysis,26,Yes,Yes,True,2334.066,2026-01-18T14:05:16.453418
llama3.2_local_baseline_analysis,llama3.2,analysis,27,Yes,No,False,2759.8790000000004,2026-01-18T14:05:19.213313
llama3.2_local_baseline_analysis,llama3.2,analysis,28,Yes,Yes,True,2161.665,2026-01-18T14:05:21.375010
llama3.2_local_baseline_analysis,llama3.2,analysis,29,Yes,Yes,True,1833.095,2026-01-18T14:05:23.208121
llama3.2_local_baseline_analysis,llama3.2,analysis,30,Yes,Yes,True,1716.1979999999999,2026-01-18T14:05:24.924337
llama3.2_local_baseline_analysis,llama3.2,analysis,31,No,Yes,False,2224.4579999999996,2026-01-18T14:05:27.148807
llama3.2_local_baseline_analysis,llama3.2,analysis,32,No,No,True,1816.0179999999998,2026-01-18T14:05:28.964847
llama3.2_local_baseline_analysis,llama3.2,analysis,33,No,Yes,False,2717.562,2026-01-18T14:05:31.682427
llama3.2_local_baseline_analysis,llama3.2,analysis,34,Yes,Yes,True,1761.5890000000002,2026-01-18T14:05:33.444024
llama3.2_local_baseline_analysis,llama3.2,analysis,35,Yes,Yes,True,2181.092,2026-01-18T14:05:35.625126
llama3.2_local_baseline_analysis,llama3.2,analysis,36,Yes,No,False,1756.834,2026-01-18T14:05:37.381971
llama3.2_local_baseline_analysis,llama3.2,analysis,37,Yes,Yes,True,3676.597,2026-01-18T14:05:41.058585
llama3.2_local_baseline_analysis,llama3.2,analysis,38,No,No,True,2921.726,2026-01-18T14:05:43.980339
llama3.2_local_baseline_analysis,llama3.2,analysis,39,No,No,True,1900.264,2026-01-18T14:05:45.880614
llama3.2_local_baseline_analysis,llama3.2,analysis,40,Yes,Yes,True,2250.078,2026-01-18T14:05:48.130707
llama3.2_local_baseline_analysis,llama3.2,analysis,41,No,No,True,1596.6039999999998,2026-01-18T14:05:49.727326
llama3.2_local_baseline_analysis,llama3.2,analysis,42,No,Yes,False,2462.982,2026-01-18T14:05:52.190316
llama3.2_local_baseline_analysis,llama3.2,analysis,43,No,No,True,1710.628,2026-01-18T14:05:53.900952
llama3.2_local_baseline_analysis,llama3.2,analysis,44,Yes,Yes,True,1725.001,2026-01-18T14:05:55.625962
llama3.2_local_baseline_analysis,llama3.2,analysis,45,No,Yes,False,2450.709,2026-01-18T14:05:58.076679
llama3.2_local_baseline_analysis,llama3.2,analysis,46,Yes,Yes,True,1548.26,2026-01-18T14:05:59.624954
llama3.2_local_baseline_analysis,llama3.2,analysis,47,Yes,Yes,True,2695.864,2026-01-18T14:06:02.320833
llama3.2_local_baseline_analysis,llama3.2,analysis,48,Yes,Yes,True,1789.466,2026-01-18T14:06:04.110324
llama3.2_local_baseline_analysis,llama3.2,analysis,49,Yes,Yes,True,2165.339,2026-01-18T14:06:06.275680
