experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2_baseline_classification,gpt-5.2,classification,0,lost_or_stolen_card,card_arrival,False,971.554,517,19,0.00574,2026-01-18T13:46:43.215770
gpt-5.2_baseline_classification,gpt-5.2,classification,1,card_arrival,card_arrival,True,703.5780000000001,526,17,0.00577,2026-01-18T13:46:43.919386
gpt-5.2_baseline_classification,gpt-5.2,classification,2,card_arrival,card_arrival,True,615.1189999999999,523,17,0.00574,2026-01-18T13:46:44.534538
gpt-5.2_baseline_classification,gpt-5.2,classification,3,card_delivery_estimate,card_arrival,False,698.628,522,18,0.0057599999999999,2026-01-18T13:46:45.233198
gpt-5.2_baseline_classification,gpt-5.2,classification,4,card_arrival,card_arrival,True,728.995,517,17,0.00568,2026-01-18T13:46:45.962220
gpt-5.2_baseline_classification,gpt-5.2,classification,5,card_arrival,card_arrival,True,616.402,517,17,0.00568,2026-01-18T13:46:46.578637
gpt-5.2_baseline_classification,gpt-5.2,classification,6,card_delivery_estimate,card_arrival,False,718.795,527,18,0.00581,2026-01-18T13:46:47.297448
gpt-5.2_baseline_classification,gpt-5.2,classification,7,card_arrival,card_arrival,True,716.647,517,17,0.00568,2026-01-18T13:46:48.014125
gpt-5.2_baseline_classification,gpt-5.2,classification,8,card_arrival,card_arrival,True,612.585,516,17,0.00567,2026-01-18T13:46:48.626734
gpt-5.2_baseline_classification,gpt-5.2,classification,9,card_delivery_estimate,card_arrival,False,693.526,525,18,0.0057899999999999,2026-01-18T13:46:49.320285
gpt-5.2_baseline_classification,gpt-5.2,classification,10,card_delivery_estimate,card_arrival,False,635.405,517,18,0.00571,2026-01-18T13:46:49.955703
gpt-5.2_baseline_classification,gpt-5.2,classification,11,card_delivery_estimate,card_arrival,False,545.519,518,18,0.00572,2026-01-18T13:46:50.501237
gpt-5.2_baseline_classification,gpt-5.2,classification,12,card_arrival,card_arrival,True,645.738,527,17,0.00578,2026-01-18T13:46:51.147012
gpt-5.2_baseline_classification,gpt-5.2,classification,13,card_arrival,card_arrival,True,590.552,517,17,0.00568,2026-01-18T13:46:51.737602
gpt-5.2_baseline_classification,gpt-5.2,classification,14,card_delivery_estimate,card_arrival,False,624.814,527,18,0.00581,2026-01-18T13:46:52.362444
gpt-5.2_baseline_classification,gpt-5.2,classification,15,card_delivery_estimate,card_arrival,False,515.4100000000001,532,18,0.00586,2026-01-18T13:46:52.877877
gpt-5.2_baseline_classification,gpt-5.2,classification,16,card_delivery_estimate,card_arrival,False,868.644,520,18,0.0057399999999999,2026-01-18T13:46:53.746543
gpt-5.2_baseline_classification,gpt-5.2,classification,17,card_arrival,card_arrival,True,607.914,517,17,0.00568,2026-01-18T13:46:54.354478
gpt-5.2_baseline_classification,gpt-5.2,classification,18,card_arrival,card_arrival,True,671.596,523,17,0.00574,2026-01-18T13:46:55.026099
gpt-5.2_baseline_classification,gpt-5.2,classification,19,card_arrival,card_arrival,True,769.594,524,17,0.00575,2026-01-18T13:46:55.795726
gpt-5.2_baseline_classification,gpt-5.2,classification,20,card_arrival,card_arrival,True,767.553,522,17,0.00573,2026-01-18T13:46:56.563310
gpt-5.2_baseline_classification,gpt-5.2,classification,21,card_arrival,card_arrival,True,775.109,517,17,0.00568,2026-01-18T13:46:57.338448
gpt-5.2_baseline_classification,gpt-5.2,classification,22,card_delivery_estimate,card_arrival,False,619.937,520,18,0.0057399999999999,2026-01-18T13:46:57.958398
gpt-5.2_baseline_classification,gpt-5.2,classification,23,card_arrival,card_arrival,True,601.297,529,17,0.0058,2026-01-18T13:46:58.559723
gpt-5.2_baseline_classification,gpt-5.2,classification,24,card_arrival,card_arrival,True,821.9929999999999,521,17,0.0057199999999999,2026-01-18T13:46:59.381748
gpt-5.2_baseline_classification,gpt-5.2,classification,25,card_delivery_estimate,card_arrival,False,716.543,522,18,0.0057599999999999,2026-01-18T13:47:00.098318
gpt-5.2_baseline_classification,gpt-5.2,classification,26,card_arrival,card_arrival,True,612.487,526,17,0.00577,2026-01-18T13:47:00.710838
gpt-5.2_baseline_classification,gpt-5.2,classification,27,card_delivery_estimate,card_arrival,False,741.4110000000001,527,18,0.00581,2026-01-18T13:47:01.452278
gpt-5.2_baseline_classification,gpt-5.2,classification,28,card_arrival,card_arrival,True,682.823,529,17,0.0058,2026-01-18T13:47:02.135125
gpt-5.2_baseline_classification,gpt-5.2,classification,29,card_delivery_estimate,card_arrival,False,650.2869999999999,519,18,0.00573,2026-01-18T13:47:02.785422
gpt-5.2_baseline_classification,gpt-5.2,classification,30,card_arrival,card_arrival,True,586.21,516,17,0.00567,2026-01-18T13:47:03.371648
gpt-5.2_baseline_classification,gpt-5.2,classification,31,card_arrival,card_arrival,True,721.096,526,17,0.00577,2026-01-18T13:47:04.092773
gpt-5.2_baseline_classification,gpt-5.2,classification,32,card_arrival,card_arrival,True,611.5169999999999,520,17,0.00571,2026-01-18T13:47:04.704319
gpt-5.2_baseline_classification,gpt-5.2,classification,33,card_arrival,card_arrival,True,612.556,520,17,0.00571,2026-01-18T13:47:05.316900
gpt-5.2_baseline_classification,gpt-5.2,classification,34,card_delivery_estimate,card_arrival,False,640.731,523,18,0.00577,2026-01-18T13:47:05.957650
gpt-5.2_baseline_classification,gpt-5.2,classification,35,card_arrival,card_arrival,True,774.2489999999999,531,17,0.00582,2026-01-18T13:47:06.731923
