experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_classification,llama3.2,classification,0,getting_spare_card,card_arrival,False,7.9,2026-01-18T14:28:56.193706
llama3.2_local_baseline_classification,llama3.2,classification,1,order_physical_card,card_arrival,False,7.2,2026-01-18T14:28:56.200913
llama3.2_local_baseline_classification,llama3.2,classification,2,getting_spare_card,card_arrival,False,3.362,2026-01-18T14:28:56.204281
llama3.2_local_baseline_classification,llama3.2,classification,3,card_arrival,card_arrival,True,3.4160000000000004,2026-01-18T14:28:56.207701
llama3.2_local_baseline_classification,llama3.2,classification,4,getting_spare_card,card_arrival,False,3.1310000000000002,2026-01-18T14:28:56.210836
llama3.2_local_baseline_classification,llama3.2,classification,5,order_physical_card,card_arrival,False,3.057,2026-01-18T14:28:56.213899
llama3.2_local_baseline_classification,llama3.2,classification,6,order_physical_card,card_arrival,False,3.321,2026-01-18T14:28:56.217226
llama3.2_local_baseline_classification,llama3.2,classification,7,transfer_not_received_by_recipient,card_arrival,False,3.385,2026-01-18T14:28:56.220624
llama3.2_local_baseline_classification,llama3.2,classification,8,card_payment_not_recognised,card_arrival,False,1.611,2026-01-18T14:28:56.222240
llama3.2_local_baseline_classification,llama3.2,classification,9,transfer_timing,card_arrival,False,3.576,2026-01-18T14:28:56.225822
llama3.2_local_baseline_classification,llama3.2,classification,10,get_card_status,card_arrival,False,3.364,2026-01-18T14:28:56.229192
llama3.2_local_baseline_classification,llama3.2,classification,11,card_arrival,card_arrival,True,3.46,2026-01-18T14:28:56.232657
llama3.2_local_baseline_classification,llama3.2,classification,12,lost_or_stolen_card,card_arrival,False,3.915,2026-01-18T14:28:56.236576
llama3.2_local_baseline_classification,llama3.2,classification,13,order_physical_card,card_arrival,False,3.0500000000000003,2026-01-18T14:28:56.239631
llama3.2_local_baseline_classification,llama3.2,classification,14,declined_transfer,card_arrival,False,1.528,2026-01-18T14:28:56.241163
llama3.2_local_baseline_classification,llama3.2,classification,15,order_physical_card,card_arrival,False,3.3310000000000004,2026-01-18T14:28:56.244499
llama3.2_local_baseline_classification,llama3.2,classification,16,transfer_timing,card_arrival,False,3.199,2026-01-18T14:28:56.247702
llama3.2_local_baseline_classification,llama3.2,classification,17,getting_spare_card,card_arrival,False,2.8930000000000002,2026-01-18T14:28:56.250600
