experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2_baseline_code,gpt-5.2,code,0,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    if len(numbers) < 2:
        return False

    nums = sorted(numbers)
    for a, b in zip(nums, nums[1:]):
        if abs(b - a) < threshold:
            return True
    return False","    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False
",True,3903.796,290,249,0.010369999999999999,2026-02-07T12:28:05.954198
gpt-5.2_baseline_code,gpt-5.2,code,1,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
    res: List[str] = []
    depth = 0
    current: List[str] = []

    for ch in paren_string:
        if ch not in ""()"":
            continue

        if ch == ""("":
            if depth == 0:
                current = []
            depth += 1
            current.append(ch)
        else:  # ch == "")""
            if depth == 0:
                # Unbalanced close; ignore or raise. We'll raise to signal invalid input.
                raise ValueError(""Unbalanced parentheses: unexpected ')'"")
            depth -= 1
            current.append(ch)
            if depth == 0:
                res.append("""".join(current))
                current = []

    if depth != 0:
        raise ValueError(""Unbalanced parentheses: missing ')'"")

    return res","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
",True,6098.124000000001,280,368,0.013839999999999998,2026-02-07T12:28:12.052358
gpt-5.2_baseline_code,gpt-5.2,code,2,"```python
import math

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
    return number - math.floor(number)
```","    return number % 1.0
",False,2437.905,250,139,0.006670000000000001,2026-02-07T12:28:14.490300
gpt-5.2_baseline_code,gpt-5.2,code,3,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
    balance = 0
    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
",True,2834.6,283,209,0.0091,2026-02-07T12:28:17.324931
gpt-5.2_baseline_code,gpt-5.2,code,4,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
    if not numbers:
        raise ValueError(""numbers must be a non-empty list"")
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
",True,2701.295,283,208,0.00907,2026-02-07T12:28:20.026255
gpt-5.2_baseline_code,gpt-5.2,code,5,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    if not numbers:
        return []
    result: List[int] = [numbers[0]]
    for n in numbers[1:]:
        result.append(delimeter)
        result.append(n)
    return result","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
",True,3520.481,263,192,0.00839,2026-02-07T12:28:23.546763
gpt-5.2_baseline_code,gpt-5.2,code,6,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
    groups = paren_string.split()
    result: List[int] = []

    for g in groups:
        depth = 0
        max_depth = 0
        for ch in g:
            if ch == ""("":
                depth += 1
                if depth > max_depth:
                    max_depth = depth
            elif ch == "")"":
                depth -= 1
        result.append(max_depth)

    return result","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
",True,3906.489,275,263,0.01064,2026-02-07T12:28:27.453278
gpt-5.2_baseline_code,gpt-5.2,code,7,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return [s for s in strings if substring in s]","    return [x for x in strings if substring in x]
",True,2988.4010000000003,258,163,0.00747,2026-02-07T12:28:30.441728
gpt-5.2_baseline_code,gpt-5.2,code,8,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    total = 0
    prod = 1
    for n in numbers:
        total += n
        prod *= n
    return total, prod","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
",True,3583.993,275,193,0.00854,2026-02-07T12:28:34.025745
gpt-5.2_baseline_code,gpt-5.2,code,9,"from typing import List


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    result: List[int] = []
    current_max = None
    for x in numbers:
        if current_max is None or x > current_max:
            current_max = x
        result.append(current_max)
    return result","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
",True,2781.4260000000004,265,195,0.0085,2026-02-07T12:28:36.807209
gpt-5.2_baseline_code,gpt-5.2,code,10,"def is_palindrome(string: str) -> bool:
    """""" Test if given string is a palindrome """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""
    n = len(string)
    if n <= 1:
        return string

    # Find the earliest start index of a palindromic suffix (i.e., longest palindromic suffix)
    start = n  # fallback (shouldn't be needed because last char is palindrome)
    for i in range(n):
        if is_palindrome(string[i:]):
            start = i
            break

    # Append reverse of the non-palindromic prefix
    return string + string[:start][::-1]","    if not string:
        return ''

    beginning_of_suffix = 0

    while not is_palindrome(string[beginning_of_suffix:]):
        beginning_of_suffix += 1

    return string + string[:beginning_of_suffix][::-1]
",False,4966.92,306,343,0.01335,2026-02-07T12:28:41.774159
gpt-5.2_baseline_code,gpt-5.2,code,11,"from typing import List


def string_xor(a: str, b: str) -> str:
    """""" Input are two strings a and b consisting only of 1s and 0s.
    Perform binary XOR on these inputs and return result also as a string.
    >>> string_xor('010', '110')
    '100'
    """"""
    if len(a) != len(b):
        raise ValueError(""Inputs must have the same length"")
    return """".join(""1"" if ca != cb else ""0"" for ca, cb in zip(a, b))","    def xor(i, j):
        if i == j:
            return '0'
        else:
            return '1'

    return ''.join(xor(x, y) for x, y in zip(a, b))
",True,3538.101,243,187,0.008039999999999999,2026-02-07T12:28:45.312286
gpt-5.2_baseline_code,gpt-5.2,code,12,"from typing import List, Optional


def longest(strings: List[str]) -> Optional[str]:
    """""" Out of list of strings, return the longest one. Return the first one in case of multiple
    strings of the same length. Return None in case the input list is empty.
    >>> longest([])

    >>> longest(['a', 'b', 'c'])
    'a'
    >>> longest(['a', 'bb', 'ccc'])
    'ccc'
    """"""
    if not strings:
        return None
    best = strings[0]
    best_len = len(best)
    for s in strings[1:]:
        ls = len(s)
        if ls > best_len:
            best = s
            best_len = ls
    return best","    if not strings:
        return None

    maxlen = max(len(x) for x in strings)
    for s in strings:
        if len(s) == maxlen:
            return s
",True,3320.154,267,199,0.00864,2026-02-07T12:28:48.632469
gpt-5.2_baseline_code,gpt-5.2,code,13,"def greatest_common_divisor(a: int, b: int) -> int:
    """""" Return a greatest common divisor of two integers a and b
    >>> greatest_common_divisor(3, 5)
    1
    >>> greatest_common_divisor(25, 15)
    5
    """"""
    a, b = abs(a), abs(b)
    while b:
        a, b = b, a % b
    return a","    while b:
        a, b = b, a % b
    return a
",True,2988.9809999999998,236,168,0.0073999999999999995,2026-02-07T12:28:51.621485
gpt-5.2_baseline_code,gpt-5.2,code,14,"from typing import List


def all_prefixes(string: str) -> List[str]:
    """""" Return list of all prefixes from shortest to longest of the input string
    >>> all_prefixes('abc')
    ['a', 'ab', 'abc']
    """"""
    return [string[:i] for i in range(1, len(string) + 1)]","    result = []

    for i in range(len(string)):
        result.append(string[:i+1])
    return result
",True,2130.379,224,144,0.00656,2026-02-07T12:28:53.751901
gpt-5.2_baseline_code,gpt-5.2,code,15,"def string_sequence(n: int) -> str:
    """""" Return a string containing space-delimited numbers starting from 0 upto n inclusive.
    >>> string_sequence(0)
    '0'
    >>> string_sequence(5)
    '0 1 2 3 4 5'
    """"""
    return "" "".join(str(i) for i in range(n + 1))","    return ' '.join([str(x) for x in range(n + 1)])
",True,2261.047,234,135,0.00639,2026-02-07T12:28:56.012980
gpt-5.2_baseline_code,gpt-5.2,code,16,"def count_distinct_characters(string: str) -> int:
    """""" Given a string, find out how many distinct characters (regardless of case) does it consist of
    >>> count_distinct_characters('xyzXYZ')
    3
    >>> count_distinct_characters('Jerry')
    4
    """"""
    return len(set(string.lower()))","    return len(set(string.lower()))
",True,2244.924,239,121,0.00602,2026-02-07T12:28:58.257940
gpt-5.2_baseline_code,gpt-5.2,code,17,"from typing import List


def parse_music(music_string: str) -> List[int]:
    """""" Input to this function is a string representing musical notes in a special ASCII format.
    Your task is to parse this string and return list of integers corresponding to how many beats does each
    not last.

    Here is a legend:
    'o' - whole note, lasts four beats
    'o|' - half note, lasts two beats
    '.|' - quater note, lasts one beat

    >>> parse_music('o o| .| o| o| .| .| .| .| o o')
    [4, 2, 1, 2, 2, 1, 1, 1, 1, 4, 4]
    """"""
    mapping = {""o"": 4, ""o|"": 2, "".|"": 1}
    tokens = music_string.split()
    try:
        return [mapping[t] for t in tokens]
    except KeyError as e:
        raise ValueError(f""Unknown note token: {e.args[0]!r}"") from None","    note_map = {'o': 4, 'o|': 2, '.|': 1}
    return [note_map[x] for x in music_string.split(' ') if x]
",True,3960.307,335,309,0.01262,2026-02-07T12:29:02.218273
gpt-5.2_baseline_code,gpt-5.2,code,18,"def how_many_times(string: str, substring: str) -> int:
    """""" Find how many times a given substring can be found in the original string. Count overlaping cases.
    >>> how_many_times('', 'a')
    0
    >>> how_many_times('aaa', 'a')
    3
    >>> how_many_times('aaaa', 'aa')
    3
    """"""
    if not substring or not string:
        return 0
    n, m = len(string), len(substring)
    if m > n:
        return 0
    count = 0
    for i in range(n - m + 1):
        if string[i:i + m] == substring:
            count += 1
    return count","    times = 0

    for i in range(len(string) - len(substring) + 1):
        if string[i:i+len(substring)] == substring:
            times += 1

    return times
",True,3569.816,254,221,0.009170000000000001,2026-02-07T12:29:05.788125
gpt-5.2_baseline_code,gpt-5.2,code,19,"from typing import List


def sort_numbers(numbers: str) -> str:
    """""" Input is a space-delimited string of numberals from 'zero' to 'nine'.
    Valid choices are 'zero', 'one', 'two', 'three', 'four', 'five', 'six', 'seven', 'eight' and 'nine'.
    Return the string with numbers sorted from smallest to largest
    >>> sort_numbers('three one five')
    'one three five'
    """"""
    mapping = {
        ""zero"": 0,
        ""one"": 1,
        ""two"": 2,
        ""three"": 3,
        ""four"": 4,
        ""five"": 5,
        ""six"": 6,
        ""seven"": 7,
        ""eight"": 8,
        ""nine"": 9,
    }
    tokens = numbers.split()
    if not tokens:
        return """"
    tokens.sort(key=mapping.__getitem__)
    return "" "".join(tokens)","    value_map = {
        'zero': 0,
        'one': 1,
        'two': 2,
        'three': 3,
        'four': 4,
        'five': 5,
        'six': 6,
        'seven': 7,
        'eight': 8,
        'nine': 9
    }
    return ' '.join(sorted([x for x in numbers.split(' ') if x], key=lambda x: value_map[x]))
",True,3900.727,270,267,0.01071,2026-02-07T12:29:09.688898
