experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
phi4_local_baseline_analysis,phi4,analysis,0,Yes,No,False,34987.705,2026-02-06T19:19:50.814906
phi4_local_baseline_analysis,phi4,analysis,1,Yes,Yes,True,9445.888,2026-02-06T19:20:00.260832
phi4_local_baseline_analysis,phi4,analysis,2,Yes,Yes,True,9044.385999999999,2026-02-06T19:20:09.305267
phi4_local_baseline_analysis,phi4,analysis,3,Yes,Yes,True,6047.411,2026-02-06T19:20:15.352743
phi4_local_baseline_analysis,phi4,analysis,4,Yes,Yes,True,8867.348,2026-02-06T19:20:24.220152
phi4_local_baseline_analysis,phi4,analysis,5,No,No,True,6731.876,2026-02-06T19:20:30.952081
phi4_local_baseline_analysis,phi4,analysis,6,Yes,Yes,True,13978.676,2026-02-06T19:20:44.930815
phi4_local_baseline_analysis,phi4,analysis,7,Yes,Yes,True,9301.088,2026-02-06T19:20:54.231972
phi4_local_baseline_analysis,phi4,analysis,8,Yes,Yes,True,8679.752,2026-02-06T19:21:02.911769
phi4_local_baseline_analysis,phi4,analysis,9,Yes,Yes,True,6807.4310000000005,2026-02-06T19:21:09.719239
phi4_local_baseline_analysis,phi4,analysis,10,Yes,Yes,True,10060.018,2026-02-06T19:21:19.779292
phi4_local_baseline_analysis,phi4,analysis,11,No,No,True,8763.351999999999,2026-02-06T19:21:28.542682
phi4_local_baseline_analysis,phi4,analysis,12,No,Yes,False,11538.151,2026-02-06T19:21:40.080899
phi4_local_baseline_analysis,phi4,analysis,13,No,Yes,False,12322.599,2026-02-06T19:21:52.403540
phi4_local_baseline_analysis,phi4,analysis,14,Yes,Yes,True,7585.298,2026-02-06T19:21:59.988883
phi4_local_baseline_analysis,phi4,analysis,15,No,Yes,False,9494.011999999999,2026-02-06T19:22:09.482938
phi4_local_baseline_analysis,phi4,analysis,16,No,Yes,False,10632.714,2026-02-06T19:22:20.115709
phi4_local_baseline_analysis,phi4,analysis,17,Yes,Yes,True,6210.986,2026-02-06T19:22:26.326746
phi4_local_baseline_analysis,phi4,analysis,18,No,Yes,False,10811.409,2026-02-06T19:22:37.138202
phi4_local_baseline_analysis,phi4,analysis,19,Yes,Yes,True,8469.242,2026-02-06T19:22:45.607489
phi4_local_baseline_analysis,phi4,analysis,20,No,No,True,11771.023,2026-02-06T19:22:57.378552
phi4_local_baseline_analysis,phi4,analysis,21,Yes,Yes,True,11630.269,2026-02-06T19:23:09.008858
phi4_local_baseline_analysis,phi4,analysis,22,No,Yes,False,9675.07,2026-02-06T19:23:18.683969
phi4_local_baseline_analysis,phi4,analysis,23,Yes,Yes,True,9543.241,2026-02-06T19:23:28.227255
phi4_local_baseline_analysis,phi4,analysis,24,No,Yes,False,9900.024,2026-02-06T19:23:38.127324
phi4_local_baseline_analysis,phi4,analysis,25,Yes,Yes,True,8035.650000000001,2026-02-06T19:23:46.163014
phi4_local_baseline_analysis,phi4,analysis,26,Yes,Yes,True,7263.442,2026-02-06T19:23:53.426502
phi4_local_baseline_analysis,phi4,analysis,27,No,No,True,14052.47,2026-02-06T19:24:07.479059
phi4_local_baseline_analysis,phi4,analysis,28,The passage does not provide enough information to determine if The Enchanted Forest in Oregon is still open.,Yes,False,9378.945,2026-02-06T19:24:16.858046
phi4_local_baseline_analysis,phi4,analysis,29,Yes,Yes,True,9108.841,2026-02-06T19:24:25.966934
phi4_local_baseline_analysis,phi4,analysis,30,Yes,Yes,True,7495.866,2026-02-06T19:24:33.462847
phi4_local_baseline_analysis,phi4,analysis,31,The passage does not specify if they are currently made.,Yes,False,10381.198,2026-02-06T19:24:43.844079
phi4_local_baseline_analysis,phi4,analysis,32,No,No,True,8170.11,2026-02-06T19:24:52.014229
phi4_local_baseline_analysis,phi4,analysis,33,No,Yes,False,10114.481,2026-02-06T19:25:02.128768
phi4_local_baseline_analysis,phi4,analysis,34,Yes,Yes,True,7419.071,2026-02-06T19:25:09.548049
phi4_local_baseline_analysis,phi4,analysis,35,Yes,Yes,True,7450.563,2026-02-06T19:25:16.998737
phi4_local_baseline_analysis,phi4,analysis,36,No,No,True,6983.268,2026-02-06T19:25:23.982064
phi4_local_baseline_analysis,phi4,analysis,37,Yes,Yes,True,12860.292,2026-02-06T19:25:36.842395
phi4_local_baseline_analysis,phi4,analysis,38,No,No,True,12589.729,2026-02-06T19:25:49.432168
phi4_local_baseline_analysis,phi4,analysis,39,No,No,True,7612.208,2026-02-06T19:25:57.044435
phi4_local_baseline_analysis,phi4,analysis,40,Yes,Yes,True,7494.157999999999,2026-02-06T19:26:04.538677
phi4_local_baseline_analysis,phi4,analysis,41,No,No,True,8316.453,2026-02-06T19:26:12.855176
phi4_local_baseline_analysis,phi4,analysis,42,Yes,Yes,True,9982.440999999999,2026-02-06T19:26:22.838042
phi4_local_baseline_analysis,phi4,analysis,43,No,No,True,8498.324,2026-02-06T19:26:31.336401
phi4_local_baseline_analysis,phi4,analysis,44,Yes,Yes,True,8968.577,2026-02-06T19:26:40.305037
phi4_local_baseline_analysis,phi4,analysis,45,Yes,Yes,True,6874.386,2026-02-06T19:26:47.179823
phi4_local_baseline_analysis,phi4,analysis,46,Yes,Yes,True,8079.798999999999,2026-02-06T19:26:55.259663
phi4_local_baseline_analysis,phi4,analysis,47,Yes,Yes,True,8369.375,2026-02-06T19:27:03.629085
phi4_local_baseline_analysis,phi4,analysis,48,Yes,Yes,True,7946.277,2026-02-06T19:27:11.575405
phi4_local_baseline_analysis,phi4,analysis,49,No,Yes,False,10206.982,2026-02-06T19:27:21.782434
