experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp,error
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,0,18,18,True,22385.666,2026-02-08T16:56:07.955904,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,1,3,3,True,19411.376,2026-02-08T16:56:27.367308,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,2,The profit Josh made is \boxed{65000}.,70000,False,15778.831,2026-02-08T16:56:43.146186,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,3,540,540,True,45007.937,2026-02-08T16:57:28.154171,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,4,,,,,2026-02-08T16:58:19.204980,"Adapter JSONAdapter failed to parse the LM response. 

LM Response: {

""reasoning"": ""To determine how many cups Wendi needs to feed in the final meal, first calculate the total daily feed required for all chickens: 20 chickens * 3 cups = 60 cups. She has already fed 15 + 25 = 40 cups in the morning and afternoon meals. Subtracting this from the total gives 60 - 40 = 20 cups needed for the final meal.""








} 

Expected to find output fields in the LM response: [reasoning, answer] 

Actual output fields parsed from the LM response: [reasoning] 

"
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,5,\boxed{64},64,False,12221.696,2026-02-08T16:58:31.426711,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,6,The total number of sheep is \boxed{260}.,260,False,9760.853,2026-02-08T16:58:41.187610,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,7,The total time to download the file is \(\boxed{120}\) minutes.,160,False,27660.427,2026-02-08T16:59:08.848132,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,8,The final distance John is from home at the end of those 4 hours is **75 miles**.,45,False,31712.274,2026-02-08T16:59:40.560460,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,9,The total earnings for this week are \boxed{460}.,460,False,21509.904,2026-02-08T17:00:02.070382,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,10,The total number of downloads over the three months is \boxed{366}.,366,False,14808.263,2026-02-08T17:00:16.878684,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,11,The total cost is \boxed{694}.,694,False,13597.257000000001,2026-02-08T17:00:30.475968,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,12,12,13,False,37378.17600000001,2026-02-08T17:01:07.854187,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,13,The total number of vacuum cleaners Melanie started with is **18**.,18,False,23962.147999999997,2026-02-08T17:01:31.816371,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,14,The percentage of the entire students enrolled in hip-hop dance is \boxed{60\%}.,60,False,18379.673,2026-02-08T17:01:50.196060,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,15,"The merchant should choose the jewelry purchase plan to maximize profit, which would result in a profit of $\boxed{125}$ dollars at the end of the month.",125,False,25450.624,2026-02-08T17:02:15.646703,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,16,230,230,True,32334.147999999997,2026-02-08T17:02:47.980886,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,17,36500,57500,False,30162.499,2026-02-08T17:03:18.143419,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,18,7,7,True,27229.876999999997,2026-02-08T17:03:45.373330,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,19,The speed Marissa needs to walk the remaining distance is \boxed{6} miles per hour.,6,False,18034.398,2026-02-08T17:04:03.407767,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,20,The amount of water in the remaining 24 liters is \boxed{15} liters.,15,False,22897.202,2026-02-08T17:04:26.304998,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,21,The son was born \boxed{17} years ago.,14,False,9747.594,2026-02-08T17:04:36.052625,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,22,7,7,True,24239.578999999998,2026-02-08T17:05:00.292247,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,23,The candle will be \boxed{8} centimeters shorter after burning from 1:00 PM to 5:00 PM.,8,False,10448.838,2026-02-08T17:05:10.741116,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,24,,,,,2026-02-08T17:05:36.789659,"Adapter JSONAdapter failed to parse the LM response. 

LM Response: {

""reasoning"": ""Let's denote the original price as x. Kyle bought the book for $19.50 after a 25% discount, which means he paid 75% of the original price. Therefore, we can set up the equation: 0.75x = 19.50. Solving for x gives us x = 19.50 / 0.75 = $26.""




} 

Expected to find output fields in the LM response: [reasoning, answer] 

Actual output fields parsed from the LM response: [reasoning] 

"
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,25,2,2,True,33291.482,2026-02-08T17:06:10.081183,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,26,The total amount Mishka spent is \boxed{243} dollars.,243,False,15628.78,2026-02-08T17:06:25.709985,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,27,$16.00,16,False,27202.671,2026-02-08T17:06:52.912694,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,28,The number of miles Henry traveled between his first and second stops is \(\boxed{25}\) miles.,25,False,10664.439,2026-02-08T17:07:03.577153,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,29,104,104,True,31294.712,2026-02-08T17:07:34.871892,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,30,109,109,True,26654.946,2026-02-08T17:08:01.526854,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,31,The final numerical answer is \boxed{80}.,80,False,25924.205,2026-02-08T17:08:27.451077,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,32,35,35,True,20082.089,2026-02-08T17:08:47.533205,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,33,\boxed{70},70,False,15013.284,2026-02-08T17:09:02.546505,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,34,23,23,True,19075.966,2026-02-08T17:09:21.622496,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,35,9,9,True,26883.783,2026-02-08T17:09:48.506320,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,36,$75,75,False,24563.618000000002,2026-02-08T17:10:13.069979,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,37,\boxed{13},2,False,16706.639,2026-02-08T17:10:29.776653,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,38,10,10,True,38064.745,2026-02-08T17:11:07.841426,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,39,,,,,2026-02-08T17:11:50.032625,"Adapter JSONAdapter failed to parse the LM response. 

LM Response: {

""reasoning"": ""First, determine Dana's running speed by using the given skipping speed. Since she skips at half her running speed (3 mph), her running speed is double that: 6 mph. Her walking speed is a quarter of her running speed, which is 1.5 mph. She spends one-third of six hours running (2 hours) and two-thirds walking (4 hours). Calculate the distance for each activity: running = 6 mph * 2 hours = 12 miles; walking = 1.5 mph * 4 hours = 6 miles. Total distance is 12 + 6 = 18 miles.""



} 

Expected to find output fields in the LM response: [reasoning, answer] 

Actual output fields parsed from the LM response: [reasoning] 

"
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,40,The age of Brandon’s iPhone is \boxed{8}.,8,False,10598.607,2026-02-08T17:12:00.631248,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,41,The final numerical answer is: 200 feet,200,False,31115.041,2026-02-08T17:12:31.746336,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,42,26,26,True,27380.443,2026-02-08T17:12:59.126821,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,43,60g,48,False,37392.756,2026-02-08T17:13:36.519594,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,44,$\boxed{20}$,20,False,13458.678000000002,2026-02-08T17:13:49.978291,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,45,The total number of hours Meredith spent writing articles in the three days is **104** hours.,104,False,13831.559000000001,2026-02-08T17:14:03.809868,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,46,,,,,2026-02-08T17:14:45.524916,"Adapter JSONAdapter failed to parse the LM response. 

LM Response: {

""reasoning"": ""Candice started with 80 post-it notes. She bought an unknown number (x) and used 220 at work. She had 23 left. The equation is: 80 + x - 220 = 23. Solving for x gives x = 163.""




} 

Expected to find output fields in the LM response: [reasoning, answer] 

Actual output fields parsed from the LM response: [reasoning] 

"
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,47,The total amount John spent on ties is \boxed{800}.,800,False,15759.259,2026-02-08T17:15:01.284194,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,48,8,8,True,21647.676,2026-02-08T17:15:22.931912,
deepseek-r1:7b_local_baseline_math,deepseek-r1:7b,math,49,30,30,True,24937.683,2026-02-08T17:15:47.869617,
