experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_code,llama3.2,code,0,"def has_close_elements(numbers: List[float], threshold: float) -> bool:
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False","    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False
",True,3.9560000000000004,2026-01-21T00:49:18.405889
llama3.2_local_baseline_code,llama3.2,code,1,"from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    """"""
    Input to this function is a string containing multiple groups of nested parentheses.
    Your goal is to separate those groups into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.

    :param paren_string: The input string containing multiple groups of nested parentheses.
    :return: A list of strings, where each string represents a separate group of parentheses.
    """"""
    result = []
    stack = []
    
    for char in paren_string:
        if char == '(':
            stack.append(char)
        elif char == ')':
            if stack:
                stack.pop()
            else:
                result.append(char)
    
    # Add any remaining opening parentheses to the result
    while stack:
        result.append(')')
        stack.pop()

    return [''.join(group) for group in result]","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
",False,2.1380000000000003,2026-01-21T00:49:18.408033
llama3.2_local_baseline_code,llama3.2,code,2,"def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
    return number - int(number)","    return number % 1.0
",True,1.893,2026-01-21T00:49:18.409932
llama3.2_local_baseline_code,llama3.2,code,3,"from typing import List

def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
    balance = 0
    for operation in operations:
        if balance < 0:
            return True
        balance += operation
    return False","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
",False,3.665,2026-01-21T00:49:18.413604
llama3.2_local_baseline_code,llama3.2,code,4,"from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
    
    # Calculate the mean of the input list
    mean = sum(numbers) / len(numbers)
    
    # Initialize a variable to store the total absolute deviation
    total_deviation = 0
    
    # Iterate over each number in the list
    for num in numbers:
        # Calculate the absolute difference between the current number and the mean
        deviation = abs(num - mean)
        
        # Add this deviation to the total deviation
        total_deviation += deviation
    
    # Calculate the average deviation by dividing the total deviation by the count of numbers
    mad = total_deviation / len(numbers)
    
    # Return the calculated Mean Absolute Deviation
    return mad","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
",True,5.497,2026-01-21T00:49:18.419107
llama3.2_local_baseline_code,llama3.2,code,5,"from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    result = []
    for i in range(len(numbers)):
        if i < len(numbers) - 1:
            result.append(numbers[i])
            result.append(delimeter)
        else:
            result.append(numbers[i])
    return result","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
",True,1.7429999999999999,2026-01-21T00:49:18.420855
llama3.2_local_baseline_code,llama3.2,code,6,"from typing import List
def parse_nested_parens(paren_string: str) -> List[int]:
    groups = paren_string.split()
    result = []
    
    for group in groups:
        stack = []
        max_level = 0
        
        for char in group:
            if char == '(':
                stack.append(char)
                max_level = max(max_level, len(stack))
            elif char == ')':
                stack.pop()
        
        result.append(max_level)
    
    return result","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
",True,0.971,2026-01-21T00:49:18.421831
llama3.2_local_baseline_code,llama3.2,code,7,"def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [s for s in strings if substring in s]","    return [x for x in strings if substring in x]
",True,2.3609999999999998,2026-01-21T00:49:18.424203
llama3.2_local_baseline_code,llama3.2,code,8,"from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    
    # Initialize the sum and product variables
    total_sum = 0
    total_product = 1
    
    # Calculate the sum of all integers in the list
    for num in numbers:
        total_sum += num
    
    # Calculate the product of all integers in the list using a loop
    for num in numbers:
        total_product *= num
    
    # Return the tuple consisting of the sum and product
    return total_sum, total_product","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
",True,1.5579999999999998,2026-01-21T00:49:18.425766
llama3.2_local_baseline_code,llama3.2,code,9,"from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    max_values = [numbers[0]]
    for num in numbers[1:]:
        if num >= max_values[-1]:
            max_values.append(num)
        else:
            idx = max_values.index(max([x for x in max_values if x < num]))
            max_values[idx] = num
    return max_values","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
",False,1.727,2026-01-21T00:49:18.427498
llama3.2_local_baseline_code,llama3.2,code,10,"def is_palindrome(string: str) -> bool:
    """""" Test if given string is a palindrome """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""
    if len(string) == 0:
        return """"
    for i in range(len(string)):
        prefix = string[:i]
        suffix = string[i:]
        if suffix == suffix[::-1]:
            return prefix + suffix + prefix[::-1]
    return string","    if not string:
        return ''

    beginning_of_suffix = 0

    while not is_palindrome(string[beginning_of_suffix:]):
        beginning_of_suffix += 1

    return string + string[:beginning_of_suffix][::-1]
",True,1.693,2026-01-21T00:49:18.429195
llama3.2_local_baseline_code,llama3.2,code,11,"from typing import List

def string_xor(a: str, b: str) -> str:
    """""" Input are two strings a and b consisting only of 1s and 0s.
    Perform binary XOR on these inputs and return result also as a string.
    >>> string_xor('010', '110')
    '100'
    """"""
    if len(a) != len(b):
        raise ValueError(""Both strings must be the same length"")

    result = ''
    for char_a, char_b in zip(a, b):
        # Convert characters to integers (base 2), perform XOR, and convert back to string
        xor_result = str(int(char_a, 2) ^ int(char_b, 2))
        result += xor_result

    return result","    def xor(i, j):
        if i == j:
            return '0'
        else:
            return '1'

    return ''.join(xor(x, y) for x, y in zip(a, b))
",True,1.6340000000000001,2026-01-21T00:49:18.430833
llama3.2_local_baseline_code,llama3.2,code,12,"from typing import List, Optional

def longest(strings: List[str]) -> Optional[str]:
    """""" Out of list of strings, return the longest one. Return the first one in case of multiple
    strings of the same length. Return None in case the input list is empty.
    
    >>> longest([])

    >>> longest(['a', 'b', 'c'])
    'a'
    >>> longest(['a', 'bb', 'ccc'])
    'ccc'
    """"""
    if not strings:
        return None
    return strings[0]","    if not strings:
        return None

    maxlen = max(len(x) for x in strings)
    for s in strings:
        if len(s) == maxlen:
            return s
",False,1.5939999999999999,2026-01-21T00:49:18.432431
llama3.2_local_baseline_code,llama3.2,code,13,"```python
def greatest_common_divisor(a: int, b: int) -> int:
    """"""
    Return a greatest common divisor of two integers a and b
    
    >>> greatest_common_divisor(3, 5)
    1
    >>> greatest_common_divisor(25, 15)
    5
    """"""
    while b != 0:
        a, b = b, a % b
    return abs(a)
```","    while b:
        a, b = b, a % b
    return a
",True,1.485,2026-01-21T00:49:18.433920
llama3.2_local_baseline_code,llama3.2,code,14,"from typing import List

def all_prefixes(string: str) -> List[str]:
    """""" Return list of all prefixes from shortest to longest of the input string
    >>> all_prefixes('abc')
    ['a', 'ab', 'abc']
    """"""
    return [string[:i+1] for i in range(len(string))]","    result = []

    for i in range(len(string)):
        result.append(string[:i+1])
    return result
",True,1.7440000000000002,2026-01-21T00:49:18.435669
llama3.2_local_baseline_code,llama3.2,code,15,"```python
def string_sequence(n: int) -> str:
    """""" Return a string containing space-delimited numbers starting from 0 upto n inclusive.
    
    Args:
        n (int): The upper limit of the sequence.
    
    Returns:
        str: A string containing space-delimited numbers from 0 to n.
    """"""
    return ' '.join(str(i) for i in range(n + 1))
```","    return ' '.join([str(x) for x in range(n + 1)])
",True,1.506,2026-01-21T00:49:18.437179
llama3.2_local_baseline_code,llama3.2,code,16,"```python
def count_distinct_characters(string: str) -> int:
    """""" Given a string, find out how many distinct characters (regardless of case) does it consist of
    
    >>> count_distinct_characters('xyzXYZ')
    3
    >>> count_distinct_characters('Jerry')
    4
    """"""
    
    # Convert the input string to lower case and store it in a set
    distinct_chars = set(string.lower())
    
    # Return the number of unique characters, which is the size of the set
    return len(distinct_chars)
```","    return len(set(string.lower()))
",True,1.438,2026-01-21T00:49:18.438621
