experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,0,lost_or_stolen_card,card_arrival,False,3821.0060000000003,2026-02-06T21:08:54.863071
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,1,card_arrival,card_arrival,True,1940.857,2026-02-06T21:08:56.803948
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,2,card_delivery_estimate,card_arrival,False,2457.986,2026-02-06T21:08:59.261951
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,3,card_delivery_estimate,card_arrival,False,1978.7079999999999,2026-02-06T21:09:01.240682
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,4,card_arrival,card_arrival,True,1895.923,2026-02-06T21:09:03.136637
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,5,card_arrival,card_arrival,True,1986.903,2026-02-06T21:09:05.123571
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,6,card_arrival,card_arrival,True,2493.203,2026-02-06T21:09:07.616796
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,7,card_delivery_estimate,card_arrival,False,2198.3259999999996,2026-02-06T21:09:09.815151
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,8,getting_physical_card,card_arrival,False,1973.88,2026-02-06T21:09:11.789068
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,9,card_delivery_estimate,card_arrival,False,2124.655,2026-02-06T21:09:13.913745
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,10,card_payment_fee_charged,card_arrival,False,1873.15,2026-02-06T21:09:15.786933
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,11,card_delivery_estimate,card_arrival,False,2007.596,2026-02-06T21:09:17.794563
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,12,card_delivery_estimate,card_arrival,False,2126.748,2026-02-06T21:09:19.921340
