experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2_baseline_analysis,gpt-5.2,analysis,0,No,No,True,1847.112,476,69,0.00683,2026-02-07T12:25:38.685230
gpt-5.2_baseline_analysis,gpt-5.2,analysis,1,Yes,Yes,True,1139.341,463,39,0.0058,2026-02-07T12:25:39.824604
gpt-5.2_baseline_analysis,gpt-5.2,analysis,2,Yes,Yes,True,1386.702,273,68,0.00477,2026-02-07T12:25:41.211333
gpt-5.2_baseline_analysis,gpt-5.2,analysis,3,Yes,Yes,True,1028.743,324,35,0.00429,2026-02-07T12:25:42.240101
gpt-5.2_baseline_analysis,gpt-5.2,analysis,4,Yes,Yes,True,1063.482,310,61,0.00493,2026-02-07T12:25:43.303607
gpt-5.2_baseline_analysis,gpt-5.2,analysis,5,No,No,True,1399.72,295,47,0.00436,2026-02-07T12:25:44.703358
gpt-5.2_baseline_analysis,gpt-5.2,analysis,6,No,Yes,False,1346.245,341,57,0.0051199999999999996,2026-02-07T12:25:46.049635
gpt-5.2_baseline_analysis,gpt-5.2,analysis,7,Yes,Yes,True,1068.405,341,54,0.00503,2026-02-07T12:25:47.118079
gpt-5.2_baseline_analysis,gpt-5.2,analysis,8,No,Yes,False,1114.1399999999999,224,52,0.0037999999999999996,2026-02-07T12:25:48.232241
gpt-5.2_baseline_analysis,gpt-5.2,analysis,9,Yes,Yes,True,1197.5659999999998,316,43,0.00445,2026-02-07T12:25:49.429834
gpt-5.2_baseline_analysis,gpt-5.2,analysis,10,Yes,Yes,True,1372.067,383,61,0.00566,2026-02-07T12:25:50.801924
gpt-5.2_baseline_analysis,gpt-5.2,analysis,11,No,No,True,1426.1589999999999,318,58,0.00492,2026-02-07T12:25:52.228108
gpt-5.2_baseline_analysis,gpt-5.2,analysis,12,No,Yes,False,1211.212,322,54,0.0048400000000000006,2026-02-07T12:25:53.439346
gpt-5.2_baseline_analysis,gpt-5.2,analysis,13,Yes,Yes,True,1404.7160000000001,329,51,0.00482,2026-02-07T12:25:54.844084
gpt-5.2_baseline_analysis,gpt-5.2,analysis,14,Yes,Yes,True,1023.7199999999999,368,39,0.00485,2026-02-07T12:25:55.867823
gpt-5.2_baseline_analysis,gpt-5.2,analysis,15,Yes,Yes,True,1089.1200000000001,289,54,0.00451,2026-02-07T12:25:56.956968
gpt-5.2_baseline_analysis,gpt-5.2,analysis,16,Yes,Yes,True,1624.963,358,73,0.00577,2026-02-07T12:25:58.581957
gpt-5.2_baseline_analysis,gpt-5.2,analysis,17,Yes,Yes,True,1200.496,268,48,0.00412,2026-02-07T12:25:59.782474
gpt-5.2_baseline_analysis,gpt-5.2,analysis,18,Yes,Yes,True,1071.213,373,46,0.00511,2026-02-07T12:26:00.853710
gpt-5.2_baseline_analysis,gpt-5.2,analysis,19,Yes,Yes,True,1167.0629999999999,273,52,0.00429,2026-02-07T12:26:02.020800
gpt-5.2_baseline_analysis,gpt-5.2,analysis,20,No,No,True,1443.7199999999998,384,72,0.006,2026-02-07T12:26:03.464542
gpt-5.2_baseline_analysis,gpt-5.2,analysis,21,Yes,Yes,True,1159.982,404,59,0.00581,2026-02-07T12:26:04.624546
gpt-5.2_baseline_analysis,gpt-5.2,analysis,22,Yes,Yes,True,1040.6789999999999,268,43,0.0039700000000000004,2026-02-07T12:26:05.665255
gpt-5.2_baseline_analysis,gpt-5.2,analysis,23,Yes,Yes,True,1310.2549999999999,291,47,0.00432,2026-02-07T12:26:06.975537
gpt-5.2_baseline_analysis,gpt-5.2,analysis,24,No,Yes,False,1697.732,363,70,0.00573,2026-02-07T12:26:08.673294
gpt-5.2_baseline_analysis,gpt-5.2,analysis,25,Yes,Yes,True,1656.8590000000002,309,72,0.0052499999999999995,2026-02-07T12:26:10.330178
gpt-5.2_baseline_analysis,gpt-5.2,analysis,26,Yes,Yes,True,1523.095,337,60,0.00517,2026-02-07T12:26:11.853292
gpt-5.2_baseline_analysis,gpt-5.2,analysis,27,No,No,True,2138.77,423,63,0.00612,2026-02-07T12:26:13.992090
gpt-5.2_baseline_analysis,gpt-5.2,analysis,28,Yes,Yes,True,1215.955,279,41,0.00402,2026-02-07T12:26:15.208072
gpt-5.2_baseline_analysis,gpt-5.2,analysis,29,Yes,Yes,True,990.3389999999999,328,46,0.00466,2026-02-07T12:26:16.198430
gpt-5.2_baseline_analysis,gpt-5.2,analysis,30,Yes,Yes,True,991.675,339,37,0.0045,2026-02-07T12:26:17.190129
gpt-5.2_baseline_analysis,gpt-5.2,analysis,31,Yes,Yes,True,1420.1200000000001,270,50,0.004200000000000001,2026-02-07T12:26:18.610267
gpt-5.2_baseline_analysis,gpt-5.2,analysis,32,No,No,True,1141.739,294,37,0.00405,2026-02-07T12:26:19.752032
gpt-5.2_baseline_analysis,gpt-5.2,analysis,33,Yes,Yes,True,1523.855,303,50,0.004529999999999999,2026-02-07T12:26:21.275911
gpt-5.2_baseline_analysis,gpt-5.2,analysis,34,Yes,Yes,True,994.4269999999999,316,41,0.00439,2026-02-07T12:26:22.270359
gpt-5.2_baseline_analysis,gpt-5.2,analysis,35,Yes,Yes,True,1238.131,352,58,0.00526,2026-02-07T12:26:23.508514
