experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
phi4_local_baseline_math,phi4,math,0,$18,18,False,23058.769,2026-01-18T16:20:01.427212
phi4_local_baseline_math,phi4,math,1,3,3,True,13592.37,2026-01-18T16:20:15.019914
phi4_local_baseline_math,phi4,math,2,"$70,000",70000,False,22160.165,2026-01-18T16:20:37.224421
phi4_local_baseline_math,phi4,math,3,540 meters,540,False,15895.429,2026-01-18T16:20:53.120960
phi4_local_baseline_math,phi4,math,4,20,20,True,30196.502,2026-01-18T16:21:23.317877
phi4_local_baseline_math,phi4,math,5,$64,64,False,21350.425000000003,2026-01-18T16:21:44.668351
phi4_local_baseline_math,phi4,math,6,260,260,True,15778.446,2026-01-18T16:22:00.446992
phi4_local_baseline_math,phi4,math,7,160 minutes,160,False,22002.801000000003,2026-01-18T16:22:22.450091
phi4_local_baseline_math,phi4,math,8,45 miles,45,False,35664.673,2026-01-18T16:22:58.114975
phi4_local_baseline_math,phi4,math,9,$460,460,False,17283.287,2026-01-18T16:23:15.398452
phi4_local_baseline_math,phi4,math,10,366,366,True,19524.413,2026-01-18T16:23:34.923203
phi4_local_baseline_math,phi4,math,11,$694,694,False,18372.831,2026-01-18T16:23:53.296076
phi4_local_baseline_math,phi4,math,12,12,13,False,25449.439,2026-01-18T16:24:18.746238
phi4_local_baseline_math,phi4,math,13,18,18,True,35110.54,2026-01-18T16:24:53.857096
phi4_local_baseline_math,phi4,math,14,60%,60,False,20979.662,2026-01-18T16:25:14.836820
phi4_local_baseline_math,phi4,math,15,$125,125,False,29074.91,2026-01-18T16:25:43.911914
phi4_local_baseline_math,phi4,math,16,230 miles,230,False,12191.469,2026-01-18T16:25:56.103534
phi4_local_baseline_math,phi4,math,17,"$57,500",57500,False,24603.814,2026-01-18T16:26:20.707400
phi4_local_baseline_math,phi4,math,18,7,7,True,17362.834,2026-01-18T16:26:38.070531
phi4_local_baseline_math,phi4,math,19,6 miles per hour,6,False,40495.347,2026-01-18T16:27:18.565995
phi4_local_baseline_math,phi4,math,20,15,15,True,23887.751,2026-01-18T16:27:42.454024
phi4_local_baseline_math,phi4,math,21,14,14,True,12360.645,2026-01-18T16:27:54.814934
phi4_local_baseline_math,phi4,math,22,7,7,True,14987.457,2026-01-18T16:28:09.802605
phi4_local_baseline_math,phi4,math,23,8 centimeters,8,False,18799.424,2026-01-18T16:28:28.602238
phi4_local_baseline_math,phi4,math,24,$26,26,False,15354.235,2026-01-18T16:28:43.956678
phi4_local_baseline_math,phi4,math,25,Marie ordered 2 boxes of pizza.,2,False,26424.158,2026-01-18T16:29:10.381151
phi4_local_baseline_math,phi4,math,26,$243,243,False,18980.23,2026-01-18T16:29:29.361885
phi4_local_baseline_math,phi4,math,27,$16.00,16,False,19079.728,2026-01-18T16:29:48.441663
phi4_local_baseline_math,phi4,math,28,25,25,True,18953.747,2026-01-18T16:30:07.395700
phi4_local_baseline_math,phi4,math,29,104,104,True,20278.248,2026-01-18T16:30:27.674128
phi4_local_baseline_math,phi4,math,30,109,109,True,16438.587,2026-01-18T16:30:44.113137
phi4_local_baseline_math,phi4,math,31,80,80,True,18818.387,2026-01-18T16:31:02.932005
phi4_local_baseline_math,phi4,math,32,35,35,True,16663.592,2026-01-18T16:31:19.595874
phi4_local_baseline_math,phi4,math,33,70,70,True,20503.013,2026-01-18T16:31:40.099447
phi4_local_baseline_math,phi4,math,34,23,23,True,11211.579,2026-01-18T16:31:51.311335
phi4_local_baseline_math,phi4,math,35,9,9,True,15214.501,2026-01-18T16:32:06.526305
phi4_local_baseline_math,phi4,math,36,$75.00,75,False,16286.593,2026-01-18T16:32:22.813441
phi4_local_baseline_math,phi4,math,37,2,2,True,35924.295999999995,2026-01-18T16:32:58.737907
phi4_local_baseline_math,phi4,math,38,10 miles per hour,10,False,22833.421,2026-01-18T16:33:21.571508
phi4_local_baseline_math,phi4,math,39,18 miles,18,False,40027.222,2026-01-18T16:34:01.599225
phi4_local_baseline_math,phi4,math,40,12,8,False,22272.885,2026-01-18T16:34:23.872889
phi4_local_baseline_math,phi4,math,41,200,200,True,15693.141,2026-01-18T16:34:39.566219
phi4_local_baseline_math,phi4,math,42,26,26,True,14344.962,2026-01-18T16:34:53.911335
phi4_local_baseline_math,phi4,math,43,48 grams,48,False,18877.223,2026-01-18T16:35:12.788596
phi4_local_baseline_math,phi4,math,44,$20.00,20,False,19377.551,2026-01-18T16:35:32.167070
phi4_local_baseline_math,phi4,math,45,104,104,True,23845.672,2026-01-18T16:35:56.013016
phi4_local_baseline_math,phi4,math,46,163,163,True,19773.695,2026-01-18T16:36:15.786903
phi4_local_baseline_math,phi4,math,47,$800,800,False,28171.393,2026-01-18T16:36:43.958671
phi4_local_baseline_math,phi4,math,48,8,8,True,13006.247,2026-01-18T16:36:56.965276
phi4_local_baseline_math,phi4,math,49,30,30,True,13296.03,2026-01-18T16:37:10.261565
