experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,0,18,18,True,10036.433,2026-01-18T17:15:55.889419
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,1,3,3,True,5652.673,2026-01-18T17:16:01.542115
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,2,"$195,000",70000,False,16012.805,2026-01-18T17:16:17.554931
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,3,"540

Therefore, James runs a total of 540 meters in a week.",540,False,9338.64,2026-01-18T17:16:26.893604
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,4,140,20,False,14713.089,2026-01-18T17:16:41.606721
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,5,The total amount Kylar needs to pay is $40 + $24 = $64.,64,False,11042.881,2026-01-18T17:16:52.649642
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,6,The total number of sheep is 20 + 80 + 160 = 260.,260,False,12428.007,2026-01-18T17:17:05.077698
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,7,120,160,False,15316.258,2026-01-18T17:17:20.394003
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,8,45,45,True,13893.093,2026-01-18T17:17:34.287243
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,9,"Regular pay = 40 * $10 = $400
Overtime rate = 1.2 * $10 = $12 per hour
Overtime pay = 5 * $12 = $60
Total earnings = $400 + $60 = $460",460,False,11748.814,2026-01-18T17:17:46.036359
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,10,\[ \text{Total} = 366 \],366,False,8789.92,2026-01-18T17:17:54.826316
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,11,"Total cost for donuts = 3 * $68 = $204
Total cost for mini cupcakes = 2 * $80 = $160
Total cost for mini cheesecakes = 6 * $55 = $330

Adding these together, the total cost is:
$204 + $160 + $330 = $694",694,False,12880.163,2026-01-18T17:18:07.706527
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,12,12,13,False,13748.537,2026-01-18T17:18:21.455125
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,13,Melanie started with 18 vacuum cleaners.,18,False,13523.175,2026-01-18T17:18:34.978366
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,14,60%,60,False,15113.911999999998,2026-01-18T17:18:50.092320
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,15,"- New value of jewelry = $5,000 * 1.025 = $5,125
- Profit from jewelry = $5,125 - $5,000 = $125

- New value of electronic gadgets = $8,000 * 1.012 = $8,096
- Profit from electronic gadgets = $8,096 - $8,000 = $96

Comparing the profits:
- Jewelry profit: $125
- Electronic gadgets profit: $96

The merchant should choose to purchase jewelry as it yields a higher profit.",125,False,18853.402,2026-01-18T17:19:08.945757
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,16,The total distance covered by each train is \( 80 + 150 = 230 \) miles.,230,False,9713.171,2026-01-18T17:19:18.658962
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,17,"1. Weekly earnings from teaching: $20/hour * 35 hours/week = $700/week
2. Weekly earnings from coaching: $30/hour * 15 hours/week = $450/week
3. Total weekly salary: $700 + $450 = $1150/week
4. Annual salary: $1150/week * 50 weeks/year = $57,500/year

Therefore, Jill's annual salary is $57,500.",57500,False,14079.251,2026-01-18T17:19:32.738231
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,18,7,7,True,7188.971,2026-01-18T17:19:39.927232
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,19,6,6,True,13594.962,2026-01-18T17:19:53.522223
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,20,15,15,True,12111.16,2026-01-18T17:20:05.633424
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,21,2,14,False,6355.143,2026-01-18T17:20:11.988620
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,22,Billy sold 7 DVDs on Tuesday.,7,False,6962.182000000001,2026-01-18T17:20:18.950830
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,23,The candle will be 8 centimeters shorter.,8,False,8880.92,2026-01-18T17:20:27.831768
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,24,The original price of the book was $26.,26,False,10920.135,2026-01-18T17:20:38.751917
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,25,Marie ordered 2 boxes of pizza.,2,False,11606.041,2026-01-18T17:20:50.357995
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,26,"1. Total cost for shorts: \(3 \times 16.50 = 49.50\)
2. Total cost for pants: \(3 \times 22.50 = 67.50\)
3. Total cost for shoes: \(3 \times 42 = 126\)

Total amount spent: \(49.50 + 67.50 + 126 = 243\)

Therefore, Mishka spent $243 on all the clothing items.",243,False,14689.44,2026-01-18T17:21:05.047455
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,27,Cynthia will spend $16 on ice cream after 60 days.,16,False,9775.57,2026-01-18T17:21:14.823089
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,28,25,25,True,11034.289,2026-01-18T17:21:25.857419
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,29,The boots cost $104.,104,False,13305.733,2026-01-18T17:21:39.163194
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,30,109,109,True,13773.767,2026-01-18T17:21:52.936994
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,31,The average guess is \( \frac{240}{3} = 80 \).,80,False,10406.838,2026-01-18T17:22:03.343868
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,32,The weekly time John spends taking care of dogs is \( 35 \) hours.,35,False,9853.503,2026-01-18T17:22:13.197436
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,33,70,70,True,14224.178,2026-01-18T17:22:27.421644
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,34,23,23,True,7751.955,2026-01-18T17:22:35.173657
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,35,9,9,True,10715.901,2026-01-18T17:22:45.889590
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,36,\$75.00,75,False,12975.004,2026-01-18T17:22:58.864636
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,37,"Money from selling legos = 13 × $15 = $195

Cost of video games = 8 × $20 = $160

Initial amount of money = Cost of video games + Remaining money
Initial amount of money = $160 + $5 = $165

Number of lego sets sold = Initial amount of money / Price per set
Number of lego sets sold = $165 / $15 = 11

Number of lego sets remaining = Initial number of legos - Number of legos sold
Number of lego sets remaining = 13 - 11 = 2

Therefore, John still has 2 lego sets.",2,False,21270.38,2026-01-18T17:23:20.135061
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,38,10,10,True,11553.566,2026-01-18T17:23:31.688661
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,39,18,18,True,14045.895,2026-01-18T17:23:45.734633
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,40,8,8,True,9501.379,2026-01-18T17:23:55.236067
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,41,200,200,True,10290.416,2026-01-18T17:24:05.526521
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,42,"\[ 40 - 14 = 26 \]

Therefore, 26 pieces of pie were taken by the guests.",26,False,9942.009,2026-01-18T17:24:15.468563
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,43,48,48,True,17332.766,2026-01-18T17:24:32.801370
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,44,\$20,20,False,13733.466,2026-01-18T17:24:46.534879
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,45,104,104,True,12463.653,2026-01-18T17:24:58.998558
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,46,"The calculation is as follows:
\[ \text{Number of Post-it notes in the package} = 80 + 220 - 23 = 277 \]

So, Candice purchased a package containing 277 post-it notes.",163,False,11362.037,2026-01-18T17:25:10.360623
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,47,800,800,True,12691.933,2026-01-18T17:25:23.052629
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,48,Tracy obtained 8 pieces.,8,False,8998.23,2026-01-18T17:25:32.050873
qwen2.5:7b_local_baseline_math,qwen2.5:7b,math,49,"1. Total number of units: \(15 \times 8 = 120\).
2. Number of occupied units: \(120 \times \frac{3}{4} = 90\).
3. Number of unoccupied units: \(120 - 90 = 30\).

Therefore, the total number of unoccupied units in the building is 30.",30,False,13228.484,2026-01-18T17:25:45.279389
