experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,0,Denver Broncos,Denver Broncos,True,4.642,366,64,9.33e-05,2026-01-19T15:20:46.812768
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,1,Carolina Panthers,Carolina Panthers,True,1.193,366,65,9.39e-05,2026-01-19T15:20:46.813972
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,2,"Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.","Santa Clara, California",True,2.079,363,67,9.465e-05,2026-01-19T15:20:46.816060
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,3,The Denver Broncos won Super Bowl 50.,Denver Broncos,True,1.313,363,55,8.745e-05,2026-01-19T15:20:46.817383
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,4,Gold,gold,True,1.699,370,56,8.91e-05,2026-01-19T15:20:46.819092
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,5,"The theme of Super Bowl 50 was the ""golden anniversary,"" highlighted by gold-themed initiatives and the use of the Arabic numeral 50 in the logo.","""golden anniversary""",False,1.1329999999999998,364,124,0.000129,2026-01-19T15:20:46.820233
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,6,"The game was played on February 7, 2016.","February 7, 2016",True,1.211,362,62,9.15e-05,2026-01-19T15:20:46.821454
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,7,American Football Conference,American Football Conference,True,1.228,361,70,9.615e-05,2026-01-19T15:20:46.822700
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,8,"The theme of Super Bowl 50 was the ""golden anniversary,"" highlighted by gold-themed initiatives and the use of the Arabic numeral 50 in the logo.","""golden anniversary""",False,0.287,364,124,0.000129,2026-01-19T15:20:46.822996
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,9,AFC stands for American Football Conference.,American Football Conference,True,1.059,360,68,9.48e-05,2026-01-19T15:20:46.824062
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,10,"February 7, 2016","February 7, 2016",True,1.027,363,59,8.984999999999999e-05,2026-01-19T15:20:46.825097
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,11,The Denver Broncos won Super Bowl 50.,Denver Broncos,True,1.027,361,78,0.0001009499999999,2026-01-19T15:20:46.826130
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,12,Levi's Stadium,Levi's Stadium,True,0.936,365,56,8.834999999999999e-05,2026-01-19T15:20:46.827074
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,13,"Santa Clara, California",Santa Clara,True,0.941,365,61,9.135e-05,2026-01-19T15:20:46.828022
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,14,Super Bowl L,Super Bowl L,True,0.815,371,58,9.045e-05,2026-01-19T15:20:46.828842
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,15,2015,2015,True,0.8989999999999999,366,50,8.49e-05,2026-01-19T15:20:46.829747
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,16,2016,2015,False,0.897,370,72,9.87e-05,2026-01-19T15:20:46.830650
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,17,"Santa Clara, California",Santa Clara,True,0.248,365,61,9.135e-05,2026-01-19T15:20:46.830905
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,18,Levi's Stadium,Levi's Stadium,True,0.767,365,56,8.834999999999999e-05,2026-01-19T15:20:46.831679
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,19,"The final score of Super Bowl 50 was 24–10, with the Denver Broncos defeating the Carolina Panthers.",24–10,True,0.8400000000000001,366,79,0.0001022999999999,2026-01-19T15:20:46.832525
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,20,"February 7, 2016","February 7, 2016",True,1.1509999999999998,369,46,8.295000000000001e-05,2026-01-19T15:20:46.833683
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,21,2016,2015,False,0.93,362,47,8.25e-05,2026-01-19T15:20:46.834618
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,22,Denver Broncos,Denver Broncos,True,0.784,361,51,8.475e-05,2026-01-19T15:20:46.835408
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,23,Carolina Panthers,Carolina Panthers,True,0.8140000000000001,361,66,9.375e-05,2026-01-19T15:20:46.836227
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,24,The Denver Broncos won Super Bowl 50.,Denver Broncos,True,0.248,361,78,0.0001009499999999,2026-01-19T15:20:46.836481
gpt-4o-mini_baseline_rag,gpt-4o-mini,rag,25,The 2015 season.,2015,True,1.073,366,54,8.73e-05,2026-01-19T15:20:46.837563
