experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,0,"Ex-offenders struggle to find stable accommodation post-release, with some living on the streets for up to a year, and investment in housing is proposed as a more cost-effective solution than repeated imprisonment.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",0.3754045307443365,7853.346,2026-01-18T17:29:51.806876
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,1,"Police conducted searches in Edinburgh and arrested a man following the recovery of firearms, ammunition, and money.","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",0.4744186046511627,3331.856,2026-01-18T17:29:55.138751
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,2,"Four individuals have been charged with hate crimes and other offenses for allegedly kidnapping, beating, and humiliating an 18-year-old white victim with disabilities in Chicago.","Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",0.3975535168195718,5374.5960000000005,2026-01-18T17:30:00.513389
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,3,A former Arsenal goalkeeper turned manager played crucial roles in promoting Reading FC to the Premier League twice.,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",0.4144144144144144,3297.937,2026-01-18T17:30:03.811359
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,4,"A modified fasting-mimicking diet regenerated beta cells in mice, potentially reversing symptoms of both type 1 and type 2 diabetes.","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",0.4188034188034188,6913.044,2026-01-18T17:30:10.724439
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,5,"A proposed merger between Essilor and Luxottica, leading manufacturers of lenses and frames, could significantly reduce competition and choice for consumers, raising concerns among industry experts and regulators.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",0.4366576819407007,9071.181,2026-01-18T17:30:19.795672
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,6,"Olympic silver medallist Wendy Houvenaghel accuses British Cycling of ageism and poor athlete welfare, joining a growing list of cyclists who have criticised the organisation's treatment of its athletes.","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",0.3962264150943396,9371.416,2026-01-18T17:30:29.167129
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,7,"Kareem Badr successfully turned around a struggling comedy club in Austin, Texas, by applying his background in computer science to improve operations, while the growing popularity of stand-up comedy has fueled the expansion of such venues across the United States.",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,0.412621359223301,10626.19,2026-01-18T17:30:39.793349
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,8,"BT narrowly escaped breakup after Ofcom cited practical issues such as the company's massive pension scheme, but faces potential conflicts with new regulations aimed at improving broadband services.","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",0.4514435695538058,5977.934,2026-01-18T17:30:45.771327
qwen2.5:7b_local_baseline_synthesis,qwen2.5:7b,synthesis,9,Brendan Rodgers prepares his team for the upcoming Old Firm derby by focusing on maintaining high performance levels to overcome potential challenges.,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,0.4344827586206896,5507.889999999999,2026-01-18T17:30:51.279245
